0 0 0 3/4 17/16 17/16 21/16 77/48 45/16 0
0 0 0 1/2 13/12 13/12 5/4 3/2 8/3 0
0 0 0 6/7 15/14 19/14 17/14 71/42 39/14 0
0 0 0 2/3 13/12 17/12 5/4 5/3 17/6 0
0 0 0 5/6 11/12 4/3 13/12 53/36 7/3 0
0 0 0 2/3 11/12 4/3 13/12 17/12 7/3 0
0 0 0 6/7 19/14 15/14 17/14 71/42 39/14 0
0 0 0 2/3 17/12 13/12 5/4 5/3 17/6 0
0 0 0 1 21/16 21/16 17/16 83/48 43/16 0
0 0 0 6/7 19/14 19/14 15/14 12/7 19/7 0
0 0 0 1 13/12 4/3 11/12 53/36 13/6 0
0 0 0 5/6 13/12 4/3 11/12 17/12 13/6 0
0 0 0 5/6 4/3 11/12 13/12 53/36 7/3 0
0 0 0 2/3 4/3 11/12 13/12 17/12 7/3 0
0 0 0 1 4/3 13/12 11/12 53/36 13/6 0
0 0 0 5/6 4/3 13/12 11/12 17/12 13/6 0
0 0 0 1 8/7 8/7 6/7 4/3 13/7 0
0 0 0 6/7 8/7 8/7 6/7 9/7 13/7 0
