0 0 2/9 0 4/9 4/9 4/9 8/9 8/9 10/9 0
0 0 1/3 0 4/9 2/3 4/9 11/9 1 11/9 0
0 0 1/3 0 4/9 2/3 7/9 8/9 1 11/9 0
0 0 5/12 0 1/2 5/6 5/6 4/3 7/6 4/3 0
0 0 2/9 0 2/3 2/3 5/9 8/9 1 4/3 0
0 0 3/11 0 7/11 9/11 10/11 10/11 13/11 16/11 0
0 0 2/9 0 2/3 2/3 2/9 11/9 1 4/3 0
0 0 3/11 0 7/11 9/11 3/11 17/11 13/11 16/11 0
0 0 1/6 0 5/6 3/4 1/3 7/6 25/24 17/12 0
