0 0 0 7/9 5/3 19/18 17/9 58/27 74/27 71/18 0
0 0 0 4/5 17/10 11/10 19/10 133/60 35/12 79/20 0
0 0 0 4/7 10/7 15/14 11/7 25/14 17/7 23/7 0
0 0 0 4/7 10/7 8/7 11/7 13/7 37/14 23/7 0
0 0 0 3/7 9/7 1 10/7 23/14 15/7 3 0
0 0 0 5/7 11/7 19/14 12/7 27/14 20/7 25/7 0
0 0 0 5/7 11/7 10/7 12/7 2 43/14 25/7 0
0 0 0 5/7 11/7 11/7 12/7 29/14 45/14 25/7 0
0 0 0 7/8 15/8 17/16 7/4 13/6 31/12 61/16 0
0 0 0 8/9 17/9 10/9 16/9 121/54 151/54 23/6 0
0 0 0 5/7 12/7 15/14 11/7 27/14 17/7 24/7 0
0 0 0 5/7 12/7 8/7 11/7 2 37/14 24/7 0
0 0 0 4/7 11/7 1 10/7 25/14 15/7 22/7 0
0 0 0 6/7 13/7 19/14 12/7 29/14 20/7 26/7 0
0 0 0 6/7 13/7 10/7 12/7 15/7 43/14 26/7 0
0 0 0 6/7 13/7 11/7 12/7 31/14 45/14 26/7 0
0 0 0 6/7 13/7 13/14 23/14 83/42 47/21 24/7 0
0 0 0 8/9 17/9 1 5/3 56/27 68/27 31/9 0
0 0 0 5/7 12/7 13/14 3/2 25/14 15/7 22/7 0
0 0 0 3/4 7/4 1 3/2 15/8 19/8 25/8 0
0 0 0 4/7 11/7 6/7 19/14 23/14 13/7 20/7 0
0 0 0 6/7 13/7 17/14 23/14 27/14 18/7 24/7 0
0 0 0 7/8 15/8 5/4 13/8 2 11/4 27/8 0
0 0 0 8/9 17/9 25/18 29/18 37/18 26/9 10/3 0
