0 0 0 2/5 4/5 3/4 9/10 23/20 31/20 5/2 0
0 0 0 1/4 7/8 3/4 3/4 15/16 5/4 2 0
0 0 0 1/7 6/7 6/7 9/14 5/7 8/7 11/7 0
0 0 0 5/8 7/8 9/16 11/8 5/4 29/16 23/8 0
0 0 0 3/7 6/7 4/7 8/7 1 10/7 16/7 0
0 0 0 2/7 6/7 5/7 13/14 11/14 9/7 13/7 0
0 0 0 5/7 6/7 5/14 11/7 19/14 25/14 20/7 0
0 0 0 4/7 6/7 3/7 10/7 17/14 11/7 18/7 0
0 0 0 3/7 6/7 4/7 17/14 1 10/7 15/7 0
0 0 0 1/4 1 1 5/8 13/16 9/8 7/4 0
0 0 0 1/7 1 8/7 1/2 4/7 1 9/7 0
0 0 0 3/7 1 6/7 1 6/7 9/7 2 0
0 0 0 2/7 1 1 11/14 9/14 8/7 11/7 0
0 0 0 4/7 1 5/7 9/7 15/14 10/7 16/7 0
0 0 0 3/7 1 6/7 15/14 6/7 9/7 13/7 0
0 0 0 1/7 1 17/14 5/14 3/7 13/14 1 0
0 0 0 2/7 1 15/14 9/14 1/2 15/14 9/7 0
0 0 0 3/7 1 13/14 13/14 5/7 17/14 11/7 0
