0 0 5/16 0 3/8 131/192 103/96 47/48 13/8 301/192 373/192 211/96 0
0 0 7/26 0 6/13 95/156 167/156 61/78 14/13 205/156 277/156 68/39 0
0 0 3/10 0 3/10 7/10 33/40 11/10 17/10 31/20 21/10 89/40 0
0 0 5/22 0 5/11 25/44 21/22 19/22 13/11 57/44 2 19/11 0
0 0 3/10 0 3/10 11/20 21/20 23/20 9/5 19/10 39/20 47/20 0
0 0 5/22 0 5/11 1/2 45/44 19/22 13/11 17/11 7/4 19/11 0
0 0 6/19 0 6/19 10/19 16/19 23/19 34/19 33/19 39/19 41/19 0
0 0 7/30 0 1/2 29/60 59/60 61/60 22/15 33/20 43/20 28/15 0
0 0 13/36 0 5/12 149/216 127/108 245/216 107/72 44/27 379/216 479/216 0
0 0 1/3 0 13/27 119/162 185/162 161/162 55/54 122/81 265/162 154/81 0
0 0 3/8 0 3/8 21/32 73/64 81/64 103/64 119/64 57/32 75/32 0
0 0 9/28 0 13/28 9/14 61/56 59/56 9/8 93/56 13/8 53/28 0
0 0 13/36 0 5/12 79/108 10/9 241/216 103/72 277/216 109/54 13/6 0
0 0 1/3 0 13/27 55/81 203/162 167/162 19/18 193/162 167/81 160/81 0
0 0 3/8 0 3/8 47/64 199/192 239/192 99/64 43/32 141/64 439/192 0
0 0 9/28 0 13/28 9/14 8/7 61/56 65/56 67/56 123/56 55/28 0
0 0 19/46 0 39/92 50/69 107/92 111/92 353/276 91/69 487/276 583/276 0
0 0 13/32 0 31/64 73/96 121/96 223/192 185/192 4/3 355/192 65/32 0
0 0 6/11 0 5/11 31/44 39/44 39/44 5/4 13/11 67/44 7/4 0
0 0 8/17 0 8/17 21/34 15/17 25/34 29/34 19/17 47/34 25/17 0
0 0 10/19 0 7/19 14/19 27/38 20/19 28/19 25/19 34/19 73/38 0
0 0 8/19 0 9/19 23/38 14/19 16/19 20/19 43/38 32/19 28/19 0
0 0 6/13 0 5/13 7/13 10/13 1 16/13 19/13 18/13 23/13 0
0 0 2/5 0 7/15 8/15 4/5 5/6 1 7/5 41/30 23/15 0
0 0 8/17 0 6/17 10/17 12/17 20/17 27/17 27/17 31/17 33/17 0
0 0 2/5 0 13/25 27/50 4/5 1 34/25 3/2 19/10 42/25 0
0 0 4/7 0 10/21 31/42 1 22/21 1 55/42 53/42 37/21 0
0 0 10/17 0 8/17 29/34 1 18/17 14/17 49/34 43/34 30/17 0
0 0 11/20 0 9/20 7/10 19/20 47/40 9/8 63/40 13/10 19/10 0
0 0 10/19 0 9/19 14/19 18/19 21/19 37/38 61/38 49/38 34/19 0
0 0 17/28 0 15/28 11/14 169/168 47/42 37/28 31/28 12/7 325/168 0
0 0 9/16 0 1/2 3/4 1 1 13/16 17/16 25/16 27/16 0
0 0 17/29 0 14/29 45/58 157/174 209/174 83/58 34/29 109/58 349/174 0
0 0 1/2 0 1/2 15/22 19/22 45/44 45/44 47/44 79/44 18/11 0
0 0 5/8 0 33/64 25/32 205/192 115/96 103/96 73/64 93/64 179/96 0
0 0 13/20 0 19/40 9/10 43/40 73/60 23/30 53/40 57/40 113/60 0
0 0 6/11 0 5/11 19/44 51/44 39/44 5/4 47/44 18/11 7/4 0
