0 0 5/23 11/23 0 12/23 27/23 47/23 55/23 21/23 55/23 61/23 0
0 0 4/19 8/19 0 9/19 20/19 30/19 42/19 17/19 2 41/19 0
0 0 2/9 7/18 0 7/18 1 29/18 8/3 1 7/3 37/18 0
0 0 7/25 11/25 0 17/25 53/50 8/5 54/25 26/25 47/25 58/25 0
0 0 1/7 3/7 0 3/7 26/21 43/21 8/3 2/3 17/7 53/21 0
0 0 1/8 3/8 0 3/8 9/8 23/16 5/2 5/8 31/16 15/8 0
0 0 1/12 1/3 0 1/4 13/12 7/6 11/4 2/3 25/12 3/2 0
0 0 1/13 5/13 0 3/13 17/13 16/13 43/13 19/26 31/13 20/13 0
0 0 5/21 3/7 0 2/3 23/21 46/21 47/21 17/21 46/21 50/21 0
0 0 2/9 7/18 0 11/18 1 16/9 19/9 7/9 11/6 17/9 0
0 0 4/19 7/19 0 9/19 18/19 34/19 50/19 16/19 41/19 33/19 0
0 0 3/11 9/22 0 9/11 45/44 20/11 23/11 21/22 39/22 47/22 0
0 0 2/11 4/11 0 6/11 25/22 47/22 5/2 13/22 49/22 49/22 0
0 0 1/6 1/3 0 1/2 19/18 5/3 43/18 5/9 11/6 5/3 0
0 0 1/8 5/16 0 3/8 1 3/2 21/8 9/16 31/16 21/16 0
0 0 2/19 6/19 0 6/19 22/19 29/19 60/19 21/38 41/19 23/19 0
0 0 7/18 4/9 0 5/18 1 16/9 37/18 7/9 2 19/9 0
0 0 3/8 3/8 0 1/4 7/8 23/16 15/8 3/4 27/16 7/4 0
0 0 7/18 1/3 0 2/9 5/6 14/9 22/9 5/6 37/18 31/18 0
0 0 8/19 8/19 0 6/19 18/19 28/19 37/19 16/19 32/19 35/19 0
0 0 5/17 6/17 0 3/17 1 29/17 38/17 8/17 33/17 32/17 0
0 0 2/7 2/7 0 1/7 6/7 17/14 2 3/7 3/2 19/14 0
0 0 4/13 3/13 0 1/13 10/13 14/13 29/13 6/13 21/13 14/13 0
0 0 1/3 4/15 0 1/15 1 17/15 43/15 1/2 29/15 16/15 0
0 0 6/13 5/13 0 5/13 11/13 2 23/13 8/13 22/13 23/13 0
0 0 5/12 1/3 0 1/3 3/4 5/3 5/3 7/12 17/12 17/12 0
0 0 3/8 5/16 0 1/4 3/4 7/4 5/2 11/16 31/16 23/16 0
0 0 6/13 5/13 0 5/13 11/13 23/13 23/13 9/13 19/13 20/13 0
0 0 1/3 4/15 0 4/15 13/15 28/15 31/15 1/3 26/15 8/5 0
0 0 4/13 3/13 0 3/13 10/13 19/13 25/13 4/13 18/13 15/13 0
0 0 2/7 3/14 0 1/7 5/7 19/14 16/7 5/14 11/7 13/14 0
0 0 5/18 2/9 0 1/9 17/18 25/18 3 13/36 17/9 5/6 0
