0 0 13/74 0 18/37 43/37 12/37 301/148 3/4 95/148 76/37 515/148 197/148 945/296 503/148 0
0 0 11/64 0 31/64 35/32 3/8 107/64 109/128 21/32 223/128 205/64 187/128 41/16 369/128 0
0 0 10/63 0 26/63 62/63 22/63 148/63 305/378 101/126 671/378 1523/378 386/189 1331/378 1247/378 0
0 0 12/73 0 34/73 79/73 28/73 115/73 133/146 47/73 124/73 224/73 107/73 174/73 411/146 0
0 0 5/33 0 9/22 21/22 1/3 233/132 133/132 91/132 59/33 389/132 155/132 731/264 139/44 0
0 0 8/49 0 22/49 48/49 18/49 71/49 95/98 34/49 80/49 20/7 17/14 219/98 257/98 0
0 0 2/15 0 3/10 7/10 3/10 6/5 19/20 53/60 43/30 51/20 43/30 34/15 127/60 0
0 0 1/6 0 25/54 28/27 7/18 25/18 107/108 37/54 179/108 76/27 137/108 223/108 31/12 0
0 0 2/25 0 1/5 13/25 7/25 21/25 31/25 17/25 6/5 46/25 61/50 49/25 53/25 0
0 0 3/26 0 7/26 17/26 7/26 12/13 1 19/26 67/52 55/26 5/4 25/13 25/13 0
0 0 4/31 0 9/31 21/31 9/31 35/31 61/62 55/62 44/31 153/62 89/62 137/62 129/62 0
0 0 1/9 0 5/18 13/18 13/36 11/12 49/36 25/36 49/36 13/6 107/72 31/18 83/36 0
0 0 4/37 0 11/37 1 15/37 36/37 32/37 27/37 48/37 75/37 105/74 169/74 102/37 0
0 0 3/26 0 17/52 53/52 51/104 69/52 27/26 3/4 16/13 127/52 85/52 29/13 153/52 0
0 0 7/60 0 3/10 29/30 53/120 9/5 23/24 37/40 11/8 371/120 59/30 347/120 371/120 0
0 0 7/54 0 10/27 19/18 1/2 35/27 29/27 20/27 35/27 133/54 44/27 217/108 151/54 0
0 0 3/38 0 4/19 15/19 7/19 37/38 21/19 29/38 45/38 71/38 23/19 40/19 49/19 0
0 0 2/21 0 11/42 37/42 37/84 15/14 47/42 16/21 8/7 89/42 109/84 23/12 52/21 0
0 0 1/12 0 7/36 7/9 25/72 41/36 71/72 67/72 89/72 167/72 103/72 13/6 157/72 0
0 0 5/39 0 14/39 1 19/39 41/39 43/39 10/13 50/39 86/39 53/39 64/39 92/39 0
0 0 1/21 0 1/7 11/21 1/3 5/7 29/21 5/7 1 32/21 17/14 11/6 46/21 0
0 0 2/25 0 1/5 17/25 8/25 21/25 28/25 19/25 27/25 46/25 63/50 89/50 2 0
0 0 1/11 0 7/33 8/11 1/3 12/11 23/22 21/22 83/66 151/66 97/66 70/33 47/22 0
0 0 1/10 0 4/15 5/6 13/30 5/6 37/30 23/30 37/30 59/30 17/12 89/60 21/10 0
0 0 5/51 0 13/51 56/51 59/102 52/51 61/51 52/51 26/17 109/51 95/51 46/17 178/51 0
0 0 3/40 0 9/40 1 47/80 7/8 49/40 7/8 13/10 39/20 9/5 47/20 25/8 0
0 0 1/17 0 3/17 33/34 37/68 15/17 39/34 15/17 43/34 33/17 63/34 163/68 50/17 0
0 0 4/45 0 4/15 46/45 28/45 13/15 59/45 13/15 41/30 89/45 9/5 91/45 133/45 0
0 0 1/13 0 5/26 1 53/104 53/52 35/26 14/13 3/2 53/26 13/8 261/104 167/52 0
0 0 2/33 0 2/11 31/33 35/66 28/33 40/33 29/33 41/33 62/33 97/66 133/66 86/33 0
0 0 1/25 0 3/25 23/25 23/50 22/25 27/25 23/25 31/25 48/25 73/50 101/50 11/5 0
0 0 1/12 0 1/4 35/36 11/18 5/6 4/3 8/9 97/72 23/12 19/12 41/24 31/12 0
0 0 1/30 0 1/10 23/30 7/15 4/5 53/30 11/10 41/30 17/10 33/20 133/60 83/30 0
0 0 1/24 0 1/8 19/24 5/12 3/4 29/24 23/24 5/4 41/24 71/48 89/48 17/8 0
0 0 1/25 0 3/25 21/25 11/25 4/5 6/5 1 32/25 9/5 77/50 97/50 54/25 0
0 0 2/35 0 6/35 31/35 4/7 4/5 52/35 34/35 48/35 13/7 59/35 113/70 17/7 0
0 0 19/86 0 45/86 50/43 85/172 155/86 49/43 229/172 100/43 583/172 237/172 3 557/172 0
0 0 12/55 0 6/11 64/55 5/11 16/11 53/55 12/11 111/55 177/55 14/11 127/55 141/55 0
0 0 1/5 0 11/25 24/25 2/5 34/25 22/25 33/25 49/25 81/25 8/5 131/50 53/25 0
0 0 12/55 0 31/55 67/55 27/55 7/5 1 56/55 109/55 171/55 71/55 117/55 141/55 0
0 0 6/35 0 2/5 32/35 3/5 11/10 51/35 12/7 81/35 107/35 58/35 93/35 87/35 0
0 0 5/28 0 3/7 27/28 3/7 29/28 1 19/14 2 41/14 10/7 9/4 55/28 0
0 0 1/5 0 11/25 24/25 2/5 33/25 23/25 34/25 2 81/25 41/25 131/50 53/25 0
0 0 5/29 0 13/29 30/29 14/29 27/29 30/29 34/29 54/29 77/29 41/29 54/29 56/29 0
0 0 4/19 0 8/19 91/76 73/152 207/152 43/38 3/2 39/19 221/76 26/19 199/76 52/19 0
0 0 13/64 0 13/32 81/64 29/64 79/64 63/64 39/32 109/64 45/16 163/128 271/128 75/32 0
0 0 2/13 0 1/3 47/39 5/13 53/39 34/39 53/39 23/13 40/13 119/78 100/39 85/39 0
0 0 9/49 0 3/7 55/49 53/98 53/49 54/49 53/49 79/49 123/49 65/49 83/49 114/49 0
0 0 6/37 0 14/37 1 22/37 81/74 55/37 65/37 83/37 3 61/37 98/37 93/37 0
0 0 5/33 0 4/11 35/33 5/11 34/33 12/11 47/33 62/33 31/11 16/11 73/33 68/33 0
