0 0 0 1/22 3/11 15/22 5/22 7/22 1 19/11 1 16/11 26/11 35/11 0
0 0 0 1/21 2/7 2/3 5/21 1/3 20/21 37/21 20/21 32/21 46/21 62/21 0
0 0 0 1/20 3/10 13/20 1/4 7/20 9/10 19/10 7/8 63/40 23/10 57/20 0
0 0 0 1/26 4/13 19/26 7/26 9/26 1 23/13 31/26 22/13 28/13 83/26 0
0 0 0 5/24 1/3 7/12 1/8 13/24 11/12 17/12 29/24 31/24 25/12 3 0
0 0 0 3/17 5/17 9/17 2/17 8/17 14/17 24/17 19/17 21/17 30/17 43/17 0
0 0 0 1/6 1/4 5/12 1/12 5/12 2/3 4/3 23/24 9/8 5/3 25/12 0
0 0 0 1/9 5/18 11/18 1/6 7/18 8/9 13/9 25/18 3/2 16/9 53/18 0
0 0 0 1/3 2/5 8/15 1/15 11/15 14/15 19/15 6/5 7/5 9/5 37/15 0
0 0 0 2/7 5/14 1/2 1/14 9/14 6/7 9/7 8/7 19/14 12/7 33/14 0
0 0 0 3/13 4/13 6/13 1/13 7/13 10/13 17/13 27/26 33/26 22/13 28/13 0
0 0 0 3/16 5/16 9/16 1/8 1/2 7/8 21/16 11/8 25/16 27/16 11/4 0
0 0 0 1/17 5/17 12/17 4/17 6/17 18/17 42/17 33/34 53/34 39/17 103/34 0
0 0 0 2/31 10/31 22/31 8/31 12/31 32/31 83/31 55/62 103/62 77/31 92/31 0
0 0 0 2/45 14/45 34/45 4/15 16/45 16/15 109/45 11/9 77/45 11/5 146/45 0
0 0 0 1/5 1/3 3/5 2/15 8/15 14/15 2 7/6 13/10 28/15 79/30 0
0 0 0 4/19 6/19 10/19 2/19 10/19 16/19 37/19 39/38 47/38 35/19 42/19 0
0 0 0 4/33 10/33 2/3 2/11 14/33 32/33 67/33 47/33 17/11 61/33 100/33 0
0 0 0 8/25 2/5 14/25 2/25 18/25 24/25 47/25 29/25 7/5 9/5 12/5 0
0 0 0 3/11 4/11 6/11 1/11 7/11 10/11 21/11 47/44 59/44 20/11 49/22 0
0 0 0 6/29 10/29 18/29 4/29 16/29 28/29 55/29 41/29 47/29 51/29 82/29 0
0 0 0 3/38 6/19 27/38 9/38 15/38 21/19 125/38 67/76 127/76 56/19 113/38 0
0 0 0 3/13 9/26 15/26 3/26 15/26 12/13 5/2 55/52 67/52 29/13 59/26 0
0 0 0 9/31 12/31 18/31 3/31 21/31 30/31 76/31 67/62 85/62 68/31 70/31 0
0 0 0 1/17 5/17 14/17 4/17 6/17 14/17 24/17 13/17 18/17 31/17 41/17 0
0 0 0 1/18 5/18 7/9 2/9 1/3 13/18 13/9 13/18 10/9 29/18 13/6 0
0 0 0 1/20 1/4 3/4 1/5 3/10 3/5 8/5 5/8 43/40 67/40 39/20 0
0 0 0 1/21 1/3 6/7 2/7 8/21 6/7 32/21 1 29/21 5/3 53/21 0
0 0 0 1/4 3/8 3/4 1/8 5/8 7/8 11/8 13/12 7/6 23/12 8/3 0
0 0 0 4/19 6/19 14/19 2/19 10/19 14/19 26/19 18/19 20/19 30/19 41/19 0
0 0 0 3/17 4/17 12/17 1/17 7/17 9/17 23/17 25/34 29/34 49/34 28/17 0
0 0 0 1/8 5/16 3/4 3/16 7/16 13/16 21/16 9/8 5/4 23/16 19/8 0
0 0 0 3/8 7/16 11/16 1/16 13/16 15/16 21/16 19/16 11/8 29/16 39/16 0
0 0 0 5/16 3/8 11/16 1/16 11/16 13/16 21/16 17/16 5/4 13/8 35/16 0
0 0 0 4/17 5/17 12/17 1/17 9/17 11/17 23/17 29/34 35/34 3/2 30/17 0
0 0 0 1/5 1/3 2/3 2/15 8/15 4/5 6/5 17/15 4/3 7/5 34/15 0
0 0 0 2/25 8/25 21/25 6/25 2/5 22/25 52/25 19/25 29/25 42/25 11/5 0
0 0 0 2/25 8/25 4/5 6/25 2/5 4/5 58/25 7/10 63/50 48/25 54/25 0
0 0 0 1/17 6/17 31/34 5/17 7/17 16/17 36/17 35/34 47/34 57/34 43/17 0
0 0 0 2/9 10/27 19/27 4/27 16/27 8/9 17/9 1 31/27 44/27 61/27 0
0 0 0 4/19 6/19 12/19 2/19 10/19 14/19 35/19 31/38 39/38 30/19 34/19 0
0 0 0 1/7 5/14 23/28 3/14 1/2 13/14 53/28 33/28 37/28 43/28 5/2 0
0 0 0 1/3 5/12 5/8 1/12 3/4 11/12 43/24 25/24 31/24 13/8 13/6 0
0 0 0 3/11 4/11 7/11 1/11 7/11 9/11 20/11 39/44 51/44 35/22 41/22 0
0 0 0 3/13 5/13 19/26 2/13 8/13 12/13 23/13 31/26 37/26 3/2 31/13 0
0 0 0 1/9 1/3 22/27 2/9 4/9 8/9 76/27 37/54 67/54 62/27 56/27 0
0 0 0 1/4 3/8 2/3 1/8 5/8 7/8 29/12 43/48 55/48 49/24 47/24 0
0 0 0 9/29 12/29 19/29 3/29 21/29 27/29 69/29 55/58 73/58 59/29 2 0
0 0 0 1/17 4/17 15/17 3/17 5/17 27/34 3/2 10/17 13/17 57/34 35/17 0
0 0 0 1/14 3/14 6/7 1/7 2/7 5/7 10/7 1/2 5/7 19/14 45/28 0
0 0 0 1/12 1/6 5/6 1/12 1/4 13/24 11/8 1/3 7/12 29/24 9/8 0
0 0 0 1/4 5/14 25/28 3/28 33/56 51/56 87/56 27/28 29/28 107/56 69/28 0
0 0 0 5/21 1/3 20/21 2/21 23/42 6/7 34/21 6/7 20/21 5/3 85/42 0
0 0 0 4/17 5/17 1 1/17 1/2 25/34 57/34 12/17 14/17 55/34 55/34 0
