0 0 0 2/5 7/10 7/10 2/5 13/10 7/5 0
0 0 0 2/7 6/7 6/7 2/7 9/7 9/7 0
0 0 0 4/9 2/3 1 4/9 4/3 11/9 0
0 0 0 3/8 3/4 9/8 3/8 11/8 5/4 0
0 0 0 4/9 1 2/3 4/9 4/3 11/9 0
0 0 0 3/8 9/8 3/4 3/8 11/8 5/4 0
0 0 0 6/11 10/11 10/11 5/11 15/11 12/11 0
0 0 0 5/11 1 1 5/11 15/11 12/11 0
0 0 1/4 0 1/4 1/2 5/8 15/16 5/4 0
0 0 3/8 0 3/8 3/4 3/8 7/8 1 0
0 0 1/6 0 1/6 2/3 5/6 11/12 7/6 0
0 0 2/7 0 2/7 6/7 4/7 6/7 1 0
0 0 1/6 0 1/2 1/3 5/6 11/12 7/6 0
0 0 2/7 0 4/7 4/7 4/7 6/7 1 0
0 0 1/6 0 1/3 1/2 1 11/12 7/6 0
0 0 1/4 0 1/2 3/4 3/4 7/8 1 0
