0 0 3/19 0 4/19 14/19 26/19 9/19 45/38 329/152 32/19 121/38 141/38 415/76 0
0 0 6/41 0 9/41 29/41 52/41 21/41 52/41 383/164 71/41 150/41 373/82 249/41 0
0 0 10/61 0 15/61 51/61 199/122 30/61 73/61 1117/488 99/61 192/61 198/61 641/122 0
0 0 3/23 0 3/23 12/23 24/23 19/46 28/23 42/23 91/46 61/23 165/46 221/46 0
0 0 2/15 0 1/15 1/3 11/15 7/15 7/5 28/15 11/5 46/15 62/15 73/15 0
0 0 2/15 0 1/15 1/3 11/15 7/15 22/15 29/15 23/10 16/5 64/15 5 0
0 0 4/31 0 7/31 19/31 41/31 17/31 42/31 58/31 56/31 91/31 106/31 151/31 0
0 0 3/26 0 5/26 1/2 14/13 15/26 19/13 49/26 51/26 43/13 105/26 135/26 0
0 0 6/47 0 13/47 33/47 153/94 161/282 191/141 195/94 82/47 428/141 883/282 695/141 0
0 0 3/26 0 2/13 1/2 15/13 6/13 35/26 47/26 51/26 35/13 7/2 62/13 0
0 0 1/8 0 1/16 5/16 13/16 1/2 3/2 15/8 35/16 25/8 65/16 39/8 0
0 0 1/8 0 1/16 5/16 13/16 1/2 25/16 31/16 73/32 13/4 67/16 5 0
0 0 3/28 0 5/28 13/28 9/7 59/112 19/14 107/56 29/16 75/28 359/112 73/16 0
0 0 2/17 0 1/17 5/17 16/17 9/17 26/17 2 36/17 54/17 4 84/17 0
0 0 1/9 0 1/4 7/12 41/24 1187/2160 721/540 79/36 1247/720 613/216 1271/432 2057/432 0
0 0 3/34 0 5/34 7/17 41/34 63/136 93/68 127/68 263/136 91/34 471/136 647/136 0
0 0 2/19 0 1/19 5/19 17/19 10/19 31/19 39/19 44/19 63/19 82/19 99/19 0
0 0 2/17 0 1/17 5/17 15/17 9/17 29/17 36/17 83/34 59/17 76/17 91/17 0
0 0 1/9 0 1/18 5/18 10/9 19/36 55/36 223/108 19/9 19/6 137/36 59/12 0
0 0 1/9 0 1/18 5/18 1 5/9 29/18 113/54 20/9 10/3 37/9 46/9 0
0 0 3/29 0 6/29 14/29 99/58 238/435 1207/870 605/261 263/145 539/174 271/87 851/174 0
0 0 2/19 0 1/19 5/19 21/19 21/38 63/38 13/6 44/19 64/19 157/38 199/38 0
0 0 2/19 0 1/19 5/19 1 11/19 33/19 125/57 46/19 67/19 84/19 103/19 0
0 0 1/9 0 1/18 5/18 17/18 5/9 31/18 58/27 29/12 7/2 79/18 16/3 0
0 0 2/9 0 1/4 8/9 14/9 19/36 101/72 113/48 14/9 121/36 85/24 50/9 0
0 0 9/43 0 11/43 35/43 60/43 24/43 3/2 429/172 70/43 164/43 192/43 529/86 0
0 0 4/19 0 16/57 55/57 205/114 31/57 157/114 59/24 89/57 63/19 19/6 307/57 0
0 0 1/5 0 9/35 5/7 52/35 58/105 3/2 139/70 8/5 106/35 221/70 339/70 0
0 0 7/34 0 4/17 21/34 43/34 29/51 111/68 139/68 57/34 115/34 257/68 351/68 0
0 0 9/50 0 3/10 39/50 173/100 7/12 89/60 54/25 163/100 47/15 226/75 1489/300 0
0 0 8/39 0 3/13 23/39 64/39 235/468 58/39 82/39 229/156 36/13 445/156 713/156 0
0 0 7/29 0 5/29 15/29 38/29 44/87 97/58 125/58 46/29 93/29 205/58 283/58 0
0 0 8/43 0 12/43 29/43 163/86 1397/2580 22/15 197/86 1307/860 751/258 1409/516 2459/516 0
0 0 8/33 0 2/11 17/33 56/33 47/99 35/22 74/33 97/66 100/33 3 155/33 0
0 0 8/33 0 2/11 17/33 47/33 17/33 113/66 49/22 53/33 36/11 7/2 325/66 0
0 0 1/5 0 1/4 3/5 31/16 207/400 1807/1200 1711/720 149/100 737/240 133/48 287/60 0
0 0 1/4 0 13/48 49/48 185/96 257/480 107/72 2849/1152 23/15 223/72 21/8 467/96 0
0 0 3/13 0 15/52 45/52 197/104 863/1560 20/13 713/312 399/260 475/156 413/156 737/156 0
0 0 13/56 0 2/7 11/14 229/112 349/672 417/280 197/84 317/224 965/336 1661/672 443/96 0
0 0 1/4 0 15/56 41/56 233/112 279/560 2537/1680 1205/504 767/560 331/112 821/336 1529/336 0
0 0 3/17 0 4/17 12/17 47/34 11/17 27/17 30/17 69/34 55/17 63/17 88/17 0
0 0 5/31 0 6/31 18/31 35/31 21/31 52/31 53/31 68/31 110/31 133/31 169/31 0
0 0 7/41 0 11/41 31/41 60/41 27/41 65/41 75/41 2 267/82 146/41 211/41 0
0 0 3/16 0 5/32 5/8 41/32 17/32 25/16 53/32 35/16 3 31/8 83/16 0
0 0 2/11 0 1/11 5/11 21/22 7/11 19/11 35/22 26/11 75/22 47/11 57/11 0
0 0 2/11 0 1/11 5/11 21/22 7/11 39/22 18/11 107/44 7/2 48/11 58/11 0
0 0 5/21 0 5/21 31/42 3/2 38/63 34/21 157/84 38/21 45/14 24/7 106/21 0
0 0 5/21 0 3/14 9/14 9/7 79/126 73/42 53/28 40/21 74/21 4 16/3 0
