0 0 0 2/7 2/7 6/7 25/28 9/14 33/28 41/28 17/7 0
0 0 0 2/11 3/11 1 9/11 8/11 25/22 15/11 25/11 0
0 0 0 1/8 1/8 7/8 7/8 9/16 3/4 9/8 3/2 0
0 0 0 5/11 3/11 8/11 17/22 7/11 1 29/22 23/11 0
0 0 0 1/3 2/9 7/9 2/3 2/3 8/9 10/9 16/9 0
0 0 0 1/4 1/8 3/4 3/4 9/16 11/16 1 11/8 0
0 0 0 5/8 1/8 3/8 7/16 3/8 13/16 11/16 9/8 0
0 0 0 1/2 1/8 1/2 1/2 1/2 13/16 3/4 5/4 0
0 0 0 3/8 1/8 5/8 5/8 9/16 3/4 7/8 5/4 0
0 0 0 1/8 1/2 9/8 3/4 11/8 13/8 7/4 13/4 0
0 0 0 1/4 3/8 7/8 5/8 9/8 5/4 11/8 5/2 0
0 0 0 3/8 1/4 5/8 1/2 7/8 17/16 1 15/8 0
0 0 0 1/8 1/2 9/8 7/8 9/8 1 15/8 11/4 0
0 0 0 1/8 3/8 1 3/4 1 7/8 3/2 9/4 0
0 0 0 1/8 1/4 7/8 3/4 13/16 11/16 5/4 7/4 0
0 0 0 1/8 1/2 9/8 3/4 11/8 5/4 7/4 23/8 0
0 0 0 2/11 3/11 12/11 1 7/11 23/22 14/11 23/11 0
0 0 0 1/8 1/8 1 9/8 7/16 5/8 1 5/4 0
0 0 0 1/3 2/9 8/9 8/9 5/9 7/9 1 14/9 0
0 0 0 1/4 1/8 7/8 1 7/16 9/16 7/8 9/8 0
0 0 0 1/2 1/8 5/8 3/4 3/8 11/16 5/8 1 0
0 0 0 3/8 1/8 3/4 7/8 7/16 5/8 3/4 1 0
0 0 0 1/8 1/2 5/4 1 5/4 3/2 13/8 3 0
0 0 0 1/4 3/8 1 7/8 1 9/8 5/4 9/4 0
0 0 0 3/8 1/4 3/4 3/4 3/4 15/16 7/8 13/8 0
0 0 0 1/8 3/8 9/8 1 7/8 3/4 11/8 2 0
0 0 0 1/8 1/4 1 1 11/16 9/16 9/8 3/2 0
0 0 0 1/8 1/2 5/4 1 5/4 9/8 13/8 21/8 0
0 0 0 1/8 1/8 1 19/16 5/16 1/2 15/16 1 0
0 0 0 1/4 1/8 7/8 17/16 5/16 7/16 13/16 7/8 0
0 0 0 3/8 1/8 3/4 15/16 5/16 1/2 11/16 3/4 0
0 0 0 1/8 1/4 1 17/16 9/16 7/16 17/16 5/4 0
