0 0 2/11 0 4/11 9/11 14/11 21/11 10/11 21/11 0
0 0 1/7 0 1/7 4/7 6/7 9/7 1 9/7 0
0 0 1/7 0 1/7 3/7 5/7 8/7 8/7 8/7 0
0 0 1/3 0 1/3 7/9 1 14/9 2/3 13/9 0
0 0 2/7 0 1/7 4/7 5/7 8/7 5/7 1 0
0 0 2/7 0 1/7 3/7 4/7 1 6/7 6/7 0
0 0 1/2 0 1/4 5/8 7/8 5/4 1/2 9/8 0
0 0 3/7 0 1/7 4/7 5/7 1 4/7 6/7 0
0 0 3/7 0 1/7 3/7 4/7 6/7 5/7 5/7 0
0 0 1/9 0 5/9 11/9 1 13/9 7/9 5/3 0
0 0 1/8 0 3/8 1 3/4 9/8 3/4 5/4 0
0 0 1/8 0 3/8 7/8 5/8 1 7/8 9/8 0
0 0 2/7 0 3/7 1 6/7 1 4/7 9/7 0
0 0 2/7 0 2/7 6/7 5/7 6/7 4/7 1 0
0 0 2/7 0 2/7 5/7 4/7 5/7 5/7 6/7 0
0 0 1/7 0 4/7 9/7 1 6/7 5/7 11/7 0
0 0 1/7 0 3/7 8/7 6/7 5/7 5/7 9/7 0
0 0 1/7 0 3/7 1 5/7 4/7 6/7 8/7 0
