0 0 0 10/17 4/17 6/17 11/17 19/17 19/17 24/17 19/17 35/17 0
0 0 0 8/15 1/6 3/10 8/15 1 1 4/3 37/30 19/10 0
0 0 0 2/3 16/63 31/63 50/63 9/7 82/63 106/63 74/63 139/63 0
0 0 0 13/21 23/126 59/126 44/63 25/21 76/63 103/63 157/126 257/126 0
0 0 0 3/5 3/20 7/20 1/2 13/10 23/20 11/10 59/40 47/20 0
0 0 0 8/15 1/10 3/10 2/5 17/15 31/30 16/15 8/5 32/15 0
0 0 0 17/26 1/6 37/78 25/39 18/13 33/26 53/39 223/156 92/39 0
0 0 0 14/23 17/138 65/138 41/69 29/23 55/46 97/69 101/69 148/69 0
0 0 0 4/11 3/11 4/11 7/11 14/11 12/11 15/11 15/11 25/11 0
0 0 0 3/10 1/5 3/10 1/2 11/10 9/10 6/5 7/5 2 0
0 0 0 5/13 2/13 5/13 7/13 20/13 16/13 15/13 24/13 36/13 0
0 0 0 3/10 1/10 3/10 2/5 13/10 1 1 19/10 12/5 0
0 0 0 4/13 2/13 4/13 6/13 20/13 16/13 1 51/26 37/13 0
0 0 0 2/9 1/9 2/9 1/3 4/3 19/18 8/9 19/9 23/9 0
0 0 0 8/15 3/10 11/30 2/3 13/15 11/10 23/15 13/10 19/10 0
0 0 0 1/2 5/28 9/28 4/7 13/14 13/14 9/7 5/4 7/4 0
0 0 0 5/8 23/144 71/144 209/288 53/48 79/72 227/144 43/36 257/144 0
0 0 0 1/2 3/28 9/28 3/7 15/14 27/28 1 23/14 2 0
0 0 0 3/5 17/150 77/150 191/300 59/50 28/25 209/150 211/150 29/15 0
0 0 0 3/10 1/5 3/10 1/2 1 4/5 11/10 7/5 9/5 0
0 0 0 3/10 1/10 3/10 2/5 6/5 9/10 9/10 19/10 11/5 0
0 0 0 2/9 1/9 2/9 1/3 11/9 17/18 7/9 19/9 7/3 0
0 0 0 10/13 8/13 9/13 8/13 1 16/13 20/13 10/13 24/13 0
0 0 0 5/7 15/28 17/28 13/28 13/14 33/28 3/2 15/14 51/28 0
0 0 0 2/3 5/12 7/12 1/2 1 1 5/4 19/24 5/3 0
0 0 0 8/13 9/26 1/2 9/26 12/13 12/13 15/13 1 41/26 0
0 0 0 10/13 19/39 31/39 28/39 16/13 50/39 5/3 67/78 25/13 0
0 0 0 13/18 11/27 89/108 17/27 7/6 34/27 187/108 109/108 65/36 0
0 0 0 11/17 4/17 8/17 7/17 21/17 18/17 1 22/17 36/17 0
0 0 0 3/5 7/30 13/30 3/10 16/15 29/30 1 41/30 28/15 0
0 0 0 7/10 4/15 37/60 17/30 27/20 73/60 77/60 77/60 11/5 0
0 0 0 15/22 19/66 95/132 37/66 27/22 161/132 199/132 83/66 43/22 0
0 0 0 5/9 4/9 5/9 4/9 10/9 8/9 10/9 1 16/9 0
0 0 0 1/2 2/5 1/2 3/10 1 4/5 1 11/10 8/5 0
0 0 0 1/2 1/4 1/2 5/12 17/12 13/12 1 19/12 29/12 0
0 0 0 5/11 3/11 5/11 3/11 13/11 10/11 10/11 17/11 2 0
0 0 0 5/12 1/4 5/12 1/3 17/12 13/12 5/6 41/24 5/2 0
0 0 0 2/5 3/10 2/5 1/5 6/5 19/20 4/5 17/10 21/10 0
0 0 0 7/11 1/2 13/22 1/2 9/11 23/22 15/11 13/11 35/22 0
0 0 0 6/11 7/22 1/2 9/22 9/11 9/11 12/11 12/11 31/22 0
0 0 0 2/3 19/54 95/108 20/27 13/12 65/54 193/108 28/27 59/36 0
0 0 0 7/13 5/26 11/26 9/26 1 23/26 12/13 3/2 23/13 0
0 0 0 7/11 8/33 101/132 43/66 51/44 155/132 205/132 169/132 20/11 0
0 0 0 4/9 1/3 4/9 1/3 8/9 2/3 8/9 11/9 13/9 0
0 0 0 2/5 1/5 2/5 3/10 11/10 4/5 4/5 17/10 19/10 0
0 0 0 1/3 2/9 1/3 2/9 10/9 5/6 2/3 17/9 2 0
0 0 0 5/6 3/4 5/6 2/3 1 7/6 17/12 5/8 19/12 0
0 0 0 7/9 13/18 5/6 5/9 8/9 19/18 4/3 13/18 25/18 0
0 0 0 3/4 7/12 3/4 7/12 1 1 5/4 2/3 3/2 0
0 0 0 7/10 11/20 3/4 1/2 9/10 9/10 6/5 3/4 27/20 0
0 0 0 13/15 2/3 46/45 5/6 37/30 59/45 26/15 7/10 26/15 0
0 0 0 13/15 2/3 107/90 13/15 37/30 62/45 59/30 23/30 17/10 0
0 0 0 12/17 6/17 10/17 8/17 21/17 18/17 1 41/34 2 0
0 0 0 2/3 3/8 5/8 5/12 13/12 23/24 1 5/4 7/4 0
0 0 0 17/22 9/22 26/33 29/44 59/44 41/33 15/11 25/22 45/22 0
0 0 0 15/19 9/19 113/114 14/19 49/38 149/114 63/38 21/19 36/19 0
0 0 0 7/10 3/5 7/10 1/2 11/10 9/10 11/10 17/20 8/5 0
0 0 0 2/3 5/9 2/3 7/18 1 7/9 1 17/18 13/9 0
0 0 0 8/13 5/13 8/13 6/13 18/13 14/13 1 37/26 29/13 0
0 0 0 3/5 2/5 3/5 7/20 6/5 9/10 9/10 29/20 19/10 0
0 0 0 7/13 5/13 7/13 5/13 18/13 14/13 11/13 20/13 30/13 0
0 0 0 5/9 4/9 5/9 5/18 11/9 17/18 7/9 29/18 2 0
0 0 0 2/3 11/18 13/18 5/9 7/9 17/18 11/9 5/6 23/18 0
