0 0 0 7/23 18/23 4/23 28/23 7/23 1 42/23 71/46 48/23 141/46 0
0 0 0 8/25 4/5 4/25 31/25 9/25 26/25 103/50 46/25 64/25 84/25 0
0 0 0 5/16 13/16 3/16 19/16 5/8 45/32 153/64 21/8 225/64 4 0
0 0 0 1/4 5/8 1/8 17/16 7/16 31/32 13/8 59/32 65/32 95/32 0
0 0 0 4/13 9/13 1/13 1 7/13 14/13 25/13 28/13 33/13 42/13 0
0 0 0 6/17 14/17 2/17 18/17 1 29/17 44/17 56/17 70/17 75/17 0
0 0 0 5/14 25/28 5/28 41/28 2/7 85/84 2 3/2 55/28 181/56 0
0 0 0 2/7 5/7 1/7 29/21 17/42 61/63 11/6 73/42 79/42 19/6 0
0 0 0 5/18 5/6 2/9 7/6 7/18 8/9 29/18 11/9 31/18 47/18 0
0 0 0 6/23 20/23 5/23 27/23 11/23 43/46 87/46 37/23 107/46 68/23 0
0 0 0 6/25 21/25 7/25 27/25 19/25 63/50 21/10 11/5 31/10 17/5 0
0 0 0 3/14 9/14 1/7 1 1/2 6/7 10/7 3/2 12/7 18/7 0
0 0 0 3/13 9/13 1/13 12/13 8/13 12/13 22/13 23/13 29/13 36/13 0
0 0 0 2/7 11/14 1/7 13/14 15/14 3/2 31/14 19/7 25/7 26/7 0
0 0 0 4/11 1 5/22 3/2 4/11 21/22 21/11 5/4 37/22 65/22 0
0 0 0 5/18 7/9 1/6 25/18 17/36 11/12 7/4 3/2 5/3 53/18 0
0 0 0 3/20 4/5 3/10 21/20 1/2 9/10 27/20 47/40 17/10 19/8 0
0 0 0 1/9 7/9 5/18 17/18 5/9 8/9 17/12 41/36 67/36 9/4 0
0 0 0 3/22 17/22 7/22 10/11 8/11 25/22 73/44 73/44 109/44 119/44 0
0 0 0 1/8 11/16 3/16 15/16 5/8 29/32 5/4 3/2 7/4 5/2 0
0 0 0 1/10 3/5 1/10 7/10 7/10 9/10 13/10 7/5 19/10 11/5 0
0 0 0 1/6 2/3 1/6 3/4 1 4/3 7/4 13/6 35/12 3 0
0 0 0 1/10 17/20 3/10 1 3/5 37/40 119/80 11/10 15/8 9/4 0
0 0 0 1/8 5/6 1/3 23/24 3/4 55/48 163/96 19/12 39/16 8/3 0
0 0 0 1/10 7/10 1/10 4/5 4/5 1 29/20 7/5 2 23/10 0
0 0 0 1/6 3/4 1/6 5/6 13/12 17/12 15/8 13/6 3 37/12 0
0 0 0 1/2 23/22 4/11 29/22 29/44 9/11 7/4 25/22 73/44 59/22 0
0 0 0 9/17 39/34 7/17 23/17 63/68 65/68 141/68 27/17 81/34 105/34 0
0 0 0 4/11 9/11 9/22 1 25/22 59/44 91/44 25/11 73/22 37/11 0
0 0 0 1/2 23/22 5/22 15/11 3/4 9/11 7/4 31/22 75/44 63/22 0
0 0 0 7/13 15/13 3/13 35/26 51/52 25/26 27/13 22/13 123/52 81/26 0
0 0 0 2/5 13/15 1/5 1 4/3 23/15 34/15 8/3 56/15 56/15 0
0 0 0 13/23 27/23 8/23 36/23 27/46 21/23 93/46 53/46 75/46 68/23 0
0 0 0 12/23 25/23 5/23 38/23 16/23 41/46 47/23 33/23 77/46 73/23 0
0 0 0 1/4 3/4 7/16 15/16 3/4 7/8 19/16 9/8 27/16 35/16 0
0 0 0 2/9 13/18 4/9 5/6 17/18 11/12 47/36 11/9 73/36 13/6 0
0 0 0 2/9 2/3 1/2 7/9 10/9 43/36 55/36 5/3 47/18 23/9 0
0 0 0 1/4 3/4 1/4 15/16 13/16 7/8 19/16 23/16 7/4 39/16 0
0 0 0 3/13 9/13 3/13 10/13 1 12/13 17/13 18/13 27/13 29/13 0
0 0 0 1/4 2/3 1/4 3/4 5/4 4/3 5/3 2 35/12 17/6 0
0 0 0 3/17 13/17 8/17 15/17 1 35/34 49/34 21/17 73/34 38/17 0
0 0 0 4/19 14/19 10/19 16/19 22/19 47/38 61/38 31/19 50/19 49/19 0
0 0 0 2/11 8/11 2/11 9/11 12/11 12/11 3/2 16/11 25/11 26/11 0
0 0 0 1/4 3/4 1/4 5/6 4/3 17/12 43/24 2 3 35/12 0
0 0 0 14/25 29/25 13/25 69/50 13/15 9/10 133/75 163/150 239/150 197/75 0
0 0 0 15/26 31/26 15/26 35/26 13/12 49/52 23/12 95/78 151/78 106/39 0
0 0 0 16/27 11/9 10/27 79/54 145/162 49/54 148/81 211/162 263/162 230/81 0
0 0 0 13/22 27/22 9/22 15/11 145/132 21/22 65/33 89/66 257/132 185/66 0
0 0 0 11/17 45/34 33/68 28/17 77/102 16/17 823/408 52/51 293/204 577/204 0
0 0 0 24/37 49/37 13/37 65/37 175/222 69/74 25/12 134/111 323/222 673/222 0
0 0 0 1/3 19/21 4/7 15/14 37/42 13/14 55/42 47/42 34/21 16/7 0
0 0 0 5/17 13/17 8/17 15/17 1 33/34 45/34 19/17 65/34 36/17 0
0 0 0 4/11 21/22 9/22 49/44 10/11 41/44 59/44 59/44 18/11 5/2 0
0 0 0 4/13 10/13 4/13 11/13 14/13 1 18/13 17/13 2 29/13 0
0 0 0 4/17 13/17 8/17 15/17 1 35/34 47/34 19/17 67/34 36/17 0
0 0 0 1/4 3/4 1/4 5/6 13/12 13/12 35/24 4/3 25/12 9/4 0
0 0 0 5/19 13/19 10/19 16/19 18/19 18/19 20/19 49/38 37/19 85/38 0
0 0 0 5/18 2/3 1/2 7/9 10/9 1 41/36 23/18 13/6 13/6 0
0 0 0 5/19 12/19 10/19 14/19 23/19 23/19 51/38 31/19 99/38 47/19 0
0 0 0 3/10 3/4 7/20 9/10 11/10 41/40 11/10 71/40 87/40 109/40 0
0 0 0 4/13 9/13 4/13 10/13 16/13 14/13 16/13 20/13 31/13 31/13 0
0 0 0 4/13 9/13 4/13 10/13 18/13 18/13 20/13 2 3 37/13 0
0 0 0 8/25 4/5 16/25 47/50 51/50 143/150 57/50 31/25 9/5 113/50 0
