0 0 0 9/34 14/17 10/17 5/17 1 73/68 57/68 109/68 129/68 203/68 0
0 0 0 7/27 22/27 16/27 7/27 26/27 19/18 5/6 83/54 43/27 5/2 0
0 0 0 4/15 23/30 19/30 1/5 13/15 13/12 73/60 103/60 97/60 131/60 0
0 0 0 10/39 32/39 22/39 4/13 27/26 139/117 61/78 61/39 37/18 41/13 0
0 0 0 4/29 16/29 10/29 7/29 34/29 22/29 24/29 48/29 99/58 85/29 0
0 0 0 1/7 11/21 8/21 4/21 22/21 16/21 6/7 11/7 29/21 17/7 0
0 0 0 3/22 5/11 9/22 3/22 21/22 17/22 13/11 18/11 61/44 45/22 0
0 0 0 4/27 16/27 10/27 8/27 23/18 17/18 7/9 89/54 103/54 169/54 0
0 0 0 3/23 11/23 8/23 6/23 29/23 18/23 19/23 37/23 34/23 60/23 0
0 0 0 1/8 5/12 3/8 5/24 9/8 37/48 7/8 19/12 31/24 19/8 0
0 0 0 3/22 9/22 5/11 3/22 23/22 37/44 13/11 37/22 15/11 45/22 0
0 0 0 3/23 12/23 8/23 7/23 61/46 43/46 18/23 73/46 38/23 127/46 0
0 0 0 3/25 2/5 9/25 6/25 36/25 113/150 11/15 3/2 104/75 21/10 0
0 0 0 1/8 3/8 5/12 5/24 11/8 29/36 29/36 73/48 187/144 95/48 0
0 0 0 5/33 13/33 16/33 2/11 46/33 86/99 115/99 37/22 136/99 43/22 0
0 0 0 3/26 11/26 9/26 7/26 77/52 34/39 107/156 3/2 239/156 59/26 0
0 0 0 13/34 1 14/17 13/34 31/34 1 14/17 3/2 7/4 95/34 0
0 0 0 5/13 1 11/13 9/26 23/26 1 21/26 37/26 37/26 59/26 0
0 0 0 11/26 27/26 25/26 7/26 11/13 14/13 27/26 19/13 75/52 24/13 0
0 0 0 7/22 35/44 8/11 17/44 27/22 29/44 39/44 19/11 131/88 59/22 0
0 0 0 11/32 13/16 13/16 11/32 35/32 11/16 7/8 51/32 19/16 71/32 0
0 0 0 10/27 23/27 25/27 2/9 28/27 7/9 26/27 37/27 65/54 5/3 0
0 0 0 3/11 2/3 2/3 14/33 16/11 2/3 31/33 20/11 15/11 85/33 0
0 0 0 4/15 19/30 7/10 11/30 19/15 7/10 14/15 5/3 7/6 23/10 0
0 0 0 7/22 8/11 10/11 5/22 13/11 19/22 1 16/11 27/22 19/11 0
0 0 0 8/31 19/31 21/31 12/31 52/31 22/31 53/62 51/31 43/31 67/31 0
0 0 0 7/26 8/13 10/13 9/26 41/26 21/26 45/52 3/2 5/4 49/26 0
0 0 0 1/3 8/11 10/11 3/11 18/11 10/11 71/66 17/11 43/33 58/33 0
0 0 0 7/18 11/12 11/12 17/36 7/9 73/72 35/36 3/2 5/4 79/36 0
0 0 0 14/29 32/29 33/29 10/29 49/58 69/58 30/29 42/29 40/29 51/29 0
0 0 0 7/18 31/36 35/36 17/36 1 5/6 35/36 29/18 10/9 13/6 0
0 0 0 12/25 26/25 31/25 8/25 53/50 51/50 23/25 33/25 6/5 39/25 0
0 0 0 13/43 29/43 39/43 1/2 101/86 37/43 46/43 143/86 46/43 187/86 0
0 0 0 11/28 6/7 17/14 19/56 8/7 15/14 27/28 79/56 8/7 89/56 0
0 0 0 9/32 5/8 15/16 31/64 105/64 61/64 33/32 101/64 39/32 123/64 0
0 0 0 13/35 4/5 39/35 27/70 17/10 38/35 39/35 111/70 46/35 123/70 0
0 0 0 20/37 44/37 49/37 25/74 63/74 283/222 34/37 48/37 299/222 57/37 0
0 0 0 17/31 36/31 45/31 19/62 33/31 71/62 25/31 36/31 37/31 42/31 0
0 0 0 15/31 32/31 45/31 11/31 71/62 38/31 27/31 79/62 75/62 89/62 0
0 0 0 5/11 21/22 29/22 3/8 18/11 13/11 43/44 119/88 14/11 131/88 0
0 0 0 2/15 1/3 1/3 8/15 3/5 1 19/15 17/15 28/15 43/15 0
0 0 0 1/7 5/14 5/14 3/7 4/7 13/14 8/7 1 11/7 17/7 0
0 0 0 2/11 9/22 5/11 4/11 13/22 1 18/11 16/11 71/44 25/11 0
0 0 0 1/8 5/16 5/16 5/8 11/16 19/16 11/8 5/4 35/16 53/16 0
0 0 0 1/11 3/11 3/11 5/11 1 9/11 13/11 12/11 19/11 30/11 0
0 0 0 1/10 3/10 3/10 3/10 4/5 7/10 1 9/10 13/10 21/10 0
0 0 0 1/8 5/16 3/8 1/4 13/16 3/4 23/16 21/16 43/32 2 0
0 0 0 1/10 3/10 3/10 3/5 6/5 11/10 13/10 6/5 21/10 16/5 0
0 0 0 1/10 3/10 3/10 1/2 6/5 9/10 6/5 11/10 17/10 27/10 0
0 0 0 1/11 3/11 3/11 4/11 1 8/11 12/11 1 14/11 24/11 0
0 0 0 2/15 1/3 2/5 4/15 14/15 4/5 22/15 4/3 4/3 2 0
0 0 0 1/10 3/10 3/10 3/5 13/10 11/10 13/10 6/5 2 31/10 0
0 0 0 1/10 3/10 3/10 1/2 13/10 9/10 6/5 11/10 17/10 13/5 0
0 0 0 1/10 3/10 3/10 2/5 6/5 4/5 11/10 1 7/5 11/5 0
0 0 0 1/7 1/3 3/7 1/3 4/3 55/63 34/21 31/21 181/126 43/21 0
0 0 0 1/10 3/10 3/10 3/5 7/5 11/10 13/10 6/5 2 3 0
0 0 0 1/6 7/18 7/18 2/3 1/2 7/9 25/18 11/9 5/3 49/18 0
0 0 0 3/16 7/16 7/16 9/16 1/2 3/4 5/4 17/16 11/8 9/4 0
0 0 0 3/11 13/22 7/11 5/11 13/22 10/11 3/2 14/11 63/44 2 0
