0 0 0 7/33 8/33 5/11 7/33 62/99 74/99 38/33 11/9 145/99 68/33 487/198 0
0 0 0 8/39 4/13 17/39 5/26 11/18 205/234 17/13 97/78 193/117 187/78 197/78 0
0 0 0 8/37 9/37 19/37 8/37 23/37 55/74 83/74 45/37 176/111 71/37 95/37 0
0 0 0 3/22 1/4 25/44 35/132 35/66 25/33 173/132 181/132 4/3 307/132 217/88 0
0 0 0 6/43 13/43 22/43 65/258 139/258 153/172 359/258 60/43 66/43 667/258 647/258 0
0 0 0 5/48 5/16 53/96 5/18 71/144 175/192 193/144 271/192 25/16 727/288 343/144 0
0 0 0 8/33 3/11 13/33 8/33 71/99 95/99 40/33 127/99 175/99 73/33 281/99 0
0 0 0 10/43 14/43 17/43 17/86 173/258 265/258 58/43 54/43 479/258 213/86 239/86 0
0 0 0 1/4 5/18 4/9 1/4 13/18 23/24 85/72 31/24 203/108 25/12 211/72 0
0 0 0 10/39 11/39 19/39 10/39 85/117 14/13 15/13 152/117 233/117 77/39 118/39 0
0 0 0 7/44 4/11 21/44 7/22 107/132 89/132 61/44 101/66 101/66 111/44 359/132 0
0 0 0 7/46 10/23 17/46 29/92 109/138 209/276 65/46 409/276 451/276 62/23 243/92 0
0 0 0 8/49 18/49 4/7 16/49 40/49 33/49 135/98 151/98 499/294 117/49 142/49 0
0 0 0 6/49 18/49 4/7 53/147 109/147 106/147 215/147 34/21 206/147 388/147 37/14 0
0 0 0 5/43 19/43 20/43 95/258 95/129 211/258 371/258 409/258 193/129 356/129 647/258 0
0 0 0 4/43 20/43 45/86 52/129 181/258 113/129 353/258 827/516 199/129 8/3 304/129 0
0 0 0 3/32 31/64 65/128 89/192 311/384 77/96 565/384 161/96 127/96 517/192 657/256 0
0 0 0 1/11 6/11 2/5 73/165 43/55 289/330 311/220 53/33 461/330 151/55 79/33 0
0 0 0 1/13 29/52 49/104 11/24 3/4 289/312 279/208 1009/624 35/24 137/52 703/312 0
