0 0 0 10/33 26/33 10/33 37/33 1/3 1 20/11 101/66 24/11 617/198 299/66 0
0 0 0 9/32 23/32 11/32 9/8 5/16 89/96 341/192 49/32 71/32 287/96 845/192 0
0 0 0 8/31 20/31 12/31 35/31 9/31 79/93 109/62 95/62 70/31 94/31 136/31 0
0 0 0 2/7 26/35 12/35 44/35 11/35 79/84 172/105 8/5 153/70 281/105 25/6 0
0 0 0 4/23 13/23 7/23 31/23 5/23 16/23 29/23 28/23 34/23 151/69 75/23 0
0 0 0 1/7 10/21 1/3 4/3 4/21 38/63 73/63 8/7 10/7 122/63 184/63 0
0 0 0 2/19 7/19 7/19 25/19 3/19 28/57 20/19 20/19 26/19 35/19 51/19 0
0 0 0 1/6 13/24 1/3 3/2 5/24 191/288 167/144 4/3 25/16 67/36 55/18 0
0 0 0 3/20 9/20 3/20 5/4 1/5 11/20 29/30 139/120 67/60 139/80 27/10 0
0 0 0 2/15 2/5 2/15 6/5 1/5 23/45 17/18 103/90 52/45 14/9 221/90 0
0 0 0 1/11 3/11 1/11 12/11 2/11 13/33 5/6 35/33 37/33 49/33 24/11 0
0 0 0 3/17 9/17 3/17 25/17 4/17 131/204 55/51 49/34 25/17 86/51 299/102 0
0 0 0 1/11 3/11 1/11 12/11 2/11 13/33 7/11 10/11 28/33 49/44 18/11 0
0 0 0 1/11 3/11 1/11 12/11 2/11 13/33 15/22 21/22 31/33 13/11 39/22 0
0 0 0 1/11 3/11 1/11 12/11 2/11 13/33 49/66 1 34/33 43/33 21/11 0
0 0 0 1/7 3/7 1/7 10/7 3/14 13/24 19/21 113/84 19/14 61/42 71/28 0
0 0 0 11/34 29/34 9/34 19/17 6/17 109/102 139/68 26/17 73/34 683/204 81/17 0
0 0 0 1/5 16/25 7/25 34/25 6/25 58/75 38/25 32/25 38/25 38/15 92/25 0
0 0 0 4/25 12/25 4/25 32/25 1/5 43/75 29/25 7/6 82/75 601/300 3 0
0 0 0 1/11 3/11 1/11 12/11 2/11 13/33 43/66 19/22 25/33 139/132 3/2 0
0 0 0 9/26 25/26 4/13 14/13 5/13 25/26 23/13 73/52 51/26 151/52 217/52 0
0 0 0 3/10 14/15 7/20 16/15 1/3 4/5 101/60 41/30 29/15 13/5 77/20 0
0 0 0 9/34 16/17 49/136 1 5/17 23/34 341/204 22/17 127/68 130/51 123/34 0
0 0 0 10/31 30/31 23/62 39/31 11/31 27/31 99/62 47/31 125/62 74/31 235/62 0
0 0 0 4/19 14/19 6/19 25/19 5/19 14/19 26/19 23/19 28/19 43/19 63/19 0
0 0 0 3/20 13/20 7/20 13/10 1/5 11/20 6/5 11/10 27/20 37/20 14/5 0
