0 0 7/33 0 16/33 37/99 4/3 80/99 89/66 193/99 86/99 3/2 27/11 0
0 0 9/34 0 9/17 21/68 43/34 12/17 41/34 147/68 57/68 109/68 147/68 0
0 0 4/13 0 7/13 23/78 16/13 9/13 50/39 173/78 73/78 22/13 167/78 0
0 0 5/29 0 14/29 31/87 37/29 77/87 39/29 163/87 83/87 40/29 69/29 0
0 0 1/7 0 3/7 1/3 20/21 6/7 26/21 41/21 1 31/21 41/21 0
0 0 4/23 0 10/23 8/23 21/23 21/23 32/23 48/23 28/23 40/23 47/23 0
0 0 4/19 0 5/19 7/19 35/19 15/19 49/38 35/19 17/19 55/38 85/38 0
0 0 7/27 0 1/3 1/3 17/9 20/27 7/6 13/6 26/27 5/3 115/54 0
0 0 11/37 0 14/37 11/37 66/37 25/37 45/37 159/74 40/37 127/74 149/74 0
0 0 3/19 0 4/19 6/19 31/19 16/19 24/19 33/19 18/19 25/19 79/38 0
0 0 3/20 0 1/4 3/10 29/20 4/5 9/8 9/5 41/40 57/40 9/5 0
0 0 5/27 0 8/27 8/27 38/27 7/9 11/9 17/9 67/54 89/54 49/27 0
0 0 7/37 0 20/37 46/111 51/37 101/111 53/37 226/111 149/111 54/37 98/37 0
0 0 4/25 0 14/25 11/25 24/25 23/25 7/5 11/5 37/25 8/5 11/5 0
0 0 1/5 0 14/25 12/25 23/25 1 39/25 58/25 41/25 46/25 57/25 0
0 0 3/17 0 7/17 7/17 32/17 31/34 49/34 35/17 27/17 25/17 169/68 0
0 0 5/33 0 14/33 5/11 56/33 32/33 31/22 24/11 113/66 109/66 24/11 0
0 0 7/39 0 5/13 19/39 43/26 40/39 20/13 88/39 11/6 49/26 86/39 0
0 0 9/22 0 13/22 7/22 14/11 8/11 23/22 17/11 15/22 14/11 45/22 0
0 0 3/7 0 9/14 15/56 37/28 9/14 27/28 27/14 5/7 10/7 53/28 0
0 0 13/28 0 9/14 17/56 9/7 5/7 8/7 29/14 23/28 45/28 27/14 0
0 0 1/3 0 4/7 5/21 8/7 5/7 20/21 29/21 2/3 1 38/21 0
0 0 6/19 0 10/19 4/19 18/19 12/19 15/19 28/19 13/19 20/19 27/19 0
0 0 5/17 0 8/17 5/17 14/17 14/17 18/17 28/17 16/17 24/17 26/17 0
0 0 5/13 0 6/13 4/13 23/13 9/13 1 19/13 9/13 16/13 24/13 0
0 0 5/12 0 1/2 7/24 23/12 2/3 23/24 2 5/6 3/2 15/8 0
0 0 13/28 0 15/28 9/28 27/14 5/7 31/28 29/14 13/14 45/28 51/28 0
0 0 2/7 0 5/14 3/14 10/7 5/7 13/14 9/7 5/7 1 11/7 0
0 0 6/19 0 8/19 4/19 26/19 12/19 15/19 28/19 15/19 21/19 26/19 0
0 0 1/3 0 3/7 2/7 29/21 16/21 1 34/21 1 29/21 10/7 0
0 0 11/27 0 2/3 7/27 34/27 17/27 8/9 38/27 26/27 25/27 53/27 0
0 0 8/21 0 2/3 2/7 20/21 13/21 17/21 11/7 1 22/21 32/21 0
0 0 6/17 0 10/17 7/17 14/17 15/17 20/17 31/17 22/17 26/17 29/17 0
0 0 2/5 0 14/25 6/25 39/25 3/5 21/25 34/25 28/25 22/25 44/25 0
0 0 2/5 0 17/30 3/10 23/15 2/3 5/6 5/3 37/30 11/10 23/15 0
0 0 9/26 0 6/13 11/26 19/13 12/13 31/26 24/13 37/26 41/26 22/13 0
0 0 12/23 0 15/23 8/23 29/23 18/23 51/46 35/23 17/23 31/23 48/23 0
0 0 1/2 0 9/16 1/4 17/16 5/8 7/8 21/16 9/16 19/16 25/16 0
0 0 1/2 0 5/9 5/18 1 2/3 19/18 3/2 2/3 4/3 14/9 0
0 0 11/23 0 15/23 6/23 26/23 18/23 47/46 31/23 17/23 25/23 43/23 0
0 0 6/13 0 7/13 2/13 11/13 7/13 9/13 14/13 6/13 10/13 14/13 0
0 0 5/13 0 6/13 3/13 9/13 9/13 12/13 16/13 9/13 14/13 15/13 0
0 0 6/13 0 7/13 4/13 23/13 9/13 1 18/13 9/13 16/13 23/13 0
0 0 7/13 0 8/13 3/13 21/13 7/13 10/13 16/13 7/13 1 17/13 0
0 0 5/9 0 11/18 5/18 5/3 11/18 1 3/2 13/18 11/9 4/3 0
0 0 5/14 0 3/7 3/14 10/7 5/7 13/14 17/14 5/7 1 3/2 0
0 0 6/13 0 7/13 2/13 17/13 7/13 9/13 14/13 7/13 10/13 1 0
0 0 7/16 0 1/2 1/4 21/16 11/16 15/16 21/16 13/16 9/8 9/8 0
0 0 16/29 0 21/29 8/29 36/29 20/29 55/58 39/29 1 1 2 0
0 0 4/7 0 9/14 3/14 6/7 1/2 5/7 17/14 11/14 11/14 17/14 0
0 0 6/13 0 7/13 4/13 9/13 9/13 1 18/13 1 15/13 17/13 0
0 0 1/2 0 7/12 1/4 37/24 5/8 7/8 31/24 9/8 11/12 7/4 0
0 0 5/9 0 11/18 2/9 25/18 5/9 7/9 23/18 17/18 5/6 11/9 0
0 0 9/19 0 10/19 6/19 26/19 14/19 20/19 28/19 21/19 23/19 25/19 0
0 0 5/14 0 3/14 5/14 10/7 11/14 39/28 57/28 45/56 3/2 139/56 0
0 0 12/29 0 8/29 8/29 39/29 19/29 36/29 129/58 43/58 91/58 127/58 0
0 0 17/36 0 11/36 1/4 23/18 23/36 47/36 163/72 19/24 115/72 151/72 0
0 0 3/11 0 2/11 4/11 15/11 10/11 63/44 2 41/44 61/44 107/44 0
0 0 1/4 0 3/16 5/16 15/16 7/8 21/16 2 15/16 23/16 31/16 0
0 0 6/19 0 4/19 6/19 17/19 18/19 28/19 41/19 21/19 32/19 2 0
0 0 4/11 0 2/11 7/22 41/22 15/22 57/44 43/22 17/22 57/44 97/44 0
0 0 2/5 0 7/30 3/10 59/30 2/3 73/60 139/60 5/6 47/30 43/20 0
0 0 21/44 0 1/4 1/4 20/11 13/22 5/4 199/88 10/11 137/88 171/88 0
0 0 2/7 0 1/7 2/7 5/3 16/21 9/7 13/7 6/7 25/21 29/14 0
0 0 1/4 0 3/20 3/10 3/2 4/5 49/40 39/20 39/40 11/8 37/20 0
0 0 10/29 0 5/29 8/29 42/29 22/29 38/29 59/29 67/58 91/58 52/29 0
0 0 4/13 0 3/13 6/13 20/13 1 83/52 29/13 69/52 81/52 149/52 0
0 0 5/16 0 1/4 7/16 15/16 15/16 3/2 9/4 21/16 25/16 35/16 0
0 0 6/17 0 5/17 8/17 15/17 1 27/17 39/17 24/17 29/17 37/17 0
0 0 9/29 0 6/29 12/29 54/29 27/29 44/29 62/29 39/29 42/29 147/58 0
0 0 7/26 0 5/26 6/13 43/26 1 77/52 29/13 77/52 85/52 28/13 0
0 0 13/37 0 7/37 18/37 123/74 38/37 59/37 86/37 123/74 135/74 78/37 0
0 0 13/23 0 8/23 6/23 30/23 14/23 24/23 38/23 13/23 27/23 2 0
0 0 20/31 0 11/31 15/62 41/31 19/31 63/62 125/62 19/31 85/62 59/31 0
0 0 2/3 0 4/11 17/66 14/11 2/3 79/66 13/6 23/33 50/33 21/11 0
0 0 9/19 0 6/19 4/19 22/19 12/19 18/19 28/19 11/19 17/19 33/19 0
0 0 10/19 0 6/19 4/19 18/19 13/19 17/19 31/19 12/19 20/19 28/19 0
0 0 1/2 0 5/18 5/18 5/6 8/9 11/9 17/9 8/9 13/9 29/18 0
0 0 10/17 0 5/17 4/17 30/17 9/17 1 28/17 9/17 1 31/17 0
0 0 7/11 0 10/33 17/66 20/11 20/33 65/66 139/66 2/3 89/66 20/11 0
0 0 28/41 0 13/41 21/82 74/41 25/41 93/82 179/82 31/41 117/82 71/41 0
0 0 8/17 0 4/17 3/17 25/17 10/17 16/17 25/17 10/17 14/17 27/17 0
0 0 12/23 0 6/23 5/23 31/23 15/23 20/23 38/23 16/23 24/23 32/23 0
0 0 5/9 0 7/27 7/27 37/27 20/27 10/9 50/27 25/27 4/3 13/9 0
0 0 13/23 0 10/23 6/23 30/23 14/23 22/23 36/23 21/23 21/23 2 0
0 0 11/18 0 4/9 5/18 17/18 11/18 8/9 5/3 8/9 1 14/9 0
0 0 8/15 0 2/5 2/5 4/5 13/15 19/15 29/15 6/5 22/15 26/15 0
0 0 14/25 0 2/5 6/25 8/5 3/5 24/25 39/25 1 22/25 46/25 0
0 0 17/30 0 2/5 3/10 23/15 2/3 9/10 53/30 11/10 16/15 23/15 0
0 0 17/31 0 9/31 13/31 48/31 28/31 41/31 64/31 43/31 48/31 53/31 0
0 0 23/32 0 11/32 5/16 39/32 23/32 69/64 49/32 21/32 41/32 2 0
0 0 20/27 0 8/27 7/27 29/27 2/3 26/27 83/54 5/9 34/27 5/3 0
0 0 11/15 0 3/10 4/15 31/30 7/10 17/15 103/60 19/30 83/60 5/3 0
0 0 19/28 0 5/14 15/56 31/28 11/14 29/28 39/28 5/7 61/56 13/7 0
0 0 2/3 0 1/3 2/9 8/9 13/18 8/9 25/18 5/9 1 4/3 0
0 0 11/18 0 5/18 5/18 7/9 8/9 7/6 29/18 7/9 4/3 13/9 0
0 0 19/25 0 6/25 13/50 38/25 3/5 49/50 36/25 14/25 53/50 42/25 0
0 0 22/27 0 7/27 13/54 37/27 16/27 47/54 79/54 14/27 19/18 38/27 0
0 0 32/39 0 10/39 3/13 55/39 22/39 79/78 127/78 49/78 179/156 4/3 0
0 0 17/25 0 1/5 1/5 33/25 17/25 24/25 33/25 16/25 23/25 38/25 0
0 0 17/23 0 6/23 9/46 28/23 15/23 39/46 31/23 13/23 41/46 27/23 0
0 0 11/15 0 7/30 7/30 37/30 7/10 31/30 23/15 47/60 23/20 73/60 0
0 0 8/11 0 5/11 10/33 40/33 8/11 1 47/33 65/66 35/33 45/22 0
0 0 12/17 0 8/17 5/17 15/17 11/17 15/17 25/17 15/17 1 25/17 0
0 0 3/5 0 2/5 2/5 11/15 13/15 6/5 5/3 17/15 7/5 8/5 0
0 0 27/37 0 77/222 9/37 52/37 23/37 100/111 295/222 215/222 33/37 371/222 0
