0 0 0 9/11 43/66 5/22 23/22 26/33 35/33 8/11 19/11 56/33 0
0 0 0 3/4 37/72 7/24 25/24 7/9 35/36 5/6 7/4 59/36 0
0 0 0 9/11 43/66 5/22 23/22 26/33 35/33 10/11 17/11 56/33 0
0 0 0 3/4 37/72 7/24 25/24 7/9 35/36 1 19/12 59/36 0
0 0 0 4/5 2/3 3/20 19/20 2/3 61/60 13/20 29/20 22/15 0
0 0 0 3/4 5/9 5/24 23/24 47/72 67/72 3/4 3/2 25/18 0
0 0 0 11/14 13/28 13/28 8/7 13/14 31/28 17/14 23/14 41/21 0
0 0 0 11/15 11/30 1/2 17/15 41/45 31/30 19/15 5/3 17/9 0
0 0 0 10/13 37/78 9/26 1 61/78 79/78 27/26 18/13 5/3 0
0 0 0 5/7 31/84 11/28 1 65/84 79/84 31/28 10/7 34/21 0
0 0 0 11/14 13/28 11/28 37/28 1 33/28 13/14 15/7 44/21 0
0 0 0 11/15 11/30 13/30 13/10 44/45 11/10 1 32/15 91/45 0
0 0 0 10/13 37/78 7/26 31/26 67/78 85/78 9/13 51/26 71/39 0
0 0 0 5/7 31/84 9/28 33/28 71/84 85/84 11/14 55/28 37/21 0
0 0 0 3/4 5/16 13/32 19/16 43/48 101/96 31/32 57/32 15/8 0
0 0 0 12/17 4/17 15/34 20/17 15/17 101/102 35/34 61/34 31/17 0
0 0 0 14/15 4/5 3/10 64/45 44/45 7/6 83/90 187/90 92/45 0
0 0 0 15/17 12/17 11/34 73/51 49/51 37/34 101/102 217/102 101/51 0
0 0 0 10/11 5/6 3/22 83/66 25/33 35/33 16/33 62/33 18/11 0
0 0 0 11/13 55/78 5/26 101/78 10/13 38/39 25/39 77/39 21/13 0
0 0 0 10/11 5/6 3/22 40/33 25/33 35/33 25/33 53/33 18/11 0
0 0 0 11/13 55/78 5/26 49/39 10/13 38/39 34/39 68/39 21/13 0
0 0 0 8/9 23/27 1/18 59/54 16/27 55/54 23/54 79/54 4/3 0
0 0 0 5/6 13/18 1/8 83/72 5/8 67/72 11/18 59/36 4/3 0
0 0 0 5/6 5/8 3/8 37/24 25/24 5/4 5/6 19/8 79/36 0
0 0 0 10/13 1/2 11/26 3/2 79/78 15/13 12/13 61/26 82/39 0
0 0 0 9/11 43/66 5/22 31/22 29/33 38/33 6/11 24/11 62/33 0
0 0 0 3/4 37/72 7/24 11/8 31/36 19/18 2/3 13/6 65/36 0
0 0 0 8/9 23/27 1/18 133/108 16/27 55/54 7/27 44/27 4/3 0
0 0 0 5/6 13/18 1/8 187/144 5/8 67/72 4/9 65/36 4/3 0
0 0 0 8/9 23/27 1/18 121/108 29/54 55/54 17/54 38/27 11/9 0
0 0 0 6/7 16/21 3/28 205/168 4/7 79/84 41/84 139/84 17/14 0
0 0 0 4/5 2/3 3/20 11/8 23/30 67/60 2/5 2 5/3 0
0 0 0 3/4 5/9 5/24 65/48 53/72 73/72 1/2 2 14/9 0
0 0 0 14/15 4/5 22/45 37/30 44/45 7/6 103/90 167/90 92/45 0
0 0 0 15/17 12/17 28/51 41/34 49/51 37/34 127/102 191/102 101/51 0
0 0 0 10/11 5/6 10/33 23/22 25/33 35/33 23/33 5/3 18/11 0
0 0 0 11/13 55/78 16/39 27/26 10/13 38/39 35/39 67/39 21/13 0
0 0 0 10/11 5/6 23/66 23/22 25/33 35/33 32/33 46/33 18/11 0
0 0 0 11/13 55/78 35/78 27/26 10/13 38/39 44/39 58/39 21/13 0
0 0 0 8/9 23/27 11/54 17/18 16/27 55/54 31/54 71/54 4/3 0
0 0 0 5/6 13/18 23/72 23/24 5/8 67/72 29/36 13/9 4/3 0
0 0 0 5/6 5/8 5/8 7/6 23/24 7/6 11/8 19/12 73/36 0
0 0 0 10/13 1/2 17/26 15/13 73/78 14/13 37/26 21/13 76/39 0
0 0 0 9/11 43/66 1/2 1 26/33 35/33 13/11 14/11 56/33 0
0 0 0 3/4 37/72 13/24 1 7/9 35/36 5/4 4/3 59/36 0
0 0 0 1 8/9 49/135 184/135 127/135 41/36 169/180 349/180 88/45 0
0 0 0 21/22 9/11 13/30 229/165 103/110 47/44 239/220 449/220 211/110 0
0 0 0 1 73/78 38/195 37/30 48/65 41/39 32/65 9/5 308/195 0
0 0 0 16/17 5/6 83/255 661/510 199/255 50/51 67/85 167/85 413/255 0
0 0 0 1 73/78 7/30 233/195 48/65 41/39 4/5 97/65 308/195 0
0 0 0 16/17 5/6 181/510 19/15 199/255 50/51 87/85 147/85 413/255 0
0 0 0 1 29/30 31/300 331/300 14/25 61/60 39/100 139/100 94/75 0
0 0 0 14/15 38/45 121/450 541/450 293/450 17/18 19/25 127/75 308/225 0
0 0 0 1 26/27 7/90 677/540 74/135 55/54 26/135 211/135 56/45 0
0 0 0 12/13 32/39 27/130 1067/780 81/130 73/78 101/195 361/195 86/65 0
0 0 0 1 26/27 7/90 617/540 133/270 55/54 67/270 181/135 17/15 0
0 0 0 14/15 38/45 9/50 1157/900 43/75 17/18 247/450 767/450 91/75 0
0 0 0 8/9 23/27 37/108 17/18 16/27 55/54 20/27 31/27 4/3 0
0 0 0 5/6 13/18 67/144 23/24 5/8 67/72 35/36 23/18 4/3 0
0 0 0 8/9 23/27 25/108 17/18 29/54 55/54 14/27 65/54 11/9 0
0 0 0 6/7 16/21 61/168 27/28 4/7 79/84 67/84 113/84 17/14 0
0 0 0 4/5 2/3 19/40 9/10 2/3 61/60 1 11/10 22/15 0
0 0 0 3/4 5/9 25/48 11/12 47/72 67/72 13/12 7/6 25/18 0
0 0 0 1 26/27 137/540 97/90 74/135 55/54 76/135 161/135 56/45 0
0 0 0 12/13 32/39 347/780 147/130 81/130 73/78 181/195 281/195 86/65 0
0 0 0 1 26/27 77/540 97/90 133/270 55/54 46/135 337/270 17/15 0
0 0 0 14/15 38/45 317/900 167/150 43/75 17/18 347/450 667/450 91/75 0
0 0 0 1 26/27 19/180 199/180 64/135 55/54 4/15 19/15 148/135 0
0 0 0 16/17 44/51 89/340 409/340 134/255 97/102 52/85 132/85 283/255 0
