0 0 0 25/53 121/106 13/53 54/53 43/106 1931/1590 3527/1590 5093/3180 267/106 3733/1590 5489/1590 0
0 0 0 10/21 31/28 5/21 6/7 9/28 118/105 1301/630 857/630 209/84 2713/1260 1343/420 0
0 0 0 1/2 113/96 11/48 15/16 13/32 1771/1440 23/10 4613/2880 707/288 3523/1440 1673/480 0
0 0 0 19/39 29/26 3/13 31/39 25/78 658/585 2477/1170 797/585 563/234 2623/1170 3739/1170 0
0 0 0 11/24 325/288 7/24 23/24 163/288 1003/720 1621/720 853/480 677/288 3953/1440 4949/1440 0
0 0 0 19/45 283/270 14/45 1 133/270 577/450 1421/675 251/150 647/270 1759/675 1453/450 0
0 0 0 16/39 25/26 11/39 37/39 9/26 407/390 2167/1170 1679/1170 23/9 181/90 381/130 0
0 0 0 16/39 73/78 11/39 34/39 9/26 1181/1170 2177/1170 1679/1170 191/78 2443/1170 3349/1170 0
0 0 0 4/11 301/330 19/55 13/11 157/330 1249/1100 1526/825 2909/1650 28/11 4003/1650 1563/550 0
0 0 0 9/35 5/7 1/5 8/5 3/7 2117/2100 946/525 3571/2100 173/70 1487/700 326/105 0
0 0 0 8/31 21/31 5/31 41/31 9/31 529/620 237/155 2371/1860 141/62 1077/620 241/93 0
0 0 0 8/27 20/27 4/27 40/27 4/9 37/36 103/54 551/324 377/162 9/4 28/9 0
0 0 0 7/25 17/25 3/25 29/25 7/25 251/300 233/150 359/300 311/150 177/100 37/15 0
0 0 0 1/4 2/3 1/6 35/24 2/3 5/4 89/48 545/288 317/144 253/96 37/12 0
0 0 0 2/9 17/27 5/27 37/27 13/27 169/162 263/162 509/324 353/162 9/4 215/81 0
0 0 0 3/11 8/11 2/11 15/11 3/11 37/44 3/2 31/22 85/33 73/44 163/66 0
0 0 0 1/4 13/20 3/20 13/10 1/4 91/120 17/12 27/20 19/8 13/8 67/30 0
0 0 0 1/5 19/30 7/30 17/10 13/30 43/45 68/45 28/15 8/3 133/60 109/45 0
0 0 0 6/35 18/35 6/35 8/5 43/105 1739/2100 513/350 1727/1050 79/35 3797/2100 5573/2100 0
0 0 0 1/6 11/24 1/8 35/24 13/48 949/1440 839/720 1909/1440 17/8 2027/1440 1559/720 0
0 0 0 1/5 13/25 3/25 38/25 13/30 419/500 1177/750 637/375 32/15 2921/1500 997/375 0
0 0 0 3/17 7/17 1/17 22/17 9/34 617/1020 97/85 1303/1020 94/51 1451/1020 164/85 0
0 0 0 1/5 11/20 3/20 31/20 29/40 179/150 253/150 811/400 13/6 1027/400 431/150 0
0 0 0 3/17 8/17 2/17 26/17 19/34 248/255 361/255 611/340 106/51 747/340 617/255 0
0 0 0 5/23 13/23 3/23 32/23 11/46 157/230 847/690 472/345 158/69 479/345 21/10 0
0 0 0 1/5 1/2 1/10 27/20 9/40 371/600 707/600 809/600 17/8 419/300 143/75 0
0 0 0 5/27 5/9 5/27 47/27 23/54 358/405 1117/810 19/10 23/9 283/135 907/405 0
0 0 0 1/2 153/128 15/64 131/128 47/128 757/640 8749/3840 5803/3840 21/8 4123/1920 3307/960 0
0 0 0 25/49 115/98 11/49 85/98 29/98 818/735 6379/2940 136/105 129/49 2923/1470 2392/735 0
0 0 0 19/44 89/88 3/11 43/44 29/88 1381/1320 5219/2640 461/330 359/132 2503/1320 669/220 0
0 0 0 14/47 38/47 10/47 157/94 18/47 2807/2820 919/470 4591/2820 128/47 1837/940 457/141 0
0 0 0 3/10 31/40 7/40 117/80 11/40 699/800 699/400 3091/2400 13/5 1327/800 343/120 0
0 0 0 4/13 21/26 5/26 18/13 7/26 137/156 89/52 37/26 17/6 85/52 107/39 0
0 0 0 10/51 29/51 3/17 83/51 107/306 2399/3060 4783/3060 769/510 247/102 4847/3060 8263/3060 0
0 0 0 1/5 19/35 1/7 11/7 17/70 1399/2100 981/700 893/700 171/70 2717/2100 1277/525 0
0 0 0 7/29 18/29 4/29 40/29 13/58 601/870 2429/1740 577/435 433/174 569/435 334/145 0
0 0 0 19/42 33/28 2/7 1 41/84 25/21 545/252 785/504 17/7 283/126 841/252 0
0 0 0 15/32 75/64 9/32 3/4 25/64 17/16 187/96 29/24 37/16 371/192 565/192 0
0 0 0 20/43 111/86 11/43 73/86 1/2 103/86 593/258 809/516 201/86 623/258 871/258 0
0 0 0 16/37 93/74 10/37 51/74 31/74 39/37 461/222 143/111 165/74 479/222 661/222 0
0 0 0 17/40 301/240 7/20 73/80 35/48 347/240 37/16 443/240 183/80 691/240 827/240 0
