0 0 0 5/19 5/19 16/19 12/19 14/19 47/38 55/38 34/19 47/19 0
0 0 0 5/18 2/9 2/3 11/18 11/18 11/9 5/4 61/36 37/18 0
0 0 0 1/6 1/4 7/12 3/4 11/12 5/4 4/3 3/2 7/3 0
0 0 0 3/13 3/13 7/13 10/13 10/13 16/13 16/13 20/13 2 0
0 0 0 1/9 1/9 5/9 7/9 1 11/9 13/9 13/9 20/9 0
0 0 0 1/6 1/6 1/2 11/12 7/8 29/24 17/12 19/12 2 0
0 0 0 1/9 1/9 7/9 1/3 13/18 11/9 1 11/9 16/9 0
0 0 0 2/13 2/13 10/13 6/13 15/26 31/26 25/26 37/26 20/13 0
0 0 0 1/9 1/9 2/3 4/9 5/6 11/9 19/18 11/9 17/9 0
0 0 0 1/6 1/6 2/3 7/12 17/24 29/24 25/24 17/12 5/3 0
0 0 0 1/10 1/10 7/10 7/10 11/10 7/5 29/20 3/2 23/10 0
0 0 0 1/7 1/7 9/14 11/14 25/28 9/7 37/28 11/7 27/14 0
0 0 0 3/13 5/13 8/13 11/13 17/13 21/13 19/13 22/13 38/13 0
0 0 0 1/3 1/3 1/2 3/4 13/12 3/2 5/4 19/12 29/12 0
0 0 0 1/6 1/3 3/4 3/4 11/8 7/4 11/8 5/3 17/6 0
0 0 0 3/13 4/13 9/13 9/13 29/26 41/26 31/26 21/13 30/13 0
0 0 0 8/19 7/19 14/19 15/19 18/19 43/38 31/19 35/19 50/19 0
0 0 0 3/7 5/14 1/2 11/14 6/7 8/7 41/28 25/14 16/7 0
0 0 0 2/7 5/14 1/2 6/7 15/14 15/14 3/2 11/7 17/7 0
0 0 0 1/3 1/3 5/12 5/6 11/12 13/12 4/3 19/12 25/12 0
0 0 0 2/7 2/7 1/2 8/7 9/7 8/7 13/7 25/14 37/14 0
0 0 0 2/7 2/7 3/7 17/14 33/28 33/28 25/14 13/7 17/7 0
0 0 0 5/16 7/16 9/16 15/16 11/8 23/16 13/8 7/4 47/16 0
0 0 0 5/13 5/13 6/13 11/13 15/13 18/13 18/13 22/13 32/13 0
0 0 0 5/17 3/17 1 9/17 9/17 37/34 37/34 23/17 31/17 0
0 0 0 5/13 1/13 11/13 6/13 4/13 14/13 10/13 15/13 16/13 0
