0 0 1/8 0 5/8 5/8 3/4 7/8 19/16 13/8 0
0 0 1/7 0 4/7 3/7 5/7 6/7 1 10/7 0
0 0 1/7 0 4/7 2/7 5/7 1 8/7 10/7 0
0 0 1/7 0 5/7 6/7 1 1 17/14 11/7 0
0 0 1/7 0 5/7 5/7 1 1 8/7 11/7 0
0 0 1/7 0 5/7 4/7 1 8/7 9/7 11/7 0
0 0 2/5 0 4/5 2/5 1/2 9/10 5/4 9/5 0
0 0 3/8 0 3/4 1/4 1/2 1 9/8 13/8 0
0 0 2/7 0 5/7 1/7 4/7 8/7 9/7 11/7 0
