0 0 11/43 20/43 0 27/43 52/43 569/258 115/43 75/86 81/43 659/258 667/258 0
0 0 10/37 16/37 0 26/37 43/37 223/111 92/37 61/74 76/37 517/222 563/222 0
0 0 8/33 5/11 0 23/33 38/33 347/198 82/33 26/33 65/33 230/99 43/18 0
0 0 10/39 6/13 0 22/39 47/39 61/26 122/39 73/78 21/13 199/78 32/13 0
0 0 10/39 17/39 0 8/13 15/13 83/39 38/13 67/78 67/39 179/78 92/39 0
0 0 3/13 11/26 0 17/26 14/13 77/52 63/26 10/13 43/26 27/13 107/52 0
0 0 7/30 13/30 0 8/15 11/10 9/4 19/6 9/10 22/15 77/30 7/3 0
0 0 5/23 9/23 0 12/23 1 48/23 71/23 19/23 32/23 54/23 49/23 0
0 0 4/19 7/19 0 11/19 18/19 26/19 45/19 14/19 26/19 39/19 34/19 0
0 0 7/27 4/9 0 13/27 32/27 131/54 65/27 55/54 65/27 5/2 49/18 0
0 0 7/27 4/9 0 5/9 32/27 43/18 65/27 17/18 70/27 43/18 49/18 0
0 0 3/14 1/2 0 15/28 17/14 29/14 69/28 25/28 67/28 33/14 69/28 0
0 0 7/25 2/5 0 11/25 28/25 56/25 62/25 11/10 48/25 113/50 119/50 0
0 0 7/27 11/27 0 13/27 10/9 13/6 67/27 53/54 56/27 115/54 127/54 0
0 0 5/24 11/24 0 1/2 9/8 41/24 7/3 7/8 47/24 49/24 49/24 0
0 0 5/22 9/22 0 4/11 23/22 91/44 27/11 23/22 37/22 24/11 47/22 0
0 0 4/19 7/19 0 7/19 18/19 37/19 45/19 18/19 31/19 2 37/19 0
0 0 5/24 5/12 0 5/12 25/24 41/24 8/3 11/12 11/6 9/4 15/8 0
0 0 5/17 1/2 0 26/51 22/17 949/408 189/68 59/51 361/204 473/204 257/102 0
0 0 14/43 19/43 0 91/129 99/86 521/258 213/86 136/129 505/258 515/258 314/129 0
0 0 7/26 11/26 0 21/26 55/52 73/52 28/13 12/13 25/13 47/26 111/52 0
0 0 10/33 16/33 0 46/99 14/11 955/396 179/66 245/198 391/198 467/198 511/198 0
0 0 1/3 19/42 0 79/126 97/84 137/63 69/28 41/36 79/36 515/252 631/252 0
0 0 4/15 7/15 0 2/3 67/60 17/10 34/15 1 13/6 29/15 11/5 0
0 0 12/41 18/41 0 27/41 50/41 235/123 110/41 38/41 58/41 304/123 7/3 0
0 0 2/7 3/7 0 5/7 33/28 34/21 71/28 7/8 41/28 55/24 187/84 0
0 0 2/7 3/7 0 5/7 33/28 121/84 71/28 7/8 41/28 55/24 359/168 0
0 0 7/23 10/23 0 14/23 57/46 103/46 74/23 91/92 63/46 235/92 219/92 0
0 0 11/38 8/19 0 12/19 45/38 157/76 60/19 35/38 26/19 45/19 9/4 0
0 0 7/25 2/5 0 17/25 28/25 34/25 62/25 43/50 7/5 109/50 101/50 0
0 0 13/41 16/41 0 25/41 48/41 181/82 131/41 81/82 55/41 209/82 96/41 0
0 0 3/10 11/30 0 3/5 11/10 21/10 97/30 14/15 13/10 12/5 11/5 0
0 0 3/11 4/11 0 7/11 23/22 59/44 27/11 37/44 29/22 95/44 21/11 0
0 0 1/3 4/9 0 79/135 19/15 1171/540 17/6 31/27 397/270 617/270 641/270 0
0 0 17/47 19/47 0 103/141 105/94 269/141 239/94 101/94 457/282 277/141 213/94 0
0 0 1/3 10/27 0 22/27 55/54 100/81 56/27 155/162 44/27 97/54 325/162 0
0 0 8/43 18/43 0 23/43 54/43 289/129 249/86 61/86 151/86 334/129 631/258 0
0 0 8/39 5/13 0 23/39 47/39 485/234 211/78 53/78 51/26 278/117 569/234 0
0 0 1/5 2/5 0 3/5 41/35 377/210 93/35 22/35 66/35 7/3 473/210 0
0 0 6/37 15/37 0 17/37 47/37 86/37 251/74 53/74 101/74 95/37 82/37 0
0 0 7/39 5/13 0 20/39 47/39 55/26 81/26 53/78 121/78 30/13 85/39 0
0 0 5/27 10/27 0 5/9 10/9 3/2 71/27 16/27 41/27 56/27 101/54 0
0 0 4/27 10/27 0 4/9 31/27 119/54 31/9 17/27 31/27 23/9 2 0
0 0 1/7 1/3 0 3/7 22/21 43/21 10/3 4/7 23/21 7/3 38/21 0
0 0 3/19 6/19 0 9/19 1 26/19 50/19 10/19 22/19 39/19 29/19 0
0 0 3/22 9/22 0 4/11 29/22 113/44 123/44 35/44 103/44 29/11 29/11 0
0 0 4/25 2/5 0 11/25 32/25 62/25 137/50 37/50 5/2 62/25 66/25 0
0 0 4/27 4/9 0 4/9 34/27 56/27 73/27 2/3 61/27 64/27 62/27 0
0 0 2/17 6/17 0 5/17 22/17 38/17 97/34 29/34 55/34 39/17 35/17 0
0 0 3/22 4/11 0 4/11 27/22 47/22 11/4 3/4 83/44 47/22 47/22 0
0 0 3/22 9/22 0 9/22 13/11 18/11 57/22 7/11 19/11 2 39/22 0
0 0 1/14 5/14 0 3/14 8/7 27/14 19/7 5/7 17/14 29/14 11/7 0
0 0 1/13 4/13 0 3/13 1 23/13 33/13 8/13 15/13 24/13 18/13 0
0 0 2/19 7/19 0 6/19 21/19 28/19 52/19 12/19 26/19 39/19 27/19 0
0 0 2/9 4/9 0 11/18 4/3 425/216 3 5/6 23/18 70/27 245/108 0
0 0 6/25 11/25 0 17/25 32/25 251/150 14/5 4/5 34/25 179/75 163/75 0
0 0 6/25 11/25 0 17/25 32/25 221/150 14/5 4/5 34/25 179/75 311/150 0
0 0 8/39 17/39 0 7/13 18/13 30/13 142/39 34/39 46/39 106/39 179/78 0
0 0 7/33 14/33 0 19/33 43/33 139/66 115/33 9/11 40/33 82/33 13/6 0
0 0 5/22 9/22 0 7/11 27/22 61/44 61/22 17/22 14/11 25/11 85/44 0
0 0 7/34 13/34 0 9/17 45/34 155/68 125/34 29/34 19/17 93/34 38/17 0
0 0 1/5 9/25 0 13/25 31/25 54/25 92/25 4/5 27/25 64/25 52/25 0
0 0 4/19 7/19 0 11/19 22/19 26/19 53/19 14/19 22/19 43/19 34/19 0
0 0 1/15 4/15 0 1/5 17/15 11/6 3 8/15 4/5 31/15 4/3 0
0 0 1/13 3/13 0 3/13 1 22/13 37/13 6/13 10/13 24/13 15/13 0
0 0 1/8 1/4 0 3/8 1 5/4 21/8 7/16 15/16 29/16 17/16 0
0 0 1/14 5/14 0 3/14 17/14 2 41/14 5/7 8/7 15/7 3/2 0
0 0 1/13 4/13 0 3/13 14/13 24/13 36/13 8/13 14/13 25/13 17/13 0
0 0 1/11 4/11 0 3/11 27/22 3/2 35/11 27/44 14/11 49/22 29/22 0
0 0 4/23 7/23 0 9/23 31/23 93/46 78/23 20/23 20/23 56/23 43/23 0
0 0 1/6 5/18 0 7/18 11/9 17/9 10/3 7/9 5/6 20/9 5/3 0
0 0 3/17 5/17 0 8/17 19/17 21/17 46/17 11/17 16/17 2 23/17 0
0 0 7/15 13/30 0 23/60 29/30 317/180 21/10 41/60 7/5 353/180 71/36 0
0 0 12/23 9/23 0 21/46 20/23 209/138 43/23 27/46 34/23 235/138 127/69 0
0 0 9/19 8/19 0 8/19 17/19 73/57 37/19 11/19 26/19 101/57 100/57 0
0 0 14/31 13/31 0 21/62 30/31 119/62 77/31 47/62 38/31 121/62 59/31 0
0 0 13/28 11/28 0 3/8 25/28 97/56 33/14 37/56 5/4 97/56 99/56 0
0 0 7/16 3/8 0 3/8 13/16 17/16 15/8 9/16 9/8 25/16 3/2 0
0 0 5/12 3/8 0 7/24 7/8 29/16 5/2 3/4 13/12 47/24 43/24 0
0 0 7/18 1/3 0 5/18 7/9 5/3 5/2 2/3 1 16/9 29/18 0
0 0 5/13 4/13 0 4/13 9/13 1 24/13 7/13 12/13 20/13 17/13 0
0 0 11/25 2/5 0 3/10 24/25 2 49/25 41/50 47/25 99/50 53/25 0
0 0 5/11 9/22 0 15/44 21/22 87/44 43/22 3/4 45/22 83/44 23/11 0
0 0 8/21 10/21 0 2/7 22/21 38/21 15/7 16/21 41/21 2 2 0
0 0 6/13 9/26 0 15/52 23/26 99/52 53/26 45/52 20/13 93/52 49/26 0
0 0 11/25 9/25 0 3/10 22/25 93/50 52/25 39/50 41/25 17/10 46/25 0
0 0 7/19 8/19 0 5/19 18/19 29/19 2 14/19 31/19 33/19 32/19 0
0 0 9/23 8/23 0 5/23 20/23 42/23 49/23 20/23 32/23 42/23 41/23 0
0 0 7/19 6/19 0 4/19 15/19 33/19 40/19 15/19 26/19 32/19 31/19 0
0 0 4/11 4/11 0 5/22 19/22 35/22 27/11 17/22 18/11 2 35/22 0
0 0 15/31 14/31 0 67/186 65/62 739/372 145/62 29/31 259/186 347/186 63/31 0
0 0 17/32 13/32 0 85/192 59/64 83/48 135/64 13/16 271/192 305/192 119/64 0
0 0 7/15 2/5 0 2/5 13/15 1 9/5 2/3 6/5 22/15 23/15 0
0 0 16/33 14/33 0 67/198 67/66 817/396 49/22 65/66 29/18 371/198 68/33 0
0 0 1/2 5/12 0 85/216 23/24 52/27 17/8 65/72 373/216 365/216 71/36 0
0 0 9/22 5/11 0 7/22 1 17/11 45/22 9/11 19/11 19/11 39/22 0
0 0 1/2 3/7 0 3/7 1 127/84 15/7 3/4 1 163/84 43/24 0
0 0 9/17 7/17 0 8/17 16/17 7/6 2 23/34 1 181/102 5/3 0
0 0 9/17 7/17 0 8/17 16/17 107/102 2 23/34 1 181/102 82/51 0
0 0 17/35 3/7 0 2/5 36/35 13/7 93/35 57/70 1 141/70 13/7 0
0 0 13/27 11/27 0 11/27 26/27 46/27 8/3 20/27 26/27 50/27 31/18 0
0 0 1/2 3/8 0 7/16 7/8 31/32 31/16 21/32 15/16 53/32 3/2 0
0 0 1/2 3/8 0 13/32 15/16 115/64 41/16 51/64 31/32 125/64 57/32 0
0 0 11/23 8/23 0 9/23 20/23 39/23 61/23 17/23 21/23 42/23 38/23 0
0 0 7/15 1/3 0 2/5 4/5 29/30 29/15 19/30 13/15 49/30 7/5 0
0 0 19/37 16/37 0 47/111 77/74 829/444 179/74 103/111 253/222 413/222 212/111 0
0 0 19/34 13/34 0 25/51 61/68 331/204 149/68 169/204 235/204 80/51 353/204 0
0 0 9/17 6/17 0 8/17 14/17 89/102 29/17 71/102 1 49/34 74/51 0
0 0 3/8 11/32 0 17/64 1 175/96 151/64 29/64 81/64 95/48 343/192 0
0 0 11/27 8/27 0 17/54 25/27 136/81 119/54 7/18 77/54 146/81 142/81 0
