0 0 0 1/8 3/8 3/8 5/8 3/4 3/4 9/8 0
0 0 0 1/9 4/9 4/9 7/9 8/9 10/9 11/9 0
0 0 0 1/9 1/3 5/9 7/9 8/9 7/9 4/3 0
0 0 0 1/7 2/7 2/7 3/7 6/7 4/7 6/7 0
0 0 0 1/9 1/3 1/3 5/9 1 1 8/9 0
0 0 0 1/7 2/7 3/7 4/7 1 4/7 1 0
0 0 0 2/7 1/7 1/7 4/7 6/7 5/7 9/7 0
0 0 0 2/7 1/7 1/7 5/7 1 1 10/7 0
0 0 0 1/3 1/9 1/3 7/9 1 2/3 14/9 0
0 0 0 2/7 1/7 1/7 3/7 6/7 4/7 1 0
0 0 0 1/4 1/8 1/8 1/2 1 7/8 1 0
0 0 0 3/8 1/8 1/4 5/8 1 1/2 5/4 0
0 0 4/11 0 10/11 1 9/11 6/11 12/11 12/11 0
0 0 1/3 0 11/12 1 11/12 2/3 17/12 13/12 0
0 0 1/3 0 5/6 7/6 1 2/3 13/12 4/3 0
0 0 1/7 0 3/7 4/7 3/7 6/7 5/7 5/7 0
0 0 1/5 0 3/5 7/10 3/5 9/10 6/5 7/10 0
0 0 1/7 0 3/7 5/7 4/7 1 5/7 6/7 0
