0 0 0 6/23 16/23 8/23 25/23 7/23 67/69 128/69 71/46 54/23 0
0 0 0 2/15 7/15 1/3 19/15 1/5 28/45 53/45 16/15 22/15 0
0 0 0 1/9 1/3 1/9 10/9 2/9 13/27 23/27 19/18 10/9 0
0 0 0 7/24 19/24 7/24 13/12 1/3 77/72 313/144 37/24 55/24 0
0 0 0 3/17 10/17 5/17 22/17 4/17 38/51 80/51 20/17 26/17 0
0 0 0 2/13 6/13 2/13 16/13 3/13 23/39 103/78 15/13 15/13 0
0 0 0 5/18 5/6 1/3 1 1/3 5/6 5/3 47/36 35/18 0
0 0 0 2/13 8/13 4/13 15/13 3/13 8/13 16/13 1 18/13 0
0 0 0 1/9 4/9 1/9 1 2/9 4/9 8/9 17/18 1 0
0 0 0 1/3 1 5/18 1 7/18 1 77/36 4/3 35/18 0
0 0 0 3/14 11/14 2/7 17/14 2/7 11/14 12/7 8/7 3/2 0
0 0 0 1/6 7/12 1/6 7/6 1/4 7/12 11/8 13/12 13/12 0
0 0 0 4/19 18/19 9/38 31/38 6/19 16/19 27/19 21/19 33/19 0
0 0 0 2/15 4/5 7/30 29/30 4/15 7/10 6/5 14/15 7/5 0
0 0 0 1/10 3/5 1/10 9/10 3/10 11/20 9/10 19/20 11/10 0
0 0 0 7/16 15/16 5/16 13/16 5/8 15/16 29/16 45/32 35/16 0
0 0 0 1/3 3/4 1/4 5/6 7/12 3/4 17/12 13/12 5/3 0
0 0 0 3/10 7/10 1/10 7/10 3/5 7/10 13/10 21/20 3/2 0
0 0 0 1/2 15/14 2/7 11/14 9/14 15/14 9/4 19/14 29/14 0
0 0 0 4/11 9/11 3/11 10/11 6/11 9/11 19/11 12/11 17/11 0
0 0 0 3/11 7/11 2/11 10/11 5/11 7/11 31/22 1 13/11 0
0 0 0 5/12 1 1/4 2/3 2/3 1 3/2 31/24 25/12 0
0 0 0 3/10 4/5 1/5 7/10 3/5 4/5 6/5 1 8/5 0
0 0 0 2/9 2/3 1/9 2/3 5/9 2/3 1 17/18 4/3 0
0 0 0 2/3 13/9 1/9 1/3 19/18 13/9 7/3 4/3 22/9 0
0 0 0 5/9 11/9 1/9 4/9 17/18 11/9 2 7/6 19/9 0
0 0 0 4/9 1 1/9 5/9 5/6 1 5/3 10/9 16/9 0
0 0 0 2/3 17/12 1/6 1/2 11/12 17/12 5/2 4/3 9/4 0
0 0 0 6/11 13/11 2/11 7/11 9/11 13/11 47/22 13/11 21/11 0
0 0 0 5/12 11/12 1/6 3/4 2/3 11/12 7/4 13/12 3/2 0
0 0 0 5/9 4/3 1/9 1/3 17/18 4/3 2 11/9 20/9 0
0 0 0 4/9 10/9 1/9 4/9 5/6 10/9 5/3 19/18 17/9 0
0 0 0 1/3 8/9 1/9 5/9 13/18 8/9 4/3 1 14/9 0
0 0 0 1/2 13/12 1/4 2/3 11/12 5/4 5/3 37/24 31/12 0
0 0 0 2/5 9/10 1/5 7/10 9/10 11/10 7/5 13/10 11/5 0
0 0 0 1/3 7/9 1/9 2/3 8/9 1 11/9 23/18 2 0
0 0 0 2/3 13/9 1/9 1/3 23/18 5/3 20/9 14/9 26/9 0
0 0 0 5/9 11/9 1/9 4/9 7/6 13/9 17/9 25/18 23/9 0
0 0 0 4/9 1 1/9 5/9 19/18 11/9 14/9 4/3 20/9 0
0 0 0 1/9 1/3 2/3 13/9 2/9 1/2 8/9 7/9 7/6 0
0 0 0 1/9 1/3 2/3 13/9 2/9 1/2 1 7/9 19/18 0
0 0 0 1/9 4/9 5/9 11/9 2/9 4/9 8/9 2/3 1 0
0 0 0 1/9 4/9 5/9 11/9 2/9 4/9 1 2/3 8/9 0
0 0 0 1/10 3/5 9/20 1 3/10 11/20 9/10 13/20 11/10 0
0 0 0 3/10 7/10 2/5 9/10 3/5 7/10 13/10 9/10 3/2 0
0 0 0 2/9 5/9 4/9 1 4/9 5/9 11/9 7/9 10/9 0
0 0 0 2/9 2/3 1/3 7/9 5/9 2/3 1 7/9 4/3 0
0 0 0 4/9 1 2/9 5/9 5/6 1 5/3 17/18 16/9 0
0 0 0 2/5 9/10 3/10 7/10 7/10 9/10 33/20 9/10 3/2 0
0 0 0 1/3 8/9 2/9 5/9 13/18 8/9 4/3 5/6 14/9 0
0 0 0 1/3 7/9 1/3 7/9 8/9 1 11/9 10/9 2 0
0 0 0 4/9 1 2/9 5/9 19/18 11/9 14/9 7/6 20/9 0
0 0 0 2/13 5/13 7/13 16/13 7/13 5/13 15/13 18/13 22/13 0
0 0 0 1/6 5/12 5/12 13/12 7/12 5/12 13/12 7/6 3/2 0
0 0 0 2/11 5/11 3/11 10/11 7/11 5/11 12/11 25/22 16/11 0
0 0 0 1/9 1/3 5/9 11/9 4/9 1/3 13/9 11/9 4/3 0
0 0 0 1/9 1/3 4/9 10/9 4/9 1/3 11/9 1 10/9 0
0 0 0 1/10 3/10 3/10 1 2/5 3/10 21/20 9/10 9/10 0
0 0 0 1/9 4/9 4/9 1 5/9 4/9 2/3 11/9 14/9 0
0 0 0 1/9 4/9 1/3 8/9 5/9 4/9 2/3 1 4/3 0
0 0 0 1/9 4/9 2/9 7/9 5/9 4/9 2/3 17/18 11/9 0
0 0 0 2/9 5/9 4/9 1 8/9 7/9 8/9 14/9 20/9 0
0 0 0 2/9 5/9 1/3 8/9 8/9 7/9 8/9 4/3 2 0
0 0 0 2/9 5/9 2/9 7/9 8/9 7/9 8/9 23/18 17/9 0
0 0 0 2/11 5/11 6/11 13/11 7/11 5/11 12/11 12/11 16/11 0
0 0 0 1/9 1/3 5/9 11/9 4/9 1/3 10/9 8/9 1 0
0 0 0 1/9 4/9 4/9 1 5/9 4/9 2/3 8/9 11/9 0
0 0 0 2/9 5/9 4/9 1 8/9 7/9 8/9 11/9 17/9 0
0 0 0 1/9 1/3 5/9 11/9 8/9 2/3 5/9 5/3 20/9 0
0 0 0 1/9 1/3 4/9 10/9 8/9 2/3 5/9 13/9 2 0
0 0 0 1/9 1/3 1/3 1 8/9 2/3 5/9 25/18 17/9 0
0 0 0 1/9 1/3 5/9 11/9 8/9 2/3 5/9 4/3 17/9 0
0 0 0 8/25 34/25 21/100 101/150 9/25 119/150 19/15 307/300 241/150 0
0 0 0 1/5 23/20 3/16 19/24 1/4 17/30 14/15 181/240 133/120 0
0 0 0 1/7 1 3/28 25/28 3/14 23/56 19/28 11/14 23/28 0
0 0 0 1/2 8/5 9/40 13/20 13/20 21/20 8/5 13/10 17/8 0
0 0 0 3/8 11/8 3/16 3/4 9/16 13/16 5/4 1 51/32 0
0 0 0 2/7 17/14 3/28 11/14 1/2 9/14 1 27/28 9/7 0
