0 0 4/19 0 9/19 21/38 18/19 17/19 22/19 51/38 35/19 0
0 0 1/5 0 1/2 21/40 19/20 41/40 13/10 13/8 39/20 0
0 0 2/9 0 4/9 19/36 1 7/9 11/9 43/36 29/18 0
0 0 5/23 0 11/23 21/46 47/46 22/23 35/23 73/46 41/23 0
0 0 8/25 0 12/25 16/25 29/25 57/50 57/50 61/50 52/25 0
0 0 2/7 0 3/7 25/42 25/21 1 26/21 47/42 13/7 0
0 0 7/17 0 8/17 21/34 12/17 15/17 18/17 41/34 27/17 0
0 0 7/18 0 1/2 7/12 13/18 35/36 7/6 17/12 5/3 0
0 0 3/7 0 1/2 15/28 11/14 5/7 8/7 27/28 9/7 0
0 0 7/17 0 9/17 1/2 14/17 31/34 25/17 47/34 26/17 0
0 0 1/2 0 1/2 7/10 17/20 43/40 41/40 9/8 7/4 0
0 0 1/2 0 1/2 17/28 6/7 6/7 8/7 25/28 19/14 0
0 0 5/13 0 6/13 4/13 1 23/26 1 25/26 22/13 0
0 0 5/14 0 1/2 2/7 1 1 8/7 5/4 25/14 0
0 0 5/13 0 6/13 4/13 1 19/26 1 21/26 18/13 0
0 0 2/5 0 1/2 1/4 43/40 37/40 27/20 51/40 31/20 0
0 0 9/17 0 8/17 8/17 21/17 20/17 33/34 29/34 33/17 0
0 0 7/15 0 7/15 2/5 6/5 29/30 1 7/10 8/5 0
0 0 5/8 0 1/2 7/16 13/16 29/32 15/16 29/32 3/2 0
0 0 12/19 0 10/19 15/38 31/38 1 39/38 43/38 29/19 0
0 0 4/7 0 1/2 3/7 6/7 3/4 1 3/4 17/14 0
0 0 7/11 0 6/11 15/44 41/44 21/22 57/44 51/44 15/11 0
0 0 12/17 0 8/17 10/17 16/17 19/17 31/34 29/34 28/17 0
0 0 9/14 0 1/2 1/2 13/14 25/28 1 19/28 9/7 0
0 0 1/10 0 9/10 7/20 6/5 3/5 4/5 19/20 13/10 0
