0 0 0 1/23 8/23 24/23 55/46 7/23 17/23 28/23 21/23 143/92 2 0
0 0 0 1/19 7/19 18/19 1 5/19 12/19 22/19 18/19 26/19 69/38 0
0 0 0 1/18 7/18 17/18 1 2/9 19/36 7/6 17/18 25/18 31/18 0
0 0 0 1/11 9/22 1 1 7/22 8/11 27/22 12/11 15/11 87/44 0
0 0 0 1/17 5/17 16/17 41/34 4/17 23/34 20/17 25/34 47/34 61/34 0
0 0 0 1/18 1/3 8/9 10/9 1/6 1/2 10/9 7/9 7/6 59/36 0
0 0 0 1/16 3/8 15/16 9/8 1/8 13/32 19/16 13/16 5/4 25/16 0
0 0 0 1/7 5/14 25/28 9/7 5/28 5/8 17/14 29/28 8/7 113/56 0
0 0 0 1/22 7/22 9/11 67/44 5/22 29/44 25/22 17/22 65/44 41/22 0
0 0 0 1/18 1/3 2/3 11/9 1/6 19/36 19/18 7/9 43/36 3/2 0
0 0 0 1/19 7/19 15/19 24/19 3/19 1/2 22/19 31/38 49/38 29/19 0
0 0 0 1/11 7/22 15/22 17/11 3/22 13/22 25/22 21/22 53/44 20/11 0
0 0 0 3/13 2/13 11/13 12/13 10/13 11/13 15/13 14/13 3/2 25/13 0
0 0 0 2/7 3/14 6/7 11/14 9/14 5/7 17/14 15/14 19/14 25/14 0
0 0 0 7/18 2/9 37/36 5/6 23/36 25/36 53/36 19/18 53/36 59/36 0
0 0 0 3/13 4/13 11/13 10/13 8/13 10/13 15/13 16/13 16/13 25/13 0
0 0 0 1/5 1/10 3/5 9/10 1/2 3/5 9/10 7/10 11/10 3/2 0
0 0 0 4/15 1/5 11/15 14/15 2/5 7/15 16/15 4/5 1 22/15 0
0 0 0 6/17 4/17 16/17 33/34 7/17 8/17 23/17 29/34 41/34 24/17 0
0 0 0 6/19 6/19 14/19 20/19 7/19 11/19 21/19 1 17/19 33/19 0
0 0 0 3/14 1/7 1/2 17/14 1/2 4/7 6/7 3/4 33/28 11/7 0
0 0 0 4/15 1/5 8/15 17/15 2/5 7/15 14/15 23/30 31/30 7/5 0
0 0 0 7/19 4/19 15/19 43/38 9/19 10/19 24/19 16/19 47/38 26/19 0
0 0 0 3/14 2/7 3/7 17/14 2/7 3/7 11/14 23/28 23/28 10/7 0
0 0 0 7/16 1/8 7/8 15/16 9/8 19/16 11/8 11/8 55/32 35/16 0
0 0 0 1/2 1/7 6/7 5/7 15/14 8/7 10/7 19/14 11/7 27/14 0
0 0 0 4/7 1/7 25/28 9/14 29/28 31/28 43/28 37/28 45/28 7/4 0
0 0 0 1/2 1/4 7/8 23/32 17/16 39/32 23/16 49/32 47/32 17/8 0
0 0 0 5/12 1/12 2/3 1 11/12 1 7/6 13/12 17/12 23/12 0
0 0 0 1/2 1/12 2/3 3/4 5/6 11/12 5/4 1 7/6 3/2 0
0 0 0 3/5 1/10 7/10 13/20 4/5 9/10 7/5 1 5/4 13/10 0
0 0 0 10/19 5/19 14/19 35/38 14/19 37/38 25/19 47/38 41/38 36/19 0
0 0 0 7/17 2/17 10/17 25/17 15/17 16/17 19/17 37/34 3/2 33/17 0
0 0 0 3/7 1/7 1/2 15/14 5/7 11/14 15/14 27/28 33/28 10/7 0
0 0 0 8/15 2/15 3/5 31/30 4/5 13/15 19/15 31/30 13/10 7/5 0
0 0 0 5/14 3/14 3/7 8/7 4/7 5/7 13/14 27/28 27/28 10/7 0
0 0 0 1/22 15/22 139/132 13/11 17/44 49/66 157/132 107/132 129/88 251/132 0
0 0 0 1/15 2/3 1 1 1/3 2/3 6/5 5/6 13/10 17/10 0
0 0 0 1/12 2/3 1 1 1/4 13/24 5/4 5/6 11/8 19/12 0
0 0 0 1/15 11/15 1 1 2/5 23/30 6/5 31/30 13/10 19/10 0
0 0 0 1/18 11/18 97/108 7/6 11/36 17/27 115/108 17/27 11/9 91/54 0
0 0 0 1/16 5/8 7/8 17/16 1/4 17/32 17/16 21/32 17/16 49/32 0
0 0 0 1/11 7/11 1 12/11 2/11 5/11 14/11 8/11 14/11 16/11 0
0 0 0 1/18 13/18 7/9 10/9 5/18 5/9 17/18 31/36 17/18 7/4 0
