0 0 4/5 0 21/20 7/20 23/20 13/20 7/5 0
0 0 4/7 0 1 3/14 17/14 1/2 9/7 0
0 0 1/2 0 9/8 1/4 23/16 5/8 11/8 0
0 0 4/7 0 1 9/14 11/14 1/2 9/7 0
0 0 2/7 0 6/7 1/2 11/14 3/14 1 0
0 0 1/6 0 5/6 1/2 11/12 1/3 1 0
0 0 1/2 0 9/8 15/16 3/4 5/8 11/8 0
0 0 1/6 0 5/6 3/4 2/3 1/3 1 0
0 0 1/7 0 6/7 5/7 6/7 3/7 1 0
