0 0 1/12 0 1/3 2/3 67/48 7/12 4/3 83/48 37/16 91/48 187/96 289/96 73/24 0
0 0 3/50 0 6/25 14/25 131/100 21/50 13/10 42/25 113/50 47/25 63/25 61/25 171/50 0
0 0 2/35 0 8/35 18/35 43/35 2/5 44/35 8/5 15/7 9/5 101/35 83/35 24/7 0
0 0 1/19 0 5/19 10/19 25/19 17/38 49/38 61/38 43/19 67/38 141/76 91/38 55/19 0
0 0 1/24 0 5/24 5/12 55/48 17/48 29/24 35/24 49/24 27/16 103/48 55/24 65/24 0
0 0 3/43 0 12/43 27/43 119/86 21/43 56/43 74/43 100/43 89/43 81/43 117/43 122/43 0
0 0 1/16 0 1/4 9/16 41/32 7/16 5/4 13/8 35/16 17/8 17/8 11/4 87/32 0
0 0 3/46 0 15/46 27/46 135/92 99/184 29/23 40/23 5/2 283/184 423/184 105/46 27/8 0
0 0 2/33 0 10/33 6/11 46/33 1/2 40/33 5/3 79/33 97/66 355/132 73/33 449/132 0
0 0 2/37 0 12/37 20/37 53/37 39/74 47/37 62/37 91/37 113/74 255/148 85/37 109/37 0
0 0 1/22 0 3/11 5/11 57/44 39/88 13/11 17/11 25/11 123/88 179/88 24/11 61/22 0
0 0 3/61 0 15/61 31/61 167/122 99/244 151/122 102/61 146/61 423/244 611/244 139/61 829/244 0
0 0 1/21 0 5/21 10/21 55/42 11/28 17/14 34/21 97/42 47/28 491/168 47/21 83/24 0
0 0 2/45 0 4/15 22/45 62/45 13/30 56/45 73/45 12/5 149/90 67/36 34/15 131/45 0
0 0 1/27 0 2/9 11/27 67/54 13/36 65/54 41/27 20/9 175/108 239/108 20/9 25/9 0
0 0 6/37 0 11/37 33/37 56/37 39/74 49/37 159/74 3 107/74 85/37 221/74 299/74 0
0 0 5/32 0 9/32 27/32 23/16 1/2 41/32 135/64 95/32 11/8 5/2 193/64 263/64 0
0 0 6/37 0 11/37 33/37 56/37 39/74 49/37 159/74 237/74 107/74 155/74 118/37 299/74 0
0 0 5/32 0 9/32 27/32 23/16 1/2 41/32 135/64 205/64 11/8 145/64 13/4 263/64 0
0 0 1/6 0 13/42 13/14 11/7 23/42 19/14 61/28 89/28 3/2 115/56 181/56 111/28 0
0 0 6/37 0 11/37 33/37 56/37 39/74 49/37 159/74 235/74 107/74 325/148 487/148 297/74 0
0 0 3/14 0 11/42 19/21 11/7 15/28 39/28 129/56 89/24 131/84 389/168 45/14 697/168 0
0 0 1/5 0 13/50 41/50 7/5 11/20 29/20 477/200 169/40 159/100 599/200 89/25 903/200 0
0 0 1/4 0 17/60 35/36 151/90 197/360 167/120 331/144 527/144 63/40 781/360 2327/720 569/144 0
0 0 8/35 0 2/7 187/210 317/210 239/420 29/20 1973/840 677/168 227/140 283/105 2939/840 3547/840 0
0 0 6/43 0 14/43 33/43 66/43 70/129 59/43 79/43 113/43 62/43 96/43 114/43 157/43 0
0 0 5/36 0 11/36 13/18 53/36 55/108 4/3 16/9 23/9 49/36 29/12 95/36 11/3 0
0 0 7/53 0 18/53 38/53 83/53 175/318 74/53 95/53 150/53 153/106 99/53 301/106 367/106 0
0 0 3/22 0 7/22 15/22 67/44 17/33 15/11 7/4 31/11 15/11 2 23/8 307/88 0
0 0 7/50 0 17/50 4/5 79/50 17/30 7/5 47/25 71/25 3/2 171/100 293/100 83/25 0
0 0 6/43 0 14/43 33/43 66/43 70/129 59/43 79/43 121/43 62/43 157/86 255/86 143/43 0
0 0 8/43 0 12/43 32/43 65/43 73/129 127/86 169/86 138/43 69/43 82/43 125/43 147/43 0
0 0 8/43 0 11/43 28/43 56/43 73/129 133/86 169/86 147/43 70/43 101/43 134/43 153/43 0
0 0 13/61 0 19/61 148/183 577/366 109/183 545/366 733/366 195/61 101/61 337/183 551/183 204/61 0
0 0 13/63 0 19/63 139/189 529/378 115/189 587/378 757/378 211/63 107/63 412/189 86/27 31/9 0
0 0 8/53 0 17/53 35/53 98/53 307/636 141/106 2 170/53 5/4 521/212 125/53 819/212 0
0 0 3/20 0 3/10 5/8 7/4 109/240 13/10 77/40 123/40 19/16 441/160 93/40 619/160 0
0 0 7/47 0 15/47 29/47 84/47 45/94 64/47 90/47 146/47 117/94 353/188 114/47 161/47 0
0 0 5/32 0 9/32 9/16 53/32 163/384 85/64 29/16 47/16 145/128 265/128 77/32 53/16 0
0 0 5/26 0 7/26 33/52 7/4 53/104 151/104 219/104 183/52 149/104 431/208 69/26 187/52 0
0 0 9/44 0 5/22 25/44 3/2 265/528 67/44 183/88 157/44 259/176 431/176 125/44 159/44 0
0 0 7/54 0 19/54 13/18 55/36 11/18 83/54 52/27 23/9 44/27 61/27 53/18 34/9 0
0 0 2/15 0 1/3 31/45 67/45 26/45 68/45 17/9 113/45 14/9 22/9 133/45 172/45 0
0 0 7/54 0 19/54 2/3 14/9 191/324 83/54 101/54 47/18 169/108 101/54 107/36 379/108 0
0 0 6/43 0 14/43 27/43 131/86 70/129 65/43 79/43 111/43 63/43 87/43 259/86 305/86 0
0 0 7/54 0 19/54 13/18 55/36 11/18 83/54 52/27 23/9 44/27 185/108 329/108 10/3 0
0 0 2/15 0 1/3 31/45 67/45 26/45 68/45 17/9 113/45 14/9 11/6 277/90 10/3 0
0 0 9/62 0 21/62 20/31 56/31 133/248 181/124 127/62 191/62 349/248 605/248 161/62 971/248 0
0 0 7/47 0 15/47 29/47 163/94 143/282 68/47 2 140/47 127/94 513/188 122/47 743/188 0
0 0 4/27 0 1/3 11/18 191/108 169/324 40/27 107/54 163/54 149/108 409/216 143/54 95/27 0
0 0 6/37 0 11/37 21/37 62/37 69/148 109/74 71/37 107/37 189/148 309/148 99/37 128/37 0
0 0 6/43 0 13/43 33/43 63/43 26/43 61/43 71/43 102/43 75/43 106/43 119/43 159/43 0
0 0 5/36 0 5/18 13/18 25/18 7/12 25/18 14/9 9/4 31/18 97/36 25/9 67/18 0
0 0 2/13 0 18/65 46/65 93/65 17/26 101/65 99/65 167/65 51/26 134/65 411/130 89/26 0
0 0 9/56 0 1/4 19/28 11/8 9/14 87/56 81/56 141/56 111/56 123/56 363/112 55/16 0
0 0 5/33 0 10/33 26/33 3/2 7/11 49/33 5/3 59/22 131/66 241/132 419/132 104/33 0
0 0 9/59 0 17/59 45/59 86/59 37/59 87/59 95/59 156/59 2 227/118 381/118 185/59 0
0 0 2/15 0 1/5 11/15 29/20 49/120 179/120 97/60 12/5 269/120 57/20 14/5 31/8 0
0 0 3/19 0 7/38 25/38 51/38 8/19 51/38 55/38 41/19 73/38 117/38 48/19 139/38 0
0 0 13/72 0 13/72 25/36 13/9 23/48 233/144 53/36 61/24 115/48 113/48 37/12 83/24 0
0 0 5/24 0 7/48 5/8 4/3 49/96 25/16 31/24 55/24 215/96 227/96 145/48 25/8 0
0 0 3/17 0 11/51 38/51 25/17 9/17 76/51 79/51 43/17 115/51 98/51 3 146/51 0
0 0 8/43 0 8/43 30/43 60/43 22/43 64/43 62/43 105/43 100/43 89/43 132/43 120/43 0
0 0 1/6 0 11/42 31/42 10/7 9/14 65/42 25/14 45/14 41/21 2 43/14 10/3 0
0 0 3/20 0 9/40 5/8 6/5 13/20 63/40 17/10 33/10 81/40 47/20 129/40 27/8 0
0 0 7/37 0 11/37 89/111 673/444 25/37 59/37 218/111 733/222 83/37 232/111 761/222 377/111 0
0 0 13/75 0 7/25 163/225 607/450 52/75 122/75 433/225 757/225 58/25 524/225 32/9 772/225 0
0 0 4/23 0 4/23 31/46 63/46 11/23 34/23 77/46 71/23 97/46 48/23 129/46 145/46 0
0 0 1/6 0 5/36 5/9 41/36 19/36 55/36 19/12 3 77/36 7/3 53/18 109/36 0
0 0 5/28 0 3/14 41/56 81/56 33/56 89/56 53/28 45/14 5/2 127/56 187/56 23/7 0
0 0 9/52 0 9/52 33/52 33/26 31/52 21/13 95/52 13/4 34/13 131/52 181/52 171/52 0
0 0 3/26 0 17/52 37/52 75/52 9/13 83/52 7/4 121/52 103/52 133/52 161/52 101/26 0
0 0 5/43 0 13/43 29/43 119/86 29/43 68/43 72/43 96/43 85/43 121/43 135/43 170/43 0
0 0 7/57 0 17/57 37/57 161/114 83/114 97/57 31/19 43/19 245/114 42/19 127/38 413/114 0
0 0 3/23 0 6/23 14/23 31/23 33/46 79/46 71/46 99/46 101/46 56/23 319/92 339/92 0
0 0 7/62 0 21/62 45/62 181/124 43/62 49/31 55/31 73/31 66/31 233/124 407/124 199/62 0
0 0 6/53 0 17/53 37/53 75/53 36/53 83/53 91/53 121/53 114/53 213/106 355/106 169/53 0
0 0 8/69 0 16/69 2/3 98/69 1/2 77/46 118/69 53/23 341/138 206/69 72/23 559/138 0
0 0 2/15 0 1/5 3/5 4/3 22/45 23/15 71/45 97/45 11/5 146/45 26/9 176/45 0
0 0 9/65 0 3/13 42/65 37/26 77/130 233/130 21/13 147/65 333/130 5/2 219/65 48/13 0
0 0 7/43 0 7/43 24/43 113/86 49/86 73/43 62/43 89/43 207/86 225/86 140/43 148/43 0
0 0 3/25 0 13/50 17/25 143/100 29/50 39/25 17/10 23/10 117/50 2 78/25 151/50 0
0 0 1/8 0 9/40 5/8 27/20 11/20 31/20 8/5 87/40 97/40 11/5 16/5 59/20 0
0 0 11/58 0 9/29 71/87 535/348 39/58 46/29 571/348 147/58 61/29 193/116 359/116 163/58 0
0 0 10/51 0 5/17 121/153 457/306 2/3 27/17 481/306 42/17 109/51 179/102 107/34 140/51 0
0 0 13/61 0 15/61 148/183 571/366 34/61 94/61 583/366 155/61 136/61 112/61 3 169/61 0
0 0 12/53 0 12/53 124/159 481/318 29/53 82/53 481/318 131/53 121/53 103/53 162/53 143/53 0
0 0 9/41 0 12/41 100/123 188/123 29/41 69/41 319/164 389/123 191/82 244/123 845/246 787/246 0
0 0 17/82 0 11/41 91/123 170/123 59/82 70/41 78/41 392/123 197/82 13/6 869/246 787/246 0
0 0 8/37 0 17/74 86/111 667/444 23/37 61/37 829/444 115/37 91/37 78/37 247/74 231/74 0
0 0 15/71 0 14/71 148/213 577/426 45/71 119/71 386/213 222/71 181/71 163/71 245/71 221/71 0
0 0 1/7 0 22/63 142/189 1121/756 136/189 311/189 47/27 293/126 46/21 655/378 173/54 184/63 0
0 0 4/27 0 1/3 59/81 935/648 115/162 133/81 136/81 9/4 20/9 595/324 1055/324 77/27 0
0 0 10/63 0 2/7 139/189 161/108 115/189 302/189 320/189 97/42 145/63 356/189 586/189 181/63 0
0 0 9/53 0 14/53 112/159 917/636 94/159 254/159 257/159 235/106 125/53 320/159 502/159 148/53 0
0 0 9/50 0 3/10 39/50 77/50 44/75 149/100 44/25 127/50 41/25 121/50 143/50 191/50 0
0 0 8/43 0 12/43 32/43 64/43 73/129 127/86 73/43 106/43 69/43 112/43 124/43 166/43 0
0 0 4/19 0 21/76 14/19 59/38 283/456 241/152 31/19 413/152 273/152 153/76 479/152 533/152 0
0 0 15/67 0 17/67 48/67 102/67 122/201 213/134 106/67 361/134 120/67 142/67 431/134 473/134 0
0 0 1/5 0 19/65 4/5 102/65 121/195 101/65 113/65 73/26 23/13 227/130 411/130 213/65 0
0 0 6/29 0 8/29 45/58 89/58 53/87 45/29 49/29 323/116 51/29 213/116 373/116 95/29 0
0 0 11/50 0 13/50 19/25 38/25 91/150 79/50 187/100 13/4 89/50 191/100 77/25 339/100 0
