0 0 5/23 9/23 0 31/23 93/46 53/46 407/184 111/46 13/4 57/23 4 0
0 0 7/33 4/11 0 14/11 2 71/66 19/12 74/33 19/6 74/33 161/44 0
0 0 9/35 13/35 0 44/35 66/35 11/10 87/35 87/35 22/7 197/70 142/35 0
0 0 3/13 9/26 0 31/26 49/26 53/52 43/26 59/26 3 32/13 187/52 0
0 0 4/17 7/17 0 47/34 65/34 43/34 43/17 93/34 263/68 45/17 295/68 0
0 0 7/32 13/32 0 11/8 63/32 77/64 65/32 41/16 243/64 155/64 255/64 0
0 0 5/17 13/34 0 43/34 61/34 79/68 11/4 93/34 63/17 195/68 72/17 0
0 0 9/37 15/37 0 50/37 72/37 85/74 173/74 203/74 147/37 213/74 154/37 0
0 0 11/43 17/43 0 58/43 91/43 148/129 353/172 110/43 299/86 95/43 174/43 0
0 0 8/33 4/11 0 14/11 71/33 106/99 203/132 79/33 227/66 67/33 497/132 0
0 0 12/43 18/43 0 60/43 89/43 157/129 102/43 119/43 339/86 104/43 371/86 0
0 0 10/39 16/39 0 18/13 83/39 275/234 77/39 103/39 307/78 59/26 317/78 0
0 0 5/17 1/3 0 62/51 98/51 37/34 143/68 39/17 145/51 81/34 377/102 0
0 0 3/11 1/3 0 40/33 43/22 35/33 63/44 49/22 94/33 74/33 461/132 0
0 0 17/48 5/16 0 9/8 29/16 97/96 9/4 109/48 133/48 241/96 175/48 0
0 0 5/16 5/16 0 9/8 119/64 63/64 97/64 35/16 89/32 149/64 219/64 0
0 0 6/17 16/51 0 58/51 98/51 311/306 1153/612 350/153 148/51 69/34 1085/306 0
0 0 11/35 11/35 0 8/7 141/70 209/210 113/84 473/210 3 68/35 289/84 0
0 0 2/9 7/18 0 4/3 71/36 7/6 8/3 89/36 113/36 71/24 71/18 0
0 0 3/14 5/14 0 5/4 55/28 15/14 27/14 9/4 3 73/28 195/56 0
0 0 1/4 2/5 0 27/20 15/8 51/40 269/80 111/40 31/8 273/80 169/40 0
0 0 11/50 21/50 0 71/50 99/50 32/25 301/100 57/20 106/25 173/50 43/10 0
0 0 14/47 16/47 0 58/47 90/47 52/47 115/47 110/47 134/47 255/94 173/47 0
0 0 3/11 1/3 0 40/33 43/22 35/33 59/33 49/22 94/33 83/33 75/22 0
0 0 8/35 16/35 0 57/35 78/35 8/7 29/14 86/35 114/35 16/7 137/35 0
0 0 3/13 11/26 0 20/13 57/26 14/13 77/52 30/13 83/26 27/13 187/52 0
0 0 1/4 11/28 0 10/7 55/28 27/28 9/4 33/14 41/14 5/2 103/28 0
0 0 5/22 4/11 0 15/11 43/22 10/11 3/2 24/11 31/11 24/11 36/11 0
0 0 5/24 11/24 0 13/8 49/24 9/8 25/12 31/12 43/12 17/8 31/8 0
