0 0 0 3/13 8/13 3/13 10/13 7/13 16/13 15/13 27/13 0
0 0 0 1/8 3/8 1/8 1/2 1/2 7/8 5/4 3/2 0
0 0 0 1/5 7/10 1/5 3/5 1/2 9/10 9/10 3/2 0
0 0 0 1/8 1/2 1/8 1/2 1/2 3/4 1 5/4 0
0 0 0 1/8 3/4 1/8 3/4 3/8 13/16 5/8 1 0
0 0 0 1/8 5/8 1/8 5/8 1/2 13/16 7/8 9/8 0
0 0 0 4/11 9/11 4/11 8/11 1 18/11 13/11 29/11 0
0 0 0 3/10 4/5 3/10 3/5 9/10 13/10 1 21/10 0
0 0 0 2/9 7/9 2/9 2/3 7/9 7/6 7/9 5/3 0
0 0 0 3/10 7/10 3/10 1/2 7/10 4/5 11/10 17/10 0
0 0 0 2/9 5/9 2/9 4/9 2/3 2/3 10/9 13/9 0
0 0 0 4/11 9/11 4/11 6/11 1 13/11 13/11 24/11 0
0 0 0 1/8 3/8 1/4 1/2 5/8 1 13/8 7/4 0
0 0 0 1/8 1/2 1/4 1/2 5/8 7/8 11/8 3/2 0
0 0 0 1/8 5/8 1/4 5/8 5/8 15/16 5/4 11/8 0
0 0 0 1/5 1/2 2/5 2/5 9/10 4/5 17/10 19/10 0
0 0 1/6 0 1/6 5/12 1/2 11/12 4/3 5/3 8/3 0
0 0 1/8 0 1/8 1/4 3/8 3/4 1 13/8 2 0
0 0 3/11 0 3/11 5/11 4/11 1 12/11 16/11 25/11 0
0 0 2/9 0 2/9 1/3 1/3 8/9 8/9 13/9 17/9 0
0 0 4/11 0 4/11 5/11 5/11 1 12/11 14/11 2 0
0 0 3/10 0 3/10 2/5 2/5 1 1 7/5 19/10 0
0 0 1/8 0 1/8 5/8 3/8 3/2 7/4 15/8 7/2 0
0 0 2/9 0 2/9 5/9 1/3 4/3 4/3 14/9 25/9 0
0 0 3/10 0 3/10 1/2 2/5 6/5 6/5 13/10 23/10 0
0 0 1/8 0 1/8 1/2 1/4 9/8 7/8 13/8 19/8 0
0 0 1/8 0 1/8 3/8 1/4 1 3/4 3/2 2 0
0 0 1/8 0 1/8 5/8 1/4 3/2 5/4 15/8 3 0
0 0 2/9 0 1/9 4/9 1/3 1 11/9 20/9 22/9 0
0 0 4/11 0 2/11 6/11 3/11 13/11 12/11 23/11 26/11 0
0 0 6/13 0 3/13 8/13 4/13 17/13 31/26 27/13 31/13 0
0 0 1/5 0 1/10 3/5 1/5 13/10 9/10 11/5 5/2 0
0 0 3/7 1/7 0 15/28 2/7 8/7 37/28 12/7 39/14 0
0 0 1/3 1/9 0 1/3 2/9 8/9 17/18 14/9 2 0
0 0 4/9 1/18 0 11/18 1/9 4/3 7/6 31/18 8/3 0
0 0 3/8 1/16 0 7/16 1/8 9/8 15/16 25/16 17/8 0
0 0 5/8 1/16 0 11/16 1/8 3/2 5/4 27/16 21/8 0
0 0 1/2 1/16 0 9/16 1/8 11/8 9/8 27/16 19/8 0
0 0 1/3 1/9 0 13/18 2/9 5/3 31/18 35/18 32/9 0
0 0 3/8 1/16 0 11/16 1/8 13/8 23/16 29/16 25/8 0
0 0 1/2 1/16 0 11/16 1/8 13/8 11/8 27/16 23/8 0
0 0 1/4 1/16 0 9/16 1/8 5/4 15/16 27/16 5/2 0
0 0 1/4 1/16 0 7/16 1/8 9/8 13/16 25/16 17/8 0
0 0 1/4 1/16 0 11/16 1/8 13/8 21/16 31/16 25/8 0
0 0 1/2 1/6 0 1/2 1/6 13/12 13/12 2 9/4 0
0 0 6/11 1/11 0 7/11 1/11 15/11 12/11 47/22 27/11 0
0 0 2/3 1/12 0 3/4 1/12 19/12 5/4 55/24 8/3 0
0 0 4/11 1/11 0 7/11 1/11 15/11 10/11 47/22 27/11 0
