0 0 0 21/23 163/138 29/46 251/276 89/69 122/69 271/138 167/69 335/92 0
0 0 0 9/10 13/12 21/40 47/60 29/24 19/12 107/60 259/120 261/80 0
0 0 0 9/10 61/60 5/12 31/48 71/60 89/60 193/120 81/40 35/12 0
0 0 0 9/10 139/120 11/20 49/60 17/15 379/240 461/240 83/40 163/48 0
0 0 0 4/5 121/90 11/15 193/180 68/45 173/90 199/90 41/15 182/45 0
0 0 0 11/14 25/21 4/7 37/42 115/84 137/84 40/21 65/28 289/84 0
0 0 0 11/14 23/21 13/28 3/4 4/3 3/2 143/84 181/84 64/21 0
0 0 0 11/14 109/84 4/7 37/42 53/42 137/84 169/84 31/14 149/42 0
0 0 0 11/15 127/90 11/15 199/180 71/45 37/18 41/18 17/6 191/45 0
0 0 0 3/4 67/48 5/8 31/32 149/96 185/96 103/48 31/12 125/32 0
0 0 0 11/14 9/7 15/28 5/6 32/21 25/14 55/28 17/7 7/2 0
0 0 0 7/10 187/120 9/16 15/16 343/240 31/16 533/240 29/12 959/240 0
0 0 0 2/3 25/18 2/3 191/180 14/9 179/90 197/90 83/30 182/45 0
0 0 0 2/3 7/5 3/5 89/90 47/30 173/90 32/15 118/45 23/6 0
0 0 0 11/15 4/3 17/30 41/45 14/9 83/45 61/30 38/15 18/5 0
0 0 0 3/5 67/45 7/12 181/180 91/60 39/20 397/180 233/90 701/180 0
0 0 0 18/19 62/57 11/19 49/57 77/57 179/114 101/57 81/38 182/57 0
0 0 0 14/15 46/45 1/2 23/30 49/36 3/2 149/90 187/90 131/45 0
0 0 0 22/23 157/138 25/46 56/69 169/138 415/276 497/276 89/46 439/138 0
0 0 0 15/17 59/51 10/17 46/51 74/51 82/51 95/51 77/34 683/204 0
0 0 0 13/15 49/45 1/2 4/5 257/180 91/60 31/18 98/45 137/45 0
0 0 0 17/19 139/114 21/38 97/114 151/114 88/57 107/57 39/19 755/228 0
0 0 0 6/7 86/63 2/3 127/126 103/63 40/21 134/63 160/63 137/36 0
0 0 0 15/17 67/51 21/34 95/102 337/204 377/204 209/102 5/2 182/51 0
0 0 0 22/27 79/54 7/12 101/108 481/324 599/324 229/108 187/81 611/162 0
