0 0 0 1/4 15/16 3/2 27/16 23/32 19/16 13/8 17/8 21/8 0
0 0 0 1/6 5/6 5/4 19/12 7/12 11/12 19/12 7/4 13/6 0
0 0 0 1/7 6/7 9/7 23/14 5/7 1 13/7 53/28 16/7 0
0 0 0 3/13 10/13 16/13 19/13 9/13 15/13 17/13 23/13 29/13 0
0 0 0 2/13 9/13 15/13 19/13 8/13 12/13 19/13 20/13 2 0
0 0 0 2/13 10/13 15/13 20/13 9/13 1 22/13 22/13 27/13 0
0 0 0 3/13 9/13 15/13 18/13 17/26 29/26 16/13 22/13 27/13 0
0 0 0 2/11 6/11 1 14/11 1/2 19/22 13/11 15/11 18/11 0
0 0 0 1/5 2/3 19/15 5/3 7/10 11/10 9/5 11/6 31/15 0
0 0 0 3/13 11/13 17/13 20/13 11/13 17/13 18/13 24/13 32/13 0
0 0 0 1/8 13/16 5/4 13/8 1 5/4 29/16 27/16 41/16 0
0 0 0 1/7 6/7 17/14 23/14 13/14 17/14 2 25/14 17/7 0
0 0 0 3/7 19/21 29/21 31/21 47/42 22/21 34/21 41/21 18/7 0
0 0 0 5/17 13/17 20/17 23/17 18/17 14/17 28/17 28/17 39/17 0
0 0 0 6/23 18/23 29/23 34/23 32/23 22/23 54/23 93/46 62/23 0
0 0 0 4/13 9/13 15/13 17/13 12/13 1 16/13 20/13 27/13 0
0 0 0 1/5 3/5 16/15 19/15 13/15 4/5 7/5 4/3 29/15 0
0 0 0 1/5 3/5 1 4/3 14/15 13/15 26/15 23/15 2 0
0 0 0 3/11 6/11 1 13/11 17/22 21/22 12/11 16/11 20/11 0
0 0 0 1/5 2/5 9/10 11/10 13/20 3/4 11/10 6/5 3/2 0
0 0 0 4/15 8/15 16/15 7/5 9/10 29/30 26/15 49/30 29/15 0
0 0 0 1/3 5/6 5/4 17/12 13/12 5/4 4/3 5/3 29/12 0
0 0 0 3/17 13/17 20/17 25/17 20/17 20/17 30/17 26/17 43/17 0
0 0 0 2/13 10/13 14/13 19/13 14/13 15/13 2 21/13 31/13 0
0 0 0 7/16 7/8 5/4 11/8 21/16 17/16 23/16 7/4 9/4 0
0 0 0 5/13 10/13 14/13 16/13 16/13 11/13 18/13 19/13 25/13 0
0 0 0 8/23 18/23 25/23 31/23 39/23 45/46 50/23 85/46 55/23 0
0 0 0 5/13 10/13 15/13 17/13 14/13 14/13 16/13 20/13 2 0
0 0 0 2/7 4/7 1 8/7 15/14 6/7 9/7 17/14 12/7 0
0 0 0 5/18 11/18 8/9 11/9 7/6 11/12 29/18 17/12 16/9 0
0 0 0 4/13 8/13 14/13 16/13 25/26 1 15/13 19/13 23/13 0
0 0 0 3/13 6/13 1 15/13 25/26 11/13 16/13 16/13 20/13 0
0 0 0 2/7 4/7 1 4/3 47/42 41/42 5/3 32/21 38/21 0
0 0 0 5/13 11/13 16/13 18/13 15/13 16/13 17/13 21/13 29/13 0
0 0 0 4/19 14/19 22/19 27/19 29/19 24/19 35/19 28/19 47/19 0
0 0 0 4/21 16/21 1 10/7 5/3 53/42 15/7 65/42 50/21 0
0 0 0 3/17 14/17 59/34 26/17 31/34 21/17 35/17 38/17 3 0
0 0 0 1/10 7/10 8/5 7/5 7/10 9/10 21/10 9/5 12/5 0
0 0 0 1/11 8/11 18/11 16/11 9/11 1 26/11 43/22 28/11 0
0 0 0 1/6 7/12 4/3 7/6 11/12 5/4 19/12 7/4 5/2 0
0 0 0 1/10 1/2 13/10 6/5 7/10 9/10 17/10 7/5 2 0
0 0 0 1/9 5/9 4/3 11/9 7/9 1 2 14/9 19/9 0
0 0 0 1/6 1/2 5/4 13/12 7/8 29/24 3/2 5/3 7/3 0
0 0 0 1/9 1/3 10/9 1 11/18 5/6 13/9 11/9 5/3 0
0 0 0 1/10 2/5 6/5 11/10 3/4 19/20 9/5 29/20 19/10 0
0 0 0 1/6 2/3 17/12 5/4 13/12 17/12 5/3 11/6 11/4 0
0 0 0 1/11 7/11 16/11 15/11 1 13/11 2 17/11 27/11 0
0 0 0 1/9 2/3 13/9 4/3 1 11/9 7/3 5/3 22/9 0
0 0 0 4/13 19/26 77/52 16/13 5/4 1 25/13 25/13 36/13 0
0 0 0 4/19 11/19 25/19 20/19 23/19 14/19 37/19 30/19 46/19 0
0 0 0 4/23 14/23 32/23 27/23 36/23 20/23 61/23 91/46 66/23 0
0 0 0 3/14 1/2 17/14 1 8/7 15/14 3/2 3/2 33/14 0
0 0 0 1/7 3/7 8/7 1 1 11/14 11/7 17/14 2 0
0 0 0 1/11 4/11 12/11 1 1 9/11 21/11 15/11 2 0
0 0 0 2/11 4/11 12/11 10/11 21/22 23/22 15/11 16/11 23/11 0
0 0 0 1/9 2/9 1 8/9 13/18 13/18 4/3 10/9 14/9 0
0 0 0 1/11 3/11 12/11 1 21/22 19/22 20/11 31/22 21/11 0
0 0 0 3/13 8/13 17/13 14/13 17/13 17/13 21/13 21/13 35/13 0
0 0 0 1/7 4/7 9/7 8/7 17/14 15/14 13/7 19/14 17/7 0
0 0 0 1/9 5/9 11/9 10/9 10/9 10/9 20/9 13/9 7/3 0
0 0 0 6/19 12/19 24/19 1 29/19 20/19 32/19 31/19 46/19 0
0 0 0 4/15 8/15 17/15 13/15 22/15 4/5 5/3 4/3 31/15 0
0 0 0 5/21 4/7 25/21 1 41/21 13/14 52/21 25/14 55/21 0
0 0 0 4/15 8/15 6/5 14/15 4/3 17/15 23/15 22/15 34/15 0
0 0 0 1/5 2/5 16/15 13/15 19/15 13/15 23/15 17/15 28/15 0
0 0 0 1/7 5/14 1 6/7 9/7 25/28 25/14 5/4 13/7 0
0 0 0 3/14 3/7 8/7 13/14 33/28 15/14 10/7 10/7 2 0
0 0 0 2/13 4/13 14/13 12/13 29/26 11/13 19/13 15/13 21/13 0
0 0 0 1/8 5/16 17/16 15/16 39/32 29/32 7/4 21/16 29/16 0
0 0 0 4/15 3/5 19/15 1 7/5 19/15 8/5 23/15 37/15 0
0 0 0 3/17 9/17 21/17 18/17 26/17 19/17 32/17 22/17 39/17 0
0 0 0 1/7 1/2 8/7 1 3/2 31/28 29/14 37/28 15/7 0
0 0 1/3 0 5/6 29/18 31/18 31/36 10/9 11/6 20/9 17/6 0
0 0 1/3 0 2/3 6/5 7/5 4/5 4/5 5/3 5/3 34/15 0
0 0 3/7 0 9/14 23/21 4/3 1 6/7 41/21 73/42 16/7 0
0 0 1/3 0 3/5 19/15 7/5 13/15 16/15 7/5 26/15 7/3 0
0 0 6/17 0 8/17 18/17 21/17 14/17 14/17 25/17 23/17 2 0
0 0 7/18 0 1/2 8/9 7/6 17/18 31/36 5/3 17/12 35/18 0
0 0 1/3 0 7/15 6/5 4/3 5/6 31/30 4/3 5/3 32/15 0
0 0 5/14 0 2/7 1 8/7 3/4 23/28 9/7 9/7 12/7 0
0 0 3/7 0 3/7 8/7 10/7 13/14 1 13/7 71/42 43/21 0
0 0 3/8 0 21/32 21/16 23/16 1 19/16 23/16 7/4 5/2 0
0 0 11/25 0 1/2 24/25 29/25 29/25 26/25 81/50 31/25 57/25 0
0 0 3/7 0 11/21 6/7 8/7 8/7 1 13/7 19/14 15/7 0
0 0 1/13 0 9/13 19/13 20/13 17/13 11/13 22/13 25/13 32/13 0
0 0 1/7 0 4/7 8/7 9/7 8/7 9/14 23/14 3/2 15/7 0
0 0 4/21 0 13/21 26/21 29/21 32/21 6/7 17/7 27/14 8/3 0
0 0 1/10 0 1/2 6/5 13/10 11/10 4/5 13/10 3/2 2 0
0 0 1/7 0 3/7 1 8/7 1 9/14 10/7 17/14 13/7 0
0 0 1/5 0 2/5 13/15 16/15 17/15 11/15 26/15 4/3 29/15 0
0 0 1/9 0 1/3 1 10/9 17/18 13/18 10/9 4/3 5/3 0
0 0 1/9 0 2/9 8/9 1 5/6 11/18 10/9 10/9 13/9 0
0 0 2/13 0 4/13 12/13 14/13 29/26 21/26 22/13 37/26 24/13 0
0 0 1/9 0 2/3 4/3 13/9 4/3 10/9 13/9 5/3 22/9 0
0 0 2/9 0 5/9 1 11/9 25/18 19/18 16/9 23/18 22/9 0
0 0 4/15 0 8/15 13/15 17/15 4/3 1 2 4/3 34/15 0
0 0 1/10 0 7/10 7/5 3/2 8/5 9/10 8/5 37/20 23/10 0
0 0 1/9 0 5/9 10/9 11/9 13/9 2/3 13/9 13/9 17/9 0
0 0 2/17 0 10/17 19/17 22/17 32/17 31/34 39/17 63/34 42/17 0
