0 0 0 3/17 18/17 41/34 7/17 29/34 23/17 15/17 111/68 2 0
0 0 0 1/12 5/6 11/12 1/3 5/8 13/12 11/12 31/24 41/24 0
0 0 0 1/11 9/11 10/11 3/11 6/11 12/11 10/11 29/22 18/11 0
0 0 0 1/13 11/13 12/13 5/13 9/13 14/13 14/13 33/26 49/26 0
0 0 0 1/4 1 41/32 3/8 29/32 3/2 25/32 51/32 63/32 0
0 0 0 3/16 7/8 37/32 5/16 23/32 45/32 7/8 43/32 57/32 0
0 0 0 1/6 11/12 9/8 1/4 7/12 11/8 11/12 11/8 5/3 0
0 0 0 5/23 19/23 55/46 8/23 19/23 67/46 51/46 61/46 95/46 0
0 0 0 3/7 15/14 19/14 17/42 8/7 27/14 5/6 11/6 79/42 0
0 0 0 1/3 8/9 11/9 7/18 1 65/36 17/18 29/18 31/18 0
0 0 0 5/16 15/16 19/16 3/8 15/16 57/32 31/32 13/8 13/8 0
0 0 0 7/20 17/20 5/4 2/5 21/20 73/40 41/40 8/5 9/5 0
0 0 0 3/13 11/13 14/13 11/13 11/13 15/13 14/13 41/26 27/13 0
0 0 0 1/6 2/3 5/6 3/4 7/12 11/12 13/12 5/4 11/6 0
0 0 0 3/16 11/16 7/8 1 1/2 15/16 41/32 21/16 29/16 0
0 0 0 1/9 2/3 7/9 2/3 2/3 8/9 11/9 10/9 17/9 0
0 0 0 1/3 3/4 13/12 2/3 5/6 5/4 5/6 17/12 11/6 0
0 0 0 5/16 11/16 1 11/16 11/16 5/4 1 19/16 27/16 0
0 0 0 5/17 12/17 1 14/17 9/17 20/17 39/34 21/17 28/17 0
0 0 0 1/3 2/3 1 2/3 5/6 4/3 7/6 10/9 11/6 0
0 0 0 1/2 25/32 35/32 11/16 33/32 51/32 27/32 25/16 53/32 0
0 0 0 8/17 12/17 18/17 25/34 16/17 27/17 1 24/17 27/17 0
0 0 0 9/20 3/4 21/20 7/8 4/5 3/2 9/8 57/40 31/20 0
0 0 0 7/15 2/3 16/15 11/15 16/15 5/3 11/10 41/30 8/5 0
0 0 0 6/19 13/19 1 22/19 39/38 20/19 25/19 29/19 41/19 0
0 0 0 4/15 8/15 4/5 6/5 9/10 13/15 7/5 13/10 2 0
0 0 0 4/15 8/15 4/5 4/3 23/30 13/15 23/15 41/30 29/15 0
0 0 0 4/15 8/15 4/5 19/15 31/30 13/15 5/3 37/30 34/15 0
0 0 0 7/17 11/17 18/17 18/17 18/17 20/17 20/17 25/17 35/17 0
0 0 0 3/8 1/2 7/8 9/8 15/16 17/16 5/4 19/16 29/16 0
0 0 0 5/13 6/13 11/13 16/13 10/13 1 18/13 16/13 22/13 0
0 0 0 8/21 11/21 19/21 23/21 22/21 8/7 31/21 8/7 44/21 0
0 0 0 4/7 31/42 15/14 37/42 97/84 65/42 1 11/7 71/42 0
