0 0 22/31 0 10/31 443/372 1/2 1 193/124 307/124 113/62 2689/1116 923/279 0
0 0 19/28 0 9/28 135/112 1/2 1 183/112 41/16 319/168 827/336 191/56 0
0 0 2/3 0 8/27 415/324 1/2 1 205/108 101/36 335/162 895/324 1199/324 0
0 0 17/26 0 9/26 185/156 1/2 1 41/26 33/13 74/39 185/78 1045/312 0
0 0 24/35 0 11/35 451/420 31/70 31/35 197/140 331/140 11/7 137/63 271/90 0
0 0 17/27 0 1/3 373/324 13/27 26/27 175/108 275/108 146/81 773/324 179/54 0
0 0 5/8 0 7/24 359/288 23/48 23/24 185/96 271/96 145/72 793/288 1055/288 0
0 0 5/8 0 3/8 169/144 1/2 1 19/12 31/12 269/144 337/144 961/288 0
0 0 13/22 0 7/22 41/44 19/44 19/22 59/44 26/11 203/132 551/264 95/33 0
0 0 11/20 0 7/20 31/30 19/40 19/20 63/40 51/20 43/24 139/60 77/24 0
0 0 13/22 0 7/22 7/6 21/44 21/22 83/44 31/11 263/132 353/132 469/132 0
0 0 4/7 0 8/21 23/21 1/2 1 67/42 55/21 79/42 148/63 139/42 0
0 0 13/23 0 8/23 59/46 14/23 28/23 95/46 129/46 50/23 131/46 355/92 0
0 0 6/11 0 7/22 15/11 27/44 27/22 26/11 135/44 26/11 35/11 46/11 0
0 0 6/11 0 4/11 41/33 13/22 13/11 43/22 30/11 70/33 59/22 89/24 0
0 0 12/23 0 8/23 55/46 13/23 26/23 91/46 125/46 2 123/46 335/92 0
0 0 1/2 0 3/10 13/10 23/40 23/20 47/20 121/40 9/4 31/10 81/20 0
0 0 11/21 0 8/21 76/63 4/7 8/7 40/21 19/7 128/63 18/7 907/252 0
0 0 4/9 0 1/3 37/36 19/36 19/18 67/36 47/18 17/9 89/36 121/36 0
0 0 9/19 0 6/19 45/38 21/38 21/19 85/38 56/19 41/19 111/38 145/38 0
0 0 9/19 0 7/19 125/114 21/38 21/19 71/38 51/19 113/57 5/2 395/114 0
0 0 13/24 0 1/3 35/24 11/16 11/8 21/8 157/48 61/24 7/2 107/24 0
0 0 1/2 0 7/22 31/22 29/44 29/22 29/11 13/4 27/11 38/11 48/11 0
0 0 12/25 0 9/25 71/50 37/50 37/25 153/50 92/25 68/25 193/50 237/50 0
0 0 19/28 0 23/56 17/14 75/112 173/168 499/336 267/112 157/84 2371/1008 3287/1008 0
0 0 9/14 0 23/56 209/168 81/112 85/84 517/336 275/112 55/28 263/112 1123/336 0
0 0 19/31 0 25/62 125/93 107/124 191/186 655/372 327/124 203/93 971/372 445/124 0
0 0 14/23 0 10/23 57/46 16/23 24/23 36/23 58/23 139/69 7/3 467/138 0
0 0 13/19 0 27/76 491/456 277/456 191/228 571/456 343/152 355/228 1397/684 3953/1368 0
0 0 7/11 0 25/66 461/396 283/396 8/9 553/396 105/44 353/198 859/396 413/132 0
0 0 21/34 0 25/68 173/136 349/408 185/204 655/408 347/136 137/68 331/136 1379/408 0
0 0 13/22 0 5/11 163/132 15/22 23/22 35/22 57/22 263/132 307/132 449/132 0
0 0 14/23 0 8/23 65/69 40/69 37/46 55/46 53/23 104/69 181/92 64/23 0
0 0 13/23 0 9/23 149/138 49/69 41/46 65/46 57/23 125/69 149/69 431/138 0
0 0 4/7 0 11/28 209/168 73/84 53/56 95/56 75/28 44/21 421/168 83/24 0
0 0 11/20 0 9/20 23/20 27/40 41/40 63/40 13/5 79/40 55/24 133/40 0
0 0 1/2 0 1/2 37/27 17/18 4/3 37/18 25/9 43/18 17/6 71/18 0
0 0 9/19 0 9/19 169/114 41/38 51/38 89/38 3 50/19 60/19 161/38 0
0 0 1/2 0 1/2 4/3 8/9 23/18 35/18 49/18 125/54 8/3 205/54 0
0 0 9/19 0 9/19 24/19 16/19 23/19 37/19 51/19 41/19 50/19 70/19 0
0 0 4/9 0 4/9 17/12 37/36 5/4 83/36 53/18 5/2 55/18 49/12 0
0 0 1/2 0 1/2 35/27 5/6 11/9 17/9 49/18 119/54 23/9 199/54 0
0 0 7/16 0 7/16 35/32 25/32 35/32 57/32 41/16 2 19/8 107/32 0
0 0 4/9 0 4/9 47/36 35/36 43/36 79/36 26/9 43/18 26/9 139/36 0
0 0 8/17 0 8/17 7/6 27/34 39/34 61/34 45/17 107/51 41/17 353/102 0
0 0 8/17 0 8/17 157/102 39/34 3/2 87/34 53/17 47/17 59/17 151/34 0
0 0 7/16 0 7/16 47/32 35/32 45/32 81/32 49/16 21/8 27/8 137/32 0
0 0 4/9 0 4/9 17/12 41/36 53/36 97/36 59/18 49/18 7/2 157/36 0
0 0 4/7 0 23/42 88/63 41/42 179/126 127/63 115/42 148/63 125/42 251/63 0
0 0 11/20 0 21/40 167/120 21/20 41/30 233/120 107/40 71/30 341/120 467/120 0
0 0 11/21 0 1/2 13/9 17/14 167/126 124/63 113/42 157/63 365/126 247/63 0
