0 0 3/26 0 9/26 17/13 161/312 18/13 199/156 497/312 57/26 177/104 113/52 0
0 0 3/26 0 3/13 14/13 71/104 69/52 251/156 209/104 33/13 229/104 131/52 0
0 0 3/20 0 11/20 8/5 47/120 7/5 11/10 7/5 37/20 11/8 15/8 0
0 0 1/8 0 11/24 17/12 73/144 65/48 23/18 55/36 25/12 27/16 33/16 0
0 0 3/28 0 2/7 15/14 19/28 17/14 19/12 15/8 65/28 61/28 129/56 0
0 0 1/3 0 7/15 7/6 53/180 83/60 29/30 17/15 29/15 67/60 139/60 0
0 0 7/23 0 10/23 21/23 9/23 32/23 25/23 28/23 54/23 31/23 53/23 0
0 0 8/25 0 12/25 38/25 17/75 63/50 19/25 23/25 7/5 22/25 41/25 0
0 0 9/26 0 6/13 37/26 49/156 17/13 34/39 77/78 45/26 57/52 83/52 0
0 0 3/10 0 11/20 29/20 29/120 47/40 4/5 19/20 7/5 37/40 57/40 0
0 0 2/5 0 17/30 47/30 11/36 79/60 37/45 83/90 5/3 21/20 29/20 0
0 0 1/4 0 1/3 25/24 35/72 17/16 89/72 49/36 43/24 13/8 79/48 0
0 0 9/22 0 5/11 13/11 41/132 13/11 23/22 27/22 35/22 53/44 95/44 0
0 0 9/22 0 5/11 16/11 17/66 27/22 19/22 23/22 31/22 1 19/11 0
0 0 8/19 0 10/19 26/19 29/114 21/19 16/19 1 25/19 37/38 53/38 0
0 0 1/2 0 11/20 29/20 29/120 47/40 4/5 19/20 7/5 37/40 49/40 0
0 0 7/20 0 2/5 23/20 11/30 21/20 21/20 6/5 3/2 13/10 53/40 0
0 0 10/33 0 5/33 25/33 181/396 97/66 83/66 7/4 86/33 19/12 373/132 0
0 0 1/4 0 1/8 1/2 7/12 35/24 35/24 23/12 73/24 23/12 35/12 0
0 0 2/9 0 1/9 4/9 2/3 10/9 29/18 19/9 49/18 13/6 47/18 0
0 0 8/25 0 4/25 29/25 49/150 63/50 24/25 69/50 46/25 59/50 191/100 0
0 0 6/23 0 3/23 21/23 125/276 27/23 163/138 425/276 48/23 141/92 89/46 0
0 0 9/29 0 3/29 28/29 71/116 75/58 251/174 221/116 72/29 229/116 131/58 0
0 0 3/13 0 3/26 11/13 9/13 61/52 127/78 101/52 31/13 29/13 9/4 0
0 0 1/2 0 5/16 17/16 53/192 45/32 29/32 39/32 33/16 67/64 73/32 0
0 0 15/28 0 1/4 23/28 31/84 83/56 29/28 71/56 71/28 9/7 9/4 0
0 0 1/2 0 4/13 18/13 17/78 67/52 19/26 27/26 41/26 11/13 43/26 0
0 0 9/16 0 9/32 5/4 19/64 89/64 5/6 199/192 63/32 67/64 103/64 0
0 0 10/23 0 3/23 24/23 67/138 30/23 86/69 113/69 51/23 75/46 87/46 0
0 0 1/2 0 6/13 37/26 49/156 17/13 34/39 77/78 45/26 57/52 75/52 0
0 0 5/13 0 3/13 14/13 41/78 16/13 101/78 119/78 53/26 45/26 7/4 0
0 0 3/5 0 3/10 17/15 23/90 6/5 13/15 23/20 8/5 1 121/60 0
0 0 2/3 0 59/216 287/216 11/54 29/24 25/36 103/108 295/216 29/36 83/54 0
0 0 17/26 0 41/156 185/156 17/78 59/52 19/26 155/156 229/156 11/13 50/39 0
0 0 16/25 0 2/15 17/15 107/300 63/50 51/50 427/300 28/15 127/100 463/300 0
0 0 13/22 0 53/132 167/132 17/66 12/11 19/22 67/66 175/132 1 179/132 0
0 0 16/25 0 13/30 203/150 17/75 57/50 19/25 67/75 199/150 22/25 173/150 0
0 0 17/29 0 22/87 103/87 143/348 69/58 63/58 457/348 146/87 163/116 17/12 0
0 0 9/25 0 4/25 12/25 12/25 36/25 34/25 47/25 71/25 42/25 72/25 0
0 0 7/22 0 3/22 9/22 6/11 63/44 31/22 41/22 3 20/11 31/11 0
0 0 7/19 0 2/19 6/19 12/19 41/38 29/19 39/19 51/19 39/19 46/19 0
0 0 4/9 0 1/9 4/9 2/3 10/9 29/18 19/9 49/18 13/6 43/18 0
0 0 1/3 0 1/9 1/3 7/9 37/36 11/6 20/9 49/18 5/2 5/2 0
0 0 3/5 0 17/60 11/15 53/180 13/10 29/30 19/15 11/5 67/60 67/30 0
0 0 9/13 0 25/117 151/234 1/3 107/78 37/39 136/117 557/234 46/39 235/117 0
0 0 7/11 0 7/66 43/132 61/132 47/44 40/33 19/12 311/132 69/44 11/6 0
0 0 5/7 0 5/24 121/168 55/168 69/56 13/14 47/42 359/168 65/56 275/168 0
0 0 2/3 0 7/72 61/144 73/144 9/8 23/18 239/144 353/144 27/16 17/9 0
0 0 15/23 0 25/69 53/69 47/138 25/23 22/23 73/69 130/69 55/46 100/69 0
0 0 17/27 0 29/162 38/81 44/81 29/27 107/81 127/81 187/81 16/9 287/162 0
0 0 29/38 0 13/57 13/19 11/38 20/19 1 70/57 32/19 22/19 223/114 0
0 0 4/5 0 13/60 103/180 11/45 59/60 5/6 16/15 311/180 29/30 53/36 0
0 0 19/25 0 17/150 53/150 28/75 1 83/75 3/2 313/150 34/25 41/25 0
0 0 4/5 0 7/30 161/180 11/45 59/60 5/6 21/20 253/180 29/30 53/36 0
0 0 13/16 0 41/192 3/4 11/48 63/64 25/32 191/192 49/32 29/32 81/64 0
0 0 9/11 0 19/198 109/198 149/396 23/22 211/198 565/396 389/198 59/44 613/396 0
0 0 8/11 0 4/11 11/12 13/44 21/22 1 149/132 185/132 51/44 65/44 0
0 0 4/5 0 31/90 31/36 11/45 59/60 5/6 169/180 259/180 29/30 43/36 0
0 0 29/37 0 20/111 22/37 197/444 75/74 7/6 617/444 69/37 225/148 665/444 0
0 0 5/26 0 9/26 23/26 19/52 53/52 1 21/26 18/13 73/52 119/52 0
0 0 1/7 0 9/28 19/28 1/2 71/56 17/14 55/56 59/28 13/7 69/28 0
0 0 2/11 0 4/11 13/11 7/22 43/44 19/22 15/22 23/22 27/22 20/11 0
0 0 6/35 0 11/35 37/35 47/105 89/70 16/15 29/35 25/14 58/35 2 0
0 0 1/6 0 4/9 7/6 11/36 11/12 5/6 2/3 1 43/36 19/12 0
0 0 10/49 0 20/49 58/49 139/294 121/98 157/147 75/98 165/98 169/98 89/49 0
0 0 4/33 0 3/11 28/33 107/198 67/66 122/99 205/198 56/33 137/66 39/22 0
0 0 5/19 0 6/19 16/19 15/38 16/19 21/19 17/19 21/19 59/38 85/38 0
0 0 5/19 0 6/19 20/19 7/19 17/19 1 15/19 1 27/19 37/19 0
0 0 5/17 0 7/17 18/17 11/34 14/17 15/17 12/17 15/17 43/34 53/34 0
0 0 1/3 0 8/21 22/21 17/42 6/7 1 5/7 1 61/42 61/42 0
0 0 2/9 0 5/18 5/6 4/9 7/9 10/9 17/18 10/9 29/18 47/36 0
0 0 6/23 0 5/23 16/23 19/46 22/23 26/23 21/23 33/23 73/46 111/46 0
0 0 7/26 0 2/13 6/13 7/13 16/13 35/26 59/52 29/13 2 33/13 0
0 0 5/19 0 4/19 18/19 7/19 17/19 1 15/19 21/19 27/19 37/19 0
0 0 5/17 0 3/17 15/17 47/102 21/17 115/102 31/34 127/68 29/17 2 0
0 0 11/40 0 1/4 19/20 121/240 23/20 139/120 67/80 133/80 143/80 9/5 0
0 0 5/29 0 4/29 19/29 95/174 57/58 110/87 187/174 49/29 119/58 101/58 0
0 0 9/22 0 5/22 9/11 9/22 19/22 25/22 10/11 25/22 35/22 51/22 0
0 0 1/2 0 11/52 53/52 5/13 12/13 27/26 21/26 53/52 19/13 103/52 0
0 0 9/19 0 7/38 33/38 7/19 16/19 1 15/19 41/38 27/19 63/38 0
0 0 9/19 0 11/38 37/38 7/19 16/19 1 15/19 37/38 27/19 63/38 0
0 0 1/2 0 15/52 53/52 11/26 23/26 27/26 19/26 53/52 3/2 77/52 0
0 0 9/22 0 2/11 9/11 5/11 9/11 25/22 21/22 25/22 18/11 29/22 0
0 0 9/22 0 9/44 5/11 19/44 10/11 13/11 21/22 35/22 73/44 107/44 0
0 0 8/17 0 5/34 13/34 9/17 41/34 45/34 75/68 75/34 33/17 167/68 0
0 0 6/13 0 7/52 11/26 27/52 15/13 17/13 57/52 55/26 101/52 57/26 0
0 0 14/31 0 7/31 15/31 33/62 32/31 39/31 59/62 57/31 119/62 59/31 0
0 0 2/5 0 7/50 8/25 14/25 49/50 33/25 29/25 49/25 53/25 91/50 0
0 0 19/29 0 31/174 43/87 15/29 25/29 41/29 32/29 122/87 57/29 227/87 0
0 0 15/22 0 1/6 25/66 5/11 9/11 27/22 21/22 49/33 19/11 277/132 0
0 0 15/22 0 25/132 95/132 5/11 9/11 27/22 21/22 151/132 19/11 277/132 0
0 0 16/23 0 11/69 77/138 10/23 19/23 27/23 21/23 181/138 38/23 128/69 0
0 0 12/19 0 31/114 83/114 17/38 15/19 23/19 18/19 127/114 65/38 110/57 0
0 0 22/31 0 43/186 119/186 16/31 26/31 39/31 27/31 235/186 56/31 161/93 0
0 0 17/26 0 7/52 6/13 7/13 21/26 35/26 29/26 37/26 25/13 20/13 0
0 0 1/6 0 3/10 4/5 83/180 67/60 13/10 17/15 26/15 97/60 77/30 0
0 0 1/7 0 2/7 17/28 17/28 73/56 169/112 5/4 33/14 2 75/28 0
0 0 4/25 0 8/25 28/25 29/75 1 27/25 23/25 31/25 34/25 48/25 0
0 0 3/17 0 5/17 35/34 9/17 5/4 523/408 69/68 127/68 59/34 35/17 0
0 0 3/20 0 2/5 11/10 47/120 19/20 11/10 19/20 5/4 11/8 69/40 0
0 0 1/5 0 16/45 10/9 17/30 107/90 703/540 43/45 157/90 163/90 17/9 0
