0 0 7/15 14/15 0 31/15 53/45 22/15 4/5 43/15 38/15 0
0 0 3/7 6/7 0 29/14 8/7 19/14 11/14 20/7 17/7 0
0 0 6/13 12/13 0 22/13 41/39 19/13 9/13 34/13 30/13 0
0 0 5/12 5/6 0 5/3 1 4/3 2/3 31/12 13/6 0
0 0 6/13 12/13 0 22/13 41/39 19/13 12/13 31/13 30/13 0
0 0 5/12 5/6 0 5/3 1 4/3 11/12 7/3 13/6 0
0 0 6/13 12/13 0 20/13 38/39 19/13 10/13 30/13 28/13 0
0 0 3/7 6/7 0 3/2 13/14 19/14 11/14 16/7 2 0
0 0 5/12 5/6 0 2 73/72 11/8 17/24 5/2 9/4 0
0 0 4/11 8/11 0 2 21/22 27/22 15/22 27/11 23/11 0
0 0 5/12 5/6 0 5/3 67/72 11/8 19/24 13/6 25/12 0
0 0 4/11 8/11 0 18/11 19/22 27/22 17/22 23/11 21/11 0
0 0 5/12 5/6 0 2 73/72 11/8 1/2 65/24 9/4 0
0 0 4/11 8/11 0 2 21/22 27/22 5/11 59/22 23/11 0
0 0 5/12 5/6 0 5/3 67/72 11/8 1/2 59/24 25/12 0
0 0 4/11 8/11 0 18/11 19/22 27/22 5/11 53/22 21/11 0
0 0 1/3 2/3 0 7/4 5/6 43/36 11/24 53/24 17/9 0
0 0 3/11 6/11 0 19/11 25/33 34/33 9/22 47/22 56/33 0
0 0 5/16 15/16 0 83/32 19/16 51/32 27/32 93/32 21/8 0
0 0 2/7 6/7 0 73/28 8/7 41/28 23/28 81/28 5/2 0
0 0 5/16 15/16 0 71/32 35/32 51/32 15/16 81/32 39/16 0
0 0 2/7 6/7 0 61/28 29/28 41/28 13/14 69/28 16/7 0
0 0 2/7 6/7 0 67/28 43/42 125/84 17/28 75/28 7/3 0
0 0 1/4 3/4 0 19/8 17/18 95/72 13/24 21/8 77/36 0
0 0 5/16 15/16 0 83/32 19/16 51/32 5/16 55/16 21/8 0
0 0 2/7 6/7 0 73/28 8/7 41/28 2/7 24/7 5/2 0
0 0 5/16 15/16 0 71/32 35/32 51/32 5/16 101/32 39/16 0
0 0 2/7 6/7 0 61/28 29/28 41/28 2/7 87/28 16/7 0
0 0 2/7 6/7 0 67/28 43/42 125/84 2/7 3 7/3 0
0 0 1/4 3/4 0 19/8 17/18 95/72 1/4 35/12 77/36 0
0 0 4/21 20/21 0 131/42 17/14 109/63 8/21 7/2 173/63 0
0 0 3/17 15/17 0 107/34 7/6 82/51 6/17 7/2 134/51 0
