0 0 0 3/17 6/17 27/34 26/17 1/17 15/34 1 43/34 19/17 36/17 0
0 0 0 1/8 3/8 29/32 29/16 1/16 11/32 29/32 43/32 35/32 2 0
0 0 0 5/23 11/23 199/276 4/3 1/23 65/138 24/23 80/69 151/138 44/23 0
0 0 0 4/23 12/23 223/276 107/69 1/23 53/138 45/46 83/69 145/138 41/23 0
0 0 0 3/16 5/16 3/4 3/2 1/16 15/32 7/8 37/32 1 15/8 0
0 0 0 2/15 1/3 13/15 9/5 1/15 11/30 23/30 37/30 29/30 26/15 0
0 0 0 5/21 3/7 89/126 169/126 1/21 65/126 20/21 139/126 65/63 37/21 0
0 0 0 4/21 10/21 101/126 199/126 1/21 53/126 37/42 145/126 62/63 34/21 0
0 0 0 1/4 3/10 7/10 7/4 1/20 23/40 1 27/20 1 43/20 0
0 0 0 2/7 8/21 43/63 25/18 1/21 11/18 1 151/126 19/18 13/7 0
0 0 0 2/13 2/13 11/13 21/13 1/13 9/26 27/26 31/26 11/13 2 0
0 0 0 1/10 1/10 9/10 9/5 1/10 1/4 9/10 5/4 17/20 9/5 0
0 0 0 2/13 2/13 10/13 20/13 1/13 9/26 23/26 27/26 9/13 22/13 0
0 0 0 1/10 1/10 4/5 17/10 1/10 1/4 7/10 21/20 13/20 7/5 0
0 0 0 4/19 4/19 13/19 34/19 1/19 17/38 1 47/38 14/19 2 0
0 0 0 3/19 5/19 18/19 34/19 2/19 65/114 97/114 45/38 62/57 215/114 0
0 0 0 2/17 5/17 18/17 35/17 2/17 25/51 38/51 43/34 109/102 179/102 0
0 0 0 1/5 9/25 9/10 41/25 2/25 3/5 11/12 17/15 11/10 133/75 0
0 0 0 1/6 5/12 47/48 11/6 1/12 25/48 245/288 85/72 17/16 59/36 0
0 0 0 2/15 2/15 13/15 5/3 2/15 19/45 79/90 31/30 7/9 76/45 0
0 0 0 1/11 1/11 10/11 20/11 2/11 23/66 23/33 23/22 49/66 46/33 0
0 0 0 2/19 5/19 22/19 43/19 5/38 125/228 13/19 51/38 61/57 191/114 0
0 0 0 4/27 10/27 29/27 55/27 5/54 61/108 85/108 203/162 19/18 127/81 0
0 0 0 1/12 1/12 11/12 11/6 5/24 55/144 23/36 25/24 13/18 23/18 0
0 0 0 6/11 15/44 37/44 59/44 5/12 13/22 49/44 173/132 17/12 49/22 0
0 0 0 14/25 3/10 49/50 8/5 73/150 3/5 27/25 107/75 113/75 11/5 0
0 0 0 13/25 27/50 77/100 59/50 49/150 14/25 6/5 179/150 101/75 103/50 0
0 0 0 15/29 1/2 105/116 42/29 67/174 16/29 67/58 113/87 122/87 117/58 0
0 0 0 7/16 5/16 3/4 45/32 9/32 1/2 7/8 35/32 33/32 7/4 0
0 0 0 4/9 5/18 17/18 16/9 13/36 1/2 31/36 23/18 7/6 16/9 0
0 0 0 4/9 4/9 25/36 11/9 7/36 1/2 11/12 35/36 35/36 14/9 0
0 0 0 3/7 3/7 37/42 67/42 11/42 10/21 19/21 8/7 15/14 11/7 0
0 0 0 8/17 6/17 11/17 3/2 7/34 9/17 15/17 39/34 29/34 30/17 0
0 0 0 1/2 7/16 5/8 19/16 5/32 9/16 29/32 1 7/8 3/2 0
0 0 0 14/23 7/46 21/23 67/46 73/138 15/23 109/92 191/138 193/138 107/46 0
0 0 0 7/11 5/44 1 35/22 79/132 15/22 97/88 193/132 101/66 97/44 0
0 0 0 8/17 3/17 14/17 53/34 13/34 9/17 1 41/34 35/34 33/17 0
0 0 0 1/2 1/8 15/16 7/4 15/32 9/16 29/32 21/16 19/16 29/16 0
0 0 0 9/20 1/4 7/10 13/8 11/40 1/2 39/40 6/5 33/40 19/10 0
0 0 0 1/3 1/4 5/6 17/12 1/4 1/2 3/4 11/12 11/12 3/2 0
0 0 0 4/13 3/13 14/13 25/13 4/13 6/13 19/26 15/13 27/26 20/13 0
0 0 0 3/7 5/14 23/28 9/7 3/14 4/7 23/28 25/28 27/28 10/7 0
0 0 0 3/8 3/8 33/32 7/4 1/4 1/2 13/16 35/32 33/32 23/16 0
0 0 0 1/4 1/6 5/6 3/2 1/4 5/12 19/24 11/12 3/4 3/2 0
0 0 0 3/11 1/11 1 20/11 4/11 5/11 8/11 12/11 21/22 16/11 0
0 0 0 3/11 2/11 12/11 2 7/22 1/2 7/11 13/11 21/22 15/11 0
0 0 0 5/13 4/13 14/13 24/13 7/26 15/26 19/26 15/13 1 17/13 0
