0 0 0 9/31 9/31 36/31 40/93 83/93 43/31 691/372 147/62 206/93 274/93 0
0 0 0 7/26 7/26 31/26 37/78 139/156 35/26 493/312 125/52 167/78 883/312 0
0 0 0 1/4 1/4 19/20 7/20 31/40 13/10 37/20 41/20 89/40 27/10 0
0 0 0 2/9 2/9 1 7/18 3/4 11/9 13/9 37/18 37/18 89/36 0
0 0 0 3/11 3/11 1 4/11 9/11 29/22 2 23/11 103/44 59/22 0
0 0 0 1/4 1/4 21/20 2/5 4/5 5/4 33/20 21/10 11/5 99/40 0
0 0 0 5/18 5/18 5/6 1/3 5/6 25/18 16/9 83/36 2 97/36 0
0 0 0 5/19 5/19 18/19 7/19 31/38 25/19 29/19 89/38 73/38 97/38 0
0 0 0 1/4 1/4 3/4 5/16 25/32 11/8 57/32 17/8 65/32 41/16 0
0 0 0 5/21 5/21 20/21 8/21 11/14 61/42 73/42 53/21 95/42 19/7 0
0 0 0 2/7 2/7 17/21 1/3 6/7 10/7 13/6 16/7 33/14 55/21 0
0 0 0 9/32 9/32 29/32 15/32 31/32 103/64 147/64 91/32 89/32 95/32 0
0 0 0 6/29 6/29 33/29 107/174 163/174 39/29 181/87 143/58 391/174 1033/348 0
0 0 0 3/17 3/17 20/17 2/3 47/51 21/17 179/102 5/2 107/51 142/51 0
0 0 0 3/17 3/17 16/17 15/34 25/34 21/17 69/34 35/17 73/34 44/17 0
0 0 0 1/10 1/10 9/10 1/2 13/20 1 31/20 19/10 37/20 21/10 0
0 0 0 4/17 4/17 1 7/17 27/34 21/17 73/34 35/17 77/34 5/2 0
0 0 0 1/6 1/6 1 1/2 3/4 13/12 15/8 2 17/8 13/6 0
0 0 0 1/5 1/5 17/20 11/20 9/10 27/20 41/20 99/40 21/10 111/40 0
0 0 0 3/16 3/16 7/8 1/2 13/16 19/16 7/4 77/32 15/8 79/32 0
0 0 0 3/16 3/16 3/4 7/16 25/32 21/16 63/32 35/16 65/32 5/2 0
0 0 0 1/7 1/7 11/14 1/2 3/4 17/14 51/28 16/7 57/28 33/14 0
0 0 0 1/4 1/4 4/5 2/5 17/20 27/20 91/40 23/10 93/40 5/2 0
0 0 0 5/22 5/22 9/11 13/22 1 3/2 111/44 61/22 123/44 31/11 0
0 0 0 4/13 4/13 33/26 17/39 12/13 20/13 553/312 135/52 161/78 119/39 0
0 0 0 7/24 7/24 4/3 17/36 11/12 3/2 451/288 127/48 73/36 853/288 0
0 0 0 3/10 3/10 21/20 7/20 13/15 31/20 9/5 103/40 2 117/40 0
0 0 0 2/7 2/7 8/7 8/21 107/126 31/21 11/7 109/42 27/14 39/14 0
0 0 0 3/14 3/14 5/4 55/84 55/56 3/2 169/84 151/56 361/168 1045/336 0
0 0 0 4/19 4/19 26/19 71/114 35/38 27/19 197/114 105/38 113/57 169/57 0
0 0 0 5/24 5/24 25/24 7/12 67/72 3/2 49/24 43/16 25/12 143/48 0
0 0 0 4/19 4/19 21/19 1/2 5/6 26/19 33/19 101/38 35/19 103/38 0
0 0 0 5/17 5/17 39/34 49/102 65/68 149/102 749/408 75/34 469/204 601/204 0
0 0 0 7/26 7/26 31/26 43/78 38/39 56/39 479/312 59/26 355/156 23/8 0
0 0 0 7/26 7/26 1 11/26 137/156 55/39 71/39 2 119/52 217/78 0
0 0 0 5/21 5/21 22/21 10/21 109/126 85/63 13/9 43/21 46/21 331/126 0
0 0 0 2/7 2/7 29/28 3/7 19/21 17/12 163/84 57/28 19/8 58/21 0
0 0 0 6/23 6/23 25/23 11/23 62/69 94/69 112/69 48/23 53/23 361/138 0
0 0 0 3/14 3/14 8/7 5/8 27/28 17/12 347/168 9/4 97/42 983/336 0
0 0 0 2/13 2/13 16/13 34/39 85/78 18/13 70/39 31/13 187/78 227/78 0
0 0 0 4/21 4/21 1 67/126 107/126 86/63 29/14 43/21 95/42 172/63 0
0 0 0 1/10 1/10 1 7/10 17/20 6/5 33/20 2 43/20 12/5 0
0 0 0 1/4 1/4 21/20 1/2 109/120 41/30 87/40 41/20 19/8 319/120 0
0 0 0 1/6 1/6 13/12 2/3 11/12 5/4 47/24 25/12 19/8 29/12 0
0 0 0 3/10 3/10 6/5 43/90 173/180 14/9 623/360 7/3 77/36 107/36 0
0 0 0 7/25 7/25 32/25 8/15 29/30 23/15 449/300 61/25 319/150 293/100 0
0 0 0 6/29 6/29 35/29 19/29 85/87 44/29 341/174 70/29 188/87 1039/348 0
0 0 0 3/16 3/16 11/8 71/96 1 3/2 41/24 21/8 205/96 287/96 0
0 0 0 10/23 9/23 28/23 13/23 22/23 33/23 42/23 54/23 51/23 68/23 0
