0 0 0 8/25 11/25 11/25 23/25 17/25 6/5 77/50 2 99/50 0
0 0 0 3/11 5/11 4/11 39/44 17/22 23/22 67/44 47/22 81/44 0
0 0 0 3/7 4/7 1/7 1 4/7 3/2 12/7 29/14 25/14 0
0 0 0 6/17 9/17 3/17 15/17 13/17 22/17 28/17 36/17 29/17 0
0 0 0 5/21 3/7 11/21 6/7 5/7 10/7 10/7 38/21 27/14 0
0 0 0 3/17 8/17 8/17 27/34 12/17 20/17 22/17 31/17 55/34 0
0 0 0 5/17 8/17 6/17 16/17 11/17 29/17 27/17 33/17 31/17 0
0 0 0 2/9 4/9 7/18 7/9 13/18 3/2 13/9 11/6 14/9 0
0 0 0 1/6 11/24 7/12 3/4 35/48 19/12 73/48 19/12 95/48 0
0 0 0 1/8 9/16 1/2 23/32 23/32 19/16 11/8 27/16 25/16 0
0 0 0 4/23 11/23 11/23 19/23 33/46 45/23 40/23 39/23 89/46 0
0 0 0 3/20 1/2 9/20 7/10 31/40 31/20 3/2 33/20 61/40 0
0 0 0 6/23 12/23 9/23 1 22/23 1 3/2 50/23 81/46 0
0 0 0 13/32 9/16 11/32 15/16 39/32 5/4 101/64 67/32 51/32 0
0 0 0 4/21 4/7 4/7 13/14 6/7 8/7 55/42 41/21 65/42 0
0 0 0 9/34 1/2 9/17 57/68 19/17 47/34 93/68 31/17 24/17 0
0 0 0 3/19 14/19 12/19 17/19 33/38 23/19 28/19 36/19 29/19 0
0 0 0 7/36 5/9 11/18 13/18 10/9 3/2 13/9 19/12 97/72 0
0 0 0 9/13 11/13 3/13 10/13 4/13 15/13 19/13 24/13 41/26 0
0 0 0 3/5 13/15 1/5 7/10 2/5 1 22/15 2 7/5 0
0 0 0 7/9 8/9 1/9 7/9 2/9 4/3 3/2 16/9 4/3 0
0 0 0 2/3 13/15 2/15 19/30 2/5 17/15 22/15 28/15 6/5 0
0 0 0 1/2 3/4 1/3 2/3 5/12 7/6 5/4 19/12 3/2 0
0 0 0 5/13 10/13 4/13 8/13 6/13 1 16/13 22/13 17/13 0
0 0 0 3/5 4/5 1/5 7/10 3/10 13/10 13/10 8/5 13/10 0
0 0 0 7/15 11/15 4/15 8/15 7/15 6/5 19/15 8/5 17/15 0
0 0 0 1/3 7/9 4/9 2/3 19/36 25/18 17/12 14/9 5/3 0
0 0 0 5/16 7/8 3/8 11/16 17/32 19/16 23/16 29/16 47/32 0
0 0 0 7/18 8/9 1/3 13/18 17/36 5/3 29/18 5/3 19/12 0
0 0 0 8/21 6/7 1/3 13/21 23/42 31/21 32/21 12/7 19/14 0
0 0 0 7/12 13/12 1/4 1 7/12 1 13/8 7/3 17/12 0
0 0 0 5/7 20/21 2/7 6/7 6/7 26/21 34/21 44/21 26/21 0
0 0 0 5/13 1 5/13 12/13 8/13 1 18/13 27/13 17/13 0
0 0 0 11/23 19/23 10/23 17/23 19/23 29/23 31/23 41/23 25/23 0
0 0 0 1/4 15/16 9/16 7/8 25/32 9/8 23/16 31/16 45/32 0
0 0 0 9/31 22/31 18/31 20/31 1 43/31 42/31 47/31 73/62 0
0 0 0 5/6 25/24 1/6 7/8 1/4 7/6 35/24 11/6 35/24 0
0 0 0 7/9 7/6 1/9 8/9 2/9 1 13/9 2 11/9 0
0 0 0 10/11 23/22 1/11 9/11 2/11 14/11 16/11 19/11 27/22 0
0 0 0 10/11 25/22 1/11 17/22 2/11 13/11 16/11 20/11 23/22 0
0 0 0 2/3 23/24 1/4 19/24 1/3 7/6 31/24 5/3 17/12 0
0 0 0 3/5 21/20 1/5 4/5 3/10 1 5/4 9/5 6/5 0
0 0 0 3/4 23/24 1/6 3/4 1/4 5/4 31/24 19/12 29/24 0
0 0 0 3/4 25/24 1/6 17/24 1/4 7/6 31/24 5/3 25/24 0
0 0 0 9/19 1 7/19 31/38 17/38 27/19 29/19 33/19 31/19 0
0 0 0 1/2 17/14 2/7 13/14 11/28 9/7 45/28 29/14 41/28 0
0 0 0 6/11 47/44 3/11 9/11 17/44 18/11 73/44 39/22 3/2 0
0 0 0 3/5 47/40 1/4 33/40 3/8 31/20 67/40 19/10 27/20 0
0 0 0 7/10 5/4 1/5 11/10 2/5 1 8/5 23/10 13/10 0
