0 0 5/23 8/23 0 28/23 44/23 61/23 49/46 52/23 149/46 187/46 0
0 0 3/13 5/13 0 17/13 49/26 77/26 31/26 67/26 83/26 215/52 0
0 0 7/27 10/27 0 34/27 16/9 32/9 67/54 74/27 100/27 115/27 0
0 0 9/31 11/31 0 39/31 117/62 90/31 36/31 5/2 3 245/62 0
0 0 2/9 7/18 0 13/9 37/18 49/18 1 20/9 19/6 35/9 0
0 0 4/19 8/19 0 29/19 2 54/19 20/19 46/19 56/19 70/19 0
0 0 2/9 7/18 0 13/9 11/6 28/9 1 22/9 19/6 7/2 0
0 0 3/11 9/22 0 17/11 91/44 63/22 12/11 109/44 63/22 81/22 0
0 0 3/19 6/19 0 27/19 36/19 93/38 18/19 37/19 213/76 131/38 0
0 0 1/8 3/8 0 25/16 31/16 83/32 17/16 35/16 85/32 53/16 0
0 0 1/12 1/3 0 3/2 7/4 21/8 25/24 13/6 65/24 71/24 0
0 0 3/17 7/17 0 29/17 73/34 47/17 41/34 42/17 47/17 123/34 0
0 0 1/10 1/5 0 13/10 8/5 39/20 47/60 17/10 83/40 9/4 0
0 0 1/11 3/11 0 16/11 19/11 49/22 31/33 2 51/22 29/11 0
0 0 1/12 1/3 0 19/12 11/6 21/8 77/72 9/4 65/24 71/24 0
0 0 2/13 4/13 0 20/13 49/26 31/13 83/78 29/13 31/13 77/26 0
0 0 6/13 5/13 0 16/13 21/13 28/13 1 28/13 37/13 48/13 0
0 0 8/19 8/19 0 26/19 32/19 52/19 22/19 48/19 56/19 75/19 0
0 0 11/24 3/8 0 5/4 37/24 10/3 9/8 5/2 161/48 23/6 0
0 0 10/21 3/7 0 10/7 13/7 20/7 76/63 331/126 61/21 250/63 0
0 0 5/12 1/3 0 7/6 3/2 2 3/4 7/4 29/12 3 0
0 0 3/8 3/8 0 21/16 25/16 19/8 7/8 33/16 39/16 25/8 0
0 0 8/19 6/19 0 22/19 26/19 51/19 15/19 37/19 99/38 54/19 0
0 0 7/17 7/17 0 25/17 31/17 44/17 1 79/34 43/17 57/17 0
0 0 1/3 1/5 0 17/15 4/3 53/30 2/3 7/5 121/60 73/30 0
0 0 1/3 4/15 0 19/15 7/5 61/30 4/5 5/3 61/30 38/15 0
0 0 2/5 1/5 0 16/15 17/15 21/10 7/10 22/15 2 21/10 0
0 0 4/13 5/13 0 20/13 23/13 30/13 27/26 28/13 29/13 79/26 0
0 0 2/9 1/9 0 11/9 4/3 29/18 35/54 13/9 7/4 35/18 0
0 0 3/11 2/11 0 14/11 15/11 41/22 25/33 18/11 41/22 24/11 0
0 0 5/14 3/14 0 17/14 9/7 61/28 65/84 23/14 29/14 61/28 0
0 0 3/11 3/11 0 15/11 17/11 2 59/66 21/11 21/11 5/2 0
0 0 7/13 5/13 0 16/13 21/13 27/13 1 28/13 36/13 47/13 0
0 0 7/12 1/3 0 13/12 17/12 23/12 11/12 2 29/12 19/6 0
0 0 7/11 3/11 0 10/11 13/11 19/11 9/11 20/11 49/22 31/11 0
0 0 3/5 1/3 0 17/15 8/5 32/15 43/45 187/90 7/3 142/45 0
0 0 1/2 1/3 0 7/6 3/2 23/12 3/4 7/4 7/3 35/12 0
0 0 6/11 3/11 0 1 14/11 19/11 7/11 17/11 21/11 26/11 0
0 0 3/5 1/5 0 4/5 1 3/2 1/2 13/10 33/20 19/10 0
0 0 7/13 4/13 0 15/13 20/13 2 10/13 47/26 2 34/13 0
0 0 3/7 3/14 0 8/7 19/14 12/7 19/28 10/7 111/56 17/7 0
0 0 6/11 2/11 0 1 13/11 18/11 13/22 14/11 18/11 43/22 0
0 0 2/3 1/9 0 7/9 8/9 13/9 4/9 1 25/18 13/9 0
0 0 5/11 3/11 0 13/11 16/11 20/11 17/22 18/11 19/11 51/22 0
0 0 1/3 1/9 0 10/9 11/9 13/9 16/27 4/3 19/12 16/9 0
0 0 4/9 1/9 0 1 10/9 13/9 29/54 11/9 13/9 29/18 0
0 0 5/9 1/9 0 8/9 1 13/9 13/27 10/9 25/18 13/9 0
0 0 2/5 1/5 0 11/10 13/10 8/5 41/60 3/2 3/2 39/20 0
0 0 3/20 11/20 0 43/20 49/20 23/8 6/5 49/20 259/80 159/40 0
0 0 2/15 3/5 0 11/5 37/15 91/30 19/15 13/5 91/30 56/15 0
0 0 1/9 5/9 0 2 20/9 55/18 7/6 22/9 55/18 19/6 0
0 0 2/13 9/13 0 31/13 35/13 41/13 37/26 38/13 41/13 107/26 0
0 0 1/11 5/11 0 23/11 25/11 57/22 71/66 25/11 117/44 63/22 0
0 0 1/10 1/2 0 21/10 23/10 11/4 17/15 12/5 11/4 3 0
0 0 1/9 5/9 0 19/9 7/3 55/18 65/54 23/9 55/18 19/6 0
0 0 1/9 5/9 0 19/9 7/3 8/3 65/54 23/9 8/3 19/6 0
0 0 3/10 9/20 0 2 43/20 103/40 21/20 43/20 227/80 27/8 0
0 0 6/17 8/17 0 33/17 35/17 91/34 18/17 37/17 89/34 53/17 0
0 0 1/2 5/14 0 3/2 11/7 71/28 23/28 12/7 33/14 65/28 0
0 0 1/4 7/12 0 25/12 9/4 8/3 29/24 5/2 31/12 83/24 0
0 0 1/4 5/12 0 13/6 9/4 21/8 77/72 9/4 43/16 23/8 0
0 0 1/3 5/12 0 2 25/12 21/8 37/36 13/6 61/24 11/4 0
0 0 6/13 5/13 0 22/13 23/13 69/26 71/78 25/13 32/13 63/26 0
0 0 2/9 4/9 0 16/9 17/9 20/9 53/54 19/9 19/9 47/18 0
0 0 7/18 4/9 0 35/18 19/9 22/9 37/36 19/9 197/72 10/3 0
0 0 7/13 5/13 0 22/13 24/13 30/13 23/26 24/13 29/13 69/26 0
0 0 7/9 2/9 0 10/9 11/9 17/9 5/9 11/9 31/18 5/3 0
0 0 4/11 5/11 0 19/11 21/11 24/11 21/22 2 23/11 61/22 0
0 0 4/11 4/11 0 21/11 2 25/11 31/33 2 103/44 28/11 0
0 0 1/2 3/10 0 8/5 17/10 21/10 47/60 17/10 2 43/20 0
0 0 2/3 2/9 0 11/9 4/3 17/9 16/27 4/3 31/18 5/3 0
0 0 1/3 1/3 0 13/9 14/9 16/9 41/54 5/3 5/3 37/18 0
