0 0 0 3/16 1 31/16 95/96 33/16 125/96 235/96 8/3 305/96 0
0 0 0 2/15 14/15 28/15 49/45 2 119/90 113/45 128/45 293/90 0
0 0 0 4/13 1 23/13 9/13 25/13 16/13 57/26 63/26 73/26 0
0 0 0 3/13 12/13 22/13 21/26 24/13 16/13 29/13 67/26 37/13 0
0 0 0 1/4 41/40 39/20 53/60 41/20 79/60 37/15 73/30 37/12 0
0 0 0 3/8 33/32 7/4 59/96 15/8 41/32 53/24 71/32 265/96 0
0 0 0 1/5 13/15 2 16/15 31/15 43/30 23/10 38/15 31/10 0
0 0 0 1/10 7/10 8/5 23/20 17/10 27/20 43/20 13/5 59/20 0
0 0 0 4/13 11/13 22/13 19/26 23/13 17/13 25/13 28/13 67/26 0
0 0 0 1/5 7/10 7/5 4/5 3/2 6/5 9/5 11/5 12/5 0
0 0 0 4/15 14/15 31/15 1 32/15 3/2 73/30 12/5 47/15 0
0 0 0 5/13 12/13 22/13 17/26 23/13 18/13 2 2 67/26 0
0 0 0 2/11 7/11 20/11 23/22 21/11 31/22 24/11 26/11 32/11 0
0 0 0 1/9 5/9 13/9 19/18 14/9 23/18 2 7/3 8/3 0
0 0 0 3/11 7/11 16/11 15/22 17/11 27/22 19/11 21/11 25/11 0
0 0 0 1/4 2/3 5/3 23/24 7/4 35/24 13/6 31/12 11/4 0
0 0 0 3/13 10/13 25/13 1 2 19/13 61/26 30/13 3 0
0 0 0 1/3 3/4 3/2 5/8 19/12 31/24 11/6 11/6 7/3 0
0 0 0 1/9 8/9 16/9 34/27 17/9 83/54 133/54 71/27 88/27 0
0 0 0 1/9 8/9 16/9 37/27 17/9 89/54 139/54 77/27 185/54 0
0 0 0 2/13 12/13 24/13 43/39 25/13 58/39 32/13 92/39 81/26 0
0 0 0 2/13 11/13 27/13 33/26 28/13 43/26 5/2 35/13 44/13 0
0 0 0 1/9 7/9 5/3 4/3 16/9 29/18 43/18 25/9 59/18 0
0 0 0 1/5 14/15 32/15 7/6 11/5 5/3 13/5 38/15 101/30 0
0 0 0 1/6 3/4 2 29/24 25/12 13/8 29/12 31/12 13/4 0
0 0 0 1/9 2/3 14/9 11/9 5/3 3/2 20/9 23/9 3 0
0 0 0 1/5 13/15 31/15 17/15 32/15 49/30 38/15 37/15 49/15 0
0 0 0 4/15 29/30 28/15 47/45 29/15 137/90 21/10 37/15 271/90 0
0 0 0 1/9 7/9 14/9 23/18 5/3 3/2 37/18 25/9 55/18 0
0 0 0 1/3 29/30 9/5 79/90 28/15 67/45 2 7/3 253/90 0
0 0 0 1/5 4/5 3/2 1 8/5 7/5 19/10 5/2 27/10 0
0 0 0 5/13 27/26 24/13 67/78 25/13 61/39 28/13 28/13 113/39 0
0 0 0 3/7 29/28 25/14 61/84 13/7 32/21 29/14 29/14 229/84 0
0 0 0 1/5 9/10 28/15 103/90 29/15 29/18 13/6 37/15 139/45 0
0 0 0 1/9 7/9 14/9 4/3 5/3 29/18 13/6 25/9 19/6 0
0 0 0 4/15 29/30 28/15 44/45 29/15 29/18 67/30 11/5 269/90 0
0 0 0 17/27 28/27 91/54 113/108 299/162 197/162 176/81 131/54 925/324 0
0 0 0 15/26 1 87/52 119/104 71/39 197/156 355/156 137/52 116/39 0
0 0 0 11/16 1 23/16 19/24 53/32 9/8 11/6 209/96 235/96 0
0 0 0 11/18 17/18 13/9 103/108 59/36 7/6 53/27 263/108 70/27 0
0 0 0 12/17 71/68 115/68 397/408 11/6 62/51 893/408 151/68 1129/408 0
0 0 0 7/9 37/36 25/18 25/36 19/12 7/6 395/216 209/108 127/54 0
0 0 0 1/2 8/9 2 7/6 37/18 49/36 9/4 5/2 3 0
0 0 0 5/13 10/13 22/13 33/26 23/13 35/26 57/26 35/13 77/26 0
0 0 0 7/12 5/6 17/12 19/24 3/2 7/6 19/12 23/12 53/24 0
0 0 0 5/11 8/11 15/11 1 16/11 13/11 19/11 25/11 26/11 0
0 0 0 10/17 16/17 37/17 20/17 38/17 49/34 5/2 42/17 107/34 0
0 0 0 7/10 9/10 7/5 7/10 3/2 5/4 33/20 17/10 43/20 0
0 0 0 5/12 2/3 2 29/24 25/12 11/8 7/3 5/2 3 0
0 0 0 4/11 7/11 18/11 27/22 19/11 29/22 24/11 28/11 31/11 0
0 0 0 4/9 5/9 11/9 13/18 4/3 19/18 13/9 5/3 17/9 0
0 0 0 5/11 7/11 16/11 23/22 17/11 29/22 21/11 26/11 27/11 0
0 0 0 1/2 11/14 15/7 17/14 31/14 10/7 71/28 5/2 22/7 0
0 0 0 5/9 2/3 11/9 2/3 4/3 10/9 3/2 14/9 17/9 0
0 0 0 6/13 25/26 21/13 14/13 22/13 37/26 47/26 30/13 71/26 0
0 0 0 2/9 7/9 13/9 23/18 14/9 25/18 11/6 8/3 17/6 0
0 0 0 7/12 23/24 3/2 23/24 19/12 17/12 5/3 13/6 61/24 0
0 0 0 1/3 7/9 4/3 10/9 13/9 4/3 5/3 22/9 23/9 0
0 0 0 2/3 19/18 14/9 8/9 5/3 3/2 11/6 17/9 23/9 0
0 0 0 7/9 19/18 13/9 7/9 14/9 3/2 31/18 16/9 43/18 0
0 0 0 4/5 9/10 11/10 23/30 5/4 11/10 83/60 49/30 109/60 0
0 0 0 10/13 12/13 16/13 79/78 35/26 33/26 131/78 82/39 86/39 0
0 0 0 9/11 10/11 12/11 23/33 27/22 25/22 17/12 49/33 59/33 0
0 0 0 7/10 4/5 6/5 4/5 13/10 6/5 7/5 17/10 39/20 0
0 0 0 7/11 9/11 14/11 23/22 15/11 29/22 37/22 24/11 25/11 0
0 0 0 7/9 8/9 11/9 13/18 4/3 23/18 3/2 14/9 35/18 0
0 0 0 5/9 2/3 11/9 7/9 4/3 7/6 13/9 5/3 17/9 0
0 0 0 8/13 10/13 19/13 15/13 20/13 3/2 51/26 32/13 33/13 0
0 0 0 2/3 7/9 11/9 13/18 4/3 11/9 3/2 14/9 17/9 0
0 0 0 7/11 19/22 14/11 10/11 15/11 15/11 16/11 21/11 49/22 0
0 0 0 1/2 4/5 6/5 21/20 13/10 27/20 31/20 11/5 23/10 0
0 0 0 7/9 17/18 11/9 13/18 4/3 25/18 3/2 14/9 37/18 0
0 0 0 4/19 20/19 39/19 101/114 211/114 143/114 91/38 131/57 56/19 0
0 0 0 3/19 1 2 55/57 199/114 143/114 46/19 137/57 56/19 0
0 0 0 5/13 14/13 24/13 7/13 22/13 16/13 55/26 53/26 67/26 0
0 0 0 2/7 1 25/14 19/28 11/7 17/14 15/7 61/28 18/7 0
0 0 0 3/11 47/44 45/22 53/66 125/66 85/66 161/66 13/6 193/66 0
0 0 0 7/16 35/32 29/16 47/96 27/16 41/32 103/48 61/32 247/96 0
0 0 0 2/9 17/18 19/9 17/18 23/12 49/36 83/36 41/18 53/18 0
0 0 0 1/7 6/7 13/7 27/28 43/28 5/4 61/28 31/14 19/7 0
0 0 0 5/14 13/14 25/14 17/28 23/14 9/7 27/14 27/14 69/28 0
0 0 0 1/4 5/6 19/12 2/3 4/3 7/6 11/6 23/12 9/4 0
0 0 0 5/17 1 37/17 15/17 2 49/34 83/34 37/17 3 0
0 0 0 3/7 1 25/14 15/28 23/14 19/14 2 25/14 69/28 0
0 0 0 3/13 10/13 2 23/26 23/13 35/26 29/13 27/13 36/13 0
0 0 0 1/6 3/4 7/4 7/8 17/12 29/24 25/12 2 5/2 0
0 0 0 1/3 3/4 19/12 13/24 17/12 29/24 7/4 5/3 13/6 0
0 0 0 5/16 13/16 2 27/32 27/16 47/32 37/16 39/16 43/16 0
0 0 0 4/15 13/15 31/15 13/15 28/15 7/5 71/30 31/15 43/15 0
0 0 0 5/13 11/13 21/13 1/2 19/13 33/26 24/13 21/13 29/13 0
0 0 0 1/7 1 2 83/84 139/84 113/84 67/28 89/42 81/28 0
0 0 0 2/15 1 2 19/18 29/18 25/18 73/30 101/45 44/15 0
0 0 0 3/17 1 2 95/102 89/51 70/51 124/51 104/51 295/102 0
0 0 0 3/17 16/17 37/17 18/17 65/34 3/2 83/34 39/17 105/34 0
0 0 0 1/7 13/14 27/14 29/28 43/28 39/28 65/28 31/14 20/7 0
0 0 0 2/9 1 20/9 1 2 14/9 23/9 20/9 113/36 0
0 0 0 1/5 13/15 32/15 1 28/15 3/2 12/5 11/5 3 0
0 0 0 2/13 11/13 24/13 25/26 19/13 35/26 29/13 27/13 35/13 0
0 0 0 2/9 17/18 13/6 35/36 35/18 55/36 5/2 13/6 55/18 0
0 0 0 5/17 35/34 33/17 47/51 61/34 149/102 71/34 38/17 146/51 0
0 0 0 1/6 11/12 7/4 25/24 35/24 11/8 49/24 7/3 11/4 0
0 0 0 3/8 33/32 15/8 73/96 7/4 35/24 2 17/8 259/96 0
0 0 0 1/4 11/12 5/3 5/6 17/12 4/3 23/12 13/6 5/2 0
0 0 0 3/7 31/28 27/14 61/84 25/14 32/21 15/7 27/14 58/21 0
0 0 0 7/15 11/10 28/15 11/18 26/15 67/45 31/15 28/15 47/18 0
0 0 0 2/9 35/36 35/18 53/54 7/4 163/108 77/36 13/6 311/108 0
0 0 0 2/13 12/13 23/13 27/26 37/26 37/26 55/26 29/13 36/13 0
0 0 0 5/17 35/34 33/17 5/6 30/17 157/102 75/34 33/17 287/102 0
0 0 0 15/26 14/13 101/52 105/104 70/39 191/156 89/39 9/4 17/6 0
0 0 0 15/28 29/28 107/56 123/112 143/84 209/168 7/3 135/56 481/168 0
0 0 0 10/13 14/13 20/13 2/3 19/13 15/13 137/78 11/6 175/78 0
0 0 0 11/17 1 27/17 91/102 24/17 20/17 197/102 13/6 122/51 0
0 0 0 21/31 67/62 119/62 349/372 337/186 115/93 857/372 129/62 515/186 0
0 0 0 13/15 11/10 22/15 17/30 7/5 6/5 317/180 143/90 97/45 0
