0 0 0 1/23 4/23 8/23 16/23 8/23 16/23 17/23 61/46 61/46 56/23 96/23 0
0 0 0 1/18 1/6 1/3 11/18 1/3 7/9 7/9 47/36 7/6 20/9 67/18 0
0 0 0 1/11 1/11 2/11 4/11 2/11 8/11 13/22 9/11 1 15/11 25/11 0
0 0 0 1/11 1/11 2/11 4/11 2/11 9/11 43/66 29/33 12/11 49/33 26/11 0
0 0 0 1/18 1/6 1/3 7/9 1/3 11/18 13/18 10/9 5/4 19/9 32/9 0
0 0 0 1/14 1/7 2/7 9/14 2/7 9/14 5/7 1 1 12/7 39/14 0
0 0 0 1/11 1/11 2/11 5/11 2/11 7/11 13/22 17/22 10/11 14/11 23/11 0
0 0 0 1/11 1/11 2/11 5/11 2/11 8/11 43/66 5/6 1 46/33 24/11 0
0 0 0 1/11 1/11 2/11 8/11 2/11 4/11 5/11 19/22 15/22 12/11 41/22 0
0 0 0 1/11 1/11 2/11 7/11 2/11 5/11 6/11 19/22 8/11 13/11 43/22 0
0 0 0 1/12 1/12 1/6 7/12 1/6 7/12 7/12 5/6 5/6 7/6 47/24 0
0 0 0 1/11 1/11 2/11 6/11 2/11 8/11 23/33 61/66 1 46/33 24/11 0
0 0 0 1/11 1/11 2/11 9/11 2/11 4/11 5/11 59/66 15/22 12/11 39/22 0
0 0 0 1/11 1/11 2/11 8/11 2/11 5/11 6/11 59/66 8/11 13/11 41/22 0
0 0 0 1/11 1/11 2/11 8/11 2/11 6/11 13/22 59/66 9/11 13/11 41/22 0
0 0 0 1/11 1/11 2/11 7/11 2/11 7/11 43/66 10/11 10/11 43/33 2 0
0 0 0 1/17 4/17 8/17 13/17 8/17 13/17 21/17 29/17 22/17 48/17 76/17 0
0 0 0 1/15 1/5 2/5 11/15 2/5 2/3 17/15 7/5 17/15 7/3 18/5 0
0 0 0 1/13 2/13 4/13 9/13 4/13 7/13 1 33/26 12/13 25/13 77/26 0
0 0 0 1/13 2/13 4/13 10/13 4/13 7/13 1 101/78 12/13 25/13 75/26 0
0 0 0 1/18 2/9 1/2 5/6 1/2 5/6 10/9 10/9 29/18 23/9 73/18 0
0 0 0 1/17 3/17 8/17 14/17 7/17 14/17 18/17 1 23/17 37/17 57/17 0
0 0 0 1/16 1/8 7/16 13/16 5/16 7/8 31/32 27/32 21/16 15/8 47/16 0
0 0 0 1/17 2/17 8/17 15/17 5/17 33/34 103/102 91/102 47/34 100/51 3 0
0 0 0 1/20 1/5 11/20 19/20 9/20 4/5 51/40 13/10 27/20 5/2 151/40 0
