0 0 0 3/17 3/17 6/17 14/17 23/34 19/17 33/34 49/34 47/34 40/17 0
0 0 0 4/19 4/19 8/19 14/19 31/38 51/38 41/38 65/38 29/19 52/19 0
0 0 0 4/19 4/19 8/19 10/19 16/19 24/19 21/19 63/38 30/19 49/19 0
0 0 0 4/19 4/19 8/19 14/19 31/38 51/38 53/38 53/38 29/19 52/19 0
0 0 0 3/13 3/13 6/13 17/26 47/52 81/52 81/52 7/4 21/13 40/13 0
0 0 0 5/22 5/22 5/11 1/2 10/11 31/22 31/22 79/44 18/11 31/11 0
0 0 0 4/19 4/19 8/19 10/19 16/19 24/19 59/38 23/19 30/19 49/19 0
0 0 0 5/22 5/22 5/11 1/2 10/11 31/22 7/4 16/11 18/11 31/11 0
0 0 0 3/13 3/13 6/13 1/2 12/13 17/13 41/26 21/13 43/26 67/26 0
0 0 0 1/7 1/7 3/7 20/21 95/126 281/252 137/126 19/14 181/126 151/63 0
0 0 0 2/13 2/13 6/13 23/26 32/39 407/312 17/12 69/52 119/78 211/78 0
0 0 0 2/13 2/13 6/13 9/13 11/13 16/13 163/104 15/13 41/26 133/52 0
0 0 0 1/6 1/6 1/3 8/9 77/108 227/216 29/36 161/108 145/108 121/54 0
0 0 0 2/11 2/11 4/11 9/11 26/33 329/264 39/44 227/132 95/66 169/66 0
0 0 0 2/11 2/11 4/11 7/11 9/11 13/11 10/11 149/88 3/2 107/44 0
0 0 0 3/26 3/26 9/26 25/26 217/312 77/78 131/156 209/156 101/78 167/78 0
0 0 0 1/7 3/7 5/7 3/7 3/8 10/7 11/7 9/7 10/7 19/7 0
0 0 0 5/26 11/26 19/26 11/26 27/52 81/52 3/2 21/13 77/52 38/13 0
0 0 0 4/25 12/25 18/25 6/25 12/25 37/25 37/25 8/5 37/25 68/25 0
0 0 0 5/26 11/26 19/26 11/26 27/52 79/52 49/26 15/13 75/52 37/13 0
0 0 0 7/29 12/29 21/29 12/29 39/58 46/29 53/29 44/29 83/58 85/29 0
0 0 0 5/23 10/23 16/23 6/23 15/23 32/23 38/23 71/46 32/23 59/23 0
0 0 0 4/25 12/25 18/25 6/25 12/25 36/25 51/25 24/25 36/25 66/25 0
0 0 0 5/23 10/23 16/23 6/23 15/23 32/23 91/46 28/23 32/23 59/23 0
0 0 0 2/9 4/9 19/27 7/27 2/3 35/27 49/27 37/27 38/27 7/3 0
0 0 0 3/16 3/16 5/8 7/8 3/4 19/16 21/16 5/4 47/32 5/2 0
0 0 0 4/19 4/19 13/19 15/19 16/19 53/38 32/19 23/19 30/19 54/19 0
0 0 0 4/19 4/19 13/19 10/19 16/19 24/19 69/38 18/19 30/19 49/19 0
0 0 0 1/4 11/28 53/56 3/7 2/3 127/84 29/14 187/168 233/168 59/21 0
0 0 0 11/40 7/16 9/10 2/5 83/120 383/240 41/20 167/120 323/240 691/240 0
0 0 0 6/25 11/25 19/25 7/25 33/50 34/25 43/25 77/50 33/25 62/25 0
0 0 0 5/23 10/23 21/23 6/23 29/46 31/23 99/46 43/46 31/23 57/23 0
0 0 0 7/29 13/29 26/29 8/29 19/29 41/29 129/58 69/58 38/29 74/29 0
0 0 0 7/29 13/29 22/29 8/29 39/58 37/29 54/29 40/29 39/29 66/29 0
0 0 0 3/13 3/13 47/52 103/156 67/78 229/156 2 85/78 119/78 113/39 0
0 0 0 5/22 5/22 19/22 21/44 19/22 29/22 91/44 10/11 17/11 29/11 0
0 0 0 5/23 10/23 1 6/23 85/138 28/23 97/46 127/138 91/69 51/23 0
0 0 0 6/25 11/25 1 7/25 47/75 6/5 21/10 151/150 94/75 54/25 0
0 0 0 9/34 8/17 57/68 5/17 133/204 77/68 31/17 247/204 257/204 33/17 0
0 0 0 5/22 5/22 41/44 61/132 5/6 51/44 87/44 29/33 49/33 51/22 0
0 0 0 1/6 1/3 1/2 7/6 20/27 257/216 61/54 4/3 151/108 65/27 0
0 0 0 2/11 4/11 6/11 12/11 107/132 371/264 50/33 14/11 49/33 181/66 0
0 0 0 2/11 4/11 6/11 9/11 9/11 14/11 147/88 1 3/2 109/44 0
0 0 0 3/20 3/10 9/20 23/20 57/80 87/80 29/30 13/10 13/10 133/60 0
0 0 0 3/20 13/20 7/10 1/2 3/10 27/20 31/20 1 49/40 12/5 0
0 0 0 2/11 15/22 8/11 5/11 4/11 17/11 21/11 21/22 14/11 59/22 0
0 0 0 4/23 16/23 17/23 6/23 8/23 34/23 48/23 18/23 30/23 58/23 0
0 0 0 3/19 9/19 13/19 1 12/19 25/19 27/19 22/19 53/38 48/19 0
0 0 0 4/23 12/23 17/23 21/23 16/23 71/46 42/23 25/23 34/23 66/23 0
0 0 0 4/23 12/23 17/23 14/23 16/23 32/23 91/46 18/23 34/23 59/23 0
0 0 0 7/27 19/27 17/18 4/9 40/81 125/81 56/27 70/81 181/162 208/81 0
0 0 0 1/3 11/16 11/12 1/2 89/144 223/144 2 155/144 10/9 371/144 0
0 0 0 5/22 15/22 10/11 3/11 5/11 15/11 95/44 8/11 25/22 25/11 0
0 0 0 5/18 2/3 8/9 1/3 5/9 4/3 19/9 17/18 10/9 20/9 0
0 0 0 7/33 19/33 61/66 49/66 137/198 158/99 68/33 185/198 265/198 280/99 0
0 0 0 5/26 7/13 23/26 29/52 37/52 37/26 113/52 3/4 37/26 67/26 0
0 0 0 6/25 18/25 1 7/25 34/75 6/5 21/10 107/150 16/15 47/25 0
0 0 0 2/7 5/7 1 1/3 34/63 25/21 44/21 113/126 19/18 13/7 0
