0 0 3/20 0 17/20 3/10 91/80 49/120 151/120 14/15 97/60 13/5 0
0 0 1/5 0 11/15 2/5 17/15 31/90 121/90 17/18 73/45 13/5 0
0 0 2/9 0 13/18 4/9 23/18 10/27 175/108 28/27 91/54 17/6 0
0 0 2/9 0 13/18 4/9 7/6 41/108 95/54 113/108 46/27 47/18 0
0 0 1/5 0 11/15 2/5 17/15 11/18 97/90 17/18 73/45 13/5 0
0 0 3/14 0 4/7 3/7 29/28 43/84 13/12 67/84 61/42 33/14 0
0 0 4/15 0 3/5 8/15 7/6 23/45 127/90 44/45 14/9 13/5 0
0 0 4/15 0 3/5 8/15 16/15 47/90 139/90 89/90 71/45 12/5 0
0 0 2/9 0 13/18 4/9 23/18 97/108 59/54 28/27 91/54 17/6 0
0 0 4/15 0 3/5 8/15 7/6 73/90 10/9 44/45 14/9 13/5 0
0 0 3/10 0 13/20 3/5 53/40 53/60 23/15 13/12 97/60 57/20 0
0 0 5/17 0 11/17 10/17 20/17 77/102 175/102 55/51 83/51 44/17 0
0 0 2/9 0 13/18 4/9 7/6 28/27 119/108 113/108 46/27 47/18 0
0 0 4/15 0 3/5 8/15 16/15 17/18 101/90 89/90 71/45 12/5 0
0 0 5/17 0 11/17 10/17 20/17 109/102 143/102 55/51 83/51 44/17 0
0 0 3/10 0 13/20 3/5 11/10 11/12 47/30 133/120 5/3 12/5 0
0 0 3/17 0 1 15/34 73/68 15/34 20/17 33/34 53/34 42/17 0
0 0 1/5 0 14/15 1/2 17/15 17/30 17/15 1 49/30 13/5 0
0 0 2/9 0 17/18 5/9 47/36 8/9 7/6 10/9 31/18 26/9 0
0 0 2/9 0 17/18 5/9 7/6 37/36 7/6 10/9 31/18 47/18 0
0 0 3/17 0 1 15/34 73/68 3/17 49/34 33/34 53/34 42/17 0
0 0 1/5 0 14/15 1/2 17/15 1/5 3/2 1 49/30 13/5 0
0 0 2/9 0 17/18 5/9 47/36 2/9 11/6 10/9 31/18 26/9 0
0 0 2/9 0 17/18 5/9 7/6 2/9 71/36 10/9 31/18 47/18 0
0 0 3/20 0 1 1/2 15/16 9/40 49/40 37/40 7/5 131/60 0
