0 0 0 4/13 4/13 7/13 5/13 1 15/13 15/13 0
0 0 0 2/9 2/9 4/9 1/3 10/9 7/9 8/9 0
0 0 0 1/7 1/7 4/7 3/7 8/7 5/7 5/7 0
0 0 0 2/5 2/5 1/2 3/5 4/5 4/5 1 0
0 0 0 1/3 1/3 4/9 5/9 8/9 2/3 8/9 0
0 0 0 2/9 1/3 5/9 2/3 1 2/3 7/9 0
0 0 1/4 0 7/12 1/4 1/3 2/3 4/3 25/24 0
0 0 2/9 0 4/9 2/9 1/3 7/9 8/9 7/9 0
0 0 1/3 0 4/9 1/3 5/9 7/9 8/9 2/3 0
0 0 1/7 0 5/7 1/7 3/7 3/7 6/7 11/14 0
0 0 1/7 0 4/7 1/7 3/7 4/7 5/7 5/7 0
0 0 2/9 0 5/9 1/3 2/3 7/9 7/9 2/3 0
