0 0 0 25/53 13/53 60/53 21/53 203/318 246/265 4703/3180 1306/795 337/159 3163/1590 8873/3180 0
0 0 0 10/21 5/21 22/21 9/28 17/28 181/210 827/630 971/630 13/6 2353/1260 277/105 0
0 0 0 1/2 11/48 9/8 19/48 173/288 329/360 4343/2880 799/480 595/288 2983/1440 4019/1440 0
0 0 0 19/39 3/13 40/39 25/78 23/39 77/90 782/585 1847/1170 19/9 2293/1170 119/45 0
0 0 0 1/2 15/64 149/128 23/64 233/384 409/480 5293/3840 2053/1280 827/384 3343/1920 3421/1280 0
0 0 0 25/49 11/49 107/98 29/98 4/7 1171/1470 907/735 4489/2940 109/49 2413/1470 1882/735 0
0 0 0 11/24 7/24 33/32 13/24 217/288 557/480 149/90 869/480 295/144 583/240 4219/1440 0
0 0 0 19/45 14/45 91/90 43/90 211/270 1501/1350 2099/1350 1201/675 289/135 2117/900 3839/1350 0
0 0 0 16/39 11/39 1 9/26 2/3 57/65 1589/1170 1777/1170 535/234 2113/1170 331/130 0
0 0 0 16/39 11/39 37/39 9/26 17/26 77/90 1619/1170 1817/1170 29/13 2233/1170 2959/1170 0
0 0 0 19/44 3/11 23/22 29/88 57/88 101/120 431/330 4109/2640 157/66 2173/1320 1123/440 0
0 0 0 4/11 19/55 113/110 51/110 133/165 1139/1100 2599/1650 457/275 249/110 7261/3300 2122/825 0
0 0 0 19/42 2/7 43/42 10/21 197/252 239/252 101/72 211/126 515/252 241/126 1381/504 0
0 0 0 15/32 9/32 7/8 25/64 49/64 27/32 55/48 145/96 129/64 323/192 59/24 0
0 0 0 20/43 11/43 42/43 21/43 221/258 245/258 767/516 467/258 262/129 274/129 17/6 0
0 0 0 16/37 10/37 31/37 31/74 35/37 33/37 143/111 196/111 153/74 223/111 8/3 0
0 0 0 1/2 7/26 113/104 11/26 227/312 269/312 271/208 1019/624 82/39 64/39 545/208 0
0 0 0 10/19 5/19 73/76 27/76 27/38 59/76 41/38 689/456 161/76 329/228 137/57 0
0 0 0 17/40 7/20 71/80 7/10 259/240 313/240 69/40 497/240 167/80 213/80 251/80 0
0 0 0 3/8 3/8 69/80 49/80 277/240 59/48 127/80 491/240 35/16 407/160 241/80 0
0 0 0 13/31 10/31 27/31 25/62 25/31 53/62 223/186 275/186 133/62 151/93 439/186 0
0 0 0 8/21 13/42 17/21 5/12 85/84 73/84 337/252 110/63 31/14 71/36 643/252 0
0 0 0 16/35 11/35 33/35 27/70 11/14 29/35 122/105 649/420 16/7 22/15 101/42 0
0 0 0 19/54 7/18 101/108 59/108 181/162 89/81 515/324 305/162 7/3 1517/648 73/27 0
0 0 0 6/17 5/17 27/34 19/34 63/68 75/68 91/68 57/34 129/68 2 369/136 0
0 0 0 10/29 8/29 21/29 25/58 55/58 28/29 32/29 89/58 113/58 51/29 143/58 0
0 0 0 12/31 8/31 23/31 19/31 65/62 36/31 91/62 59/31 59/31 72/31 90/31 0
0 0 0 1/3 4/15 7/10 29/60 7/6 21/20 19/15 28/15 41/20 43/20 11/4 0
0 0 0 16/39 1/3 67/78 28/39 259/234 155/117 133/78 241/117 161/78 69/26 122/39 0
0 0 0 7/20 7/20 67/80 49/80 289/240 149/120 31/20 61/30 35/16 403/160 3 0
0 0 0 10/31 9/31 24/31 25/62 29/31 28/31 35/31 89/62 127/62 50/31 141/62 0
0 0 0 11/35 2/7 26/35 31/70 83/70 67/70 9/7 62/35 153/70 139/70 177/70 0
0 0 0 17/53 19/53 99/106 57/106 62/53 176/159 247/159 295/159 739/318 1457/636 141/53 0
0 0 0 7/18 5/18 7/9 29/36 101/72 13/9 41/24 43/18 9/4 11/4 41/12 0
0 0 0 14/43 13/43 32/43 63/86 82/43 131/86 69/43 239/86 237/86 249/86 319/86 0
0 0 0 21/52 9/26 95/104 38/39 157/104 5/3 213/104 205/78 773/312 339/104 589/156 0
0 0 0 21/61 22/61 107/122 325/366 225/122 308/183 117/61 1045/366 1025/366 799/244 715/183 0
0 0 0 15/52 15/52 3/4 67/104 24/13 211/156 119/78 133/52 11/4 811/312 173/52 0
0 0 0 24/79 27/79 145/158 355/474 809/474 689/474 425/237 599/237 218/79 2725/948 1607/474 0
0 0 0 9/35 1/5 10/7 29/70 53/105 589/700 443/300 1537/1050 218/105 3841/2100 1091/420 0
