0 0 2/13 0 1/13 7/13 14/13 4/13 8/13 21/13 1 0
0 0 1/10 0 1/10 2/5 1 3/10 7/10 11/10 1 0
0 0 3/14 0 1/14 9/14 9/7 5/14 6/7 13/7 13/14 0
0 0 3/14 0 1/14 1/2 9/7 9/28 13/14 10/7 6/7 0
0 0 1/6 0 1/12 1/2 13/12 1/3 11/12 13/12 5/4 0
0 0 5/17 0 1/17 10/17 23/17 11/34 35/34 23/17 1 0
0 0 3/10 0 1/5 2/5 4/5 1/5 1/2 6/5 7/10 0
0 0 3/10 0 3/10 2/5 1 1/5 7/10 1 7/10 0
0 0 2/5 0 1/5 1/2 1 3/10 4/5 3/2 7/10 0
0 0 5/13 0 3/13 6/13 16/13 7/26 12/13 17/13 9/13 0
0 0 3/10 0 1/5 2/5 9/10 3/10 4/5 4/5 1 0
0 0 3/7 0 1/7 1/2 17/14 9/28 27/28 8/7 6/7 0
0 0 2/5 0 2/5 3/5 9/10 1/5 7/10 13/10 7/10 0
0 0 1/2 0 5/8 3/4 9/8 1/8 7/8 9/8 1/2 0
0 0 1/2 0 2/5 7/10 11/10 3/10 1 8/5 7/10 0
0 0 5/9 0 5/9 7/9 11/9 2/9 10/9 13/9 5/9 0
0 0 4/9 0 4/9 2/3 1 2/9 8/9 8/9 7/9 0
0 0 6/11 0 4/11 8/11 13/11 3/11 23/22 13/11 8/11 0
0 0 1/6 0 1/12 5/12 5/6 1/2 5/12 17/12 7/6 0
0 0 1/8 0 1/8 3/8 7/8 1/2 1/2 7/8 9/8 0
0 0 1/8 0 1/8 3/8 3/4 5/8 5/8 3/4 11/8 0
0 0 3/11 0 2/11 4/11 8/11 4/11 4/11 13/11 10/11 0
0 0 1/3 0 1/3 4/9 1 1/3 5/9 8/9 7/9 0
0 0 1/4 0 1/4 3/8 3/4 1/2 5/8 5/8 9/8 0
0 0 4/11 0 4/11 6/11 9/11 4/11 6/11 14/11 10/11 0
0 0 1/2 0 5/8 3/4 9/8 1/4 3/4 1 5/8 0
0 0 3/8 0 1/2 5/8 7/8 3/8 3/4 3/4 7/8 0
0 0 1/9 0 1/3 2/9 4/9 1/3 7/9 11/9 1 0
0 0 1/6 0 1/2 1/4 3/4 5/12 13/12 13/12 13/12 0
0 0 1/8 0 3/8 1/4 1/2 1/2 9/8 3/2 9/8 0
0 0 2/13 0 6/13 3/13 10/13 1/2 16/13 16/13 15/13 0
0 0 1/10 0 2/5 1/5 3/5 1/2 11/10 4/5 13/10 0
0 0 1/11 0 4/11 2/11 7/11 13/22 14/11 1 15/11 0
0 0 2/9 0 5/9 4/9 5/9 1/3 1 4/3 1 0
0 0 1/3 0 7/9 5/9 7/9 1/3 11/9 11/9 8/9 0
0 0 1/4 0 5/8 1/2 5/8 1/2 11/8 13/8 9/8 0
0 0 1/3 0 7/9 5/9 7/9 4/9 13/9 13/9 1 0
0 0 1/4 0 5/8 1/2 5/8 3/8 9/8 7/8 1 0
0 0 1/4 0 5/8 1/2 5/8 1/2 11/8 9/8 9/8 0
0 0 1/10 0 3/10 1/5 2/5 1/2 3/5 6/5 6/5 0
0 0 2/11 0 6/11 3/11 8/11 6/11 1 1 13/11 0
0 0 1/9 0 4/9 2/9 5/9 2/3 1 2/3 13/9 0
0 0 1/5 0 1/2 2/5 1/2 1/2 4/5 13/10 6/5 0
0 0 1/3 0 7/9 5/9 7/9 4/9 10/9 10/9 1 0
0 0 1/4 0 5/8 1/2 5/8 1/2 1 3/4 9/8 0
0 0 1/9 0 5/9 7/18 1/3 7/18 19/18 11/9 10/9 0
0 0 1/8 0 3/4 7/16 3/8 7/16 21/16 9/8 9/8 0
0 0 1/8 0 5/8 7/16 3/8 9/16 23/16 3/2 5/4 0
0 0 1/8 0 3/4 7/16 3/8 9/16 25/16 11/8 5/4 0
0 0 1/8 0 5/8 7/16 3/8 7/16 19/16 7/8 9/8 0
0 0 1/8 0 5/8 7/16 3/8 9/16 23/16 9/8 5/4 0
0 0 1/10 0 1/2 7/20 3/10 11/20 17/20 6/5 13/10 0
0 0 1/8 0 3/4 7/16 3/8 9/16 19/16 1 5/4 0
0 0 1/8 0 5/8 7/16 3/8 9/16 17/16 3/4 5/4 0
