0 0 8/35 16/35 0 81/35 57/20 89/84 113/60 257/84 797/210 25/12 461/105 0
0 0 3/13 11/26 0 19/13 27/13 27/26 73/52 57/26 79/26 103/52 89/26 0
0 0 5/23 9/23 0 57/23 269/92 247/276 503/276 883/276 509/138 569/276 1199/276 0
0 0 4/19 7/19 0 29/19 39/19 17/19 47/38 42/19 53/19 36/19 121/38 0
0 0 5/24 11/24 0 25/12 119/48 19/18 35/18 107/36 283/72 143/72 151/36 0
0 0 5/24 11/24 0 5/3 103/48 13/12 13/8 5/2 85/24 47/24 29/8 0
0 0 4/19 7/19 0 39/19 91/38 49/57 199/114 166/57 202/57 205/114 218/57 0
0 0 5/24 5/12 0 23/12 37/16 35/36 223/144 199/72 65/18 33/16 263/72 0
0 0 7/23 10/23 0 75/46 343/138 145/138 81/46 8/3 84/23 245/138 95/24 0
0 0 9/31 13/31 0 38/31 131/62 65/62 269/186 409/186 302/93 55/31 635/186 0
0 0 13/45 7/15 0 77/45 659/270 148/135 19/10 383/135 59/15 254/135 556/135 0
0 0 5/19 9/19 0 3/2 9/4 43/38 98/57 293/114 214/57 73/38 433/114 0
0 0 11/37 15/37 0 89/37 1313/444 449/444 787/444 1409/444 793/222 895/444 478/111 0
0 0 7/25 2/5 0 36/25 103/50 26/25 31/25 111/50 68/25 2 82/25 0
0 0 3/10 11/30 0 37/15 1067/360 67/72 631/360 1163/360 637/180 721/360 1543/360 0
0 0 3/11 4/11 0 16/11 89/44 21/22 13/11 97/44 29/11 85/44 139/44 0
0 0 11/28 5/14 0 11/7 69/28 155/168 45/28 1727/672 559/168 67/42 2467/672 0
0 0 4/11 4/11 0 37/33 2 21/22 247/198 91/44 281/99 109/66 34/11 0
0 0 7/29 13/29 0 42/29 61/29 32/29 42/29 64/29 89/29 119/58 99/29 0
0 0 5/22 9/22 0 3/2 23/11 1 29/22 49/22 63/22 2 141/44 0
0 0 8/31 14/31 0 48/31 65/31 35/31 51/31 149/62 108/31 125/62 108/31 0
0 0 9/34 7/17 0 30/17 38/17 209/204 337/204 271/102 371/102 291/136 365/102 0
0 0 8/29 13/29 0 37/29 119/58 65/58 127/87 373/174 269/87 55/29 569/174 0
0 0 11/40 19/40 0 3/2 43/20 47/40 26/15 119/48 217/60 161/80 433/120 0
0 0 2/7 3/7 0 10/7 117/56 31/28 73/56 125/56 39/14 29/14 23/7 0
0 0 7/25 2/5 0 36/25 103/50 26/25 63/50 111/50 68/25 101/50 159/50 0
0 0 1/3 2/5 0 6/5 59/30 21/20 23/18 743/360 49/18 109/60 271/90 0
0 0 3/17 7/17 0 75/34 363/136 52/51 703/408 1129/408 709/204 781/408 543/136 0
0 0 5/27 10/27 0 40/27 2 161/162 211/162 55/27 461/162 295/162 256/81 0
0 0 1/7 1/3 0 50/21 229/84 53/63 403/252 715/252 409/126 463/252 80/21 0
0 0 3/19 6/19 0 30/19 2 49/57 127/114 39/19 293/114 98/57 329/114 0
0 0 2/19 8/19 0 37/19 85/38 121/114 97/57 145/57 197/57 100/57 69/19 0
0 0 3/22 9/22 0 18/11 89/44 35/33 17/12 49/22 419/132 58/33 425/132 0
0 0 1/13 4/13 0 25/13 55/26 32/39 107/78 94/39 110/39 113/78 3 0
0 0 2/19 7/19 0 33/19 77/38 109/114 67/57 130/57 109/38 193/114 111/38 0
0 0 7/32 13/32 0 79/32 1133/384 205/192 655/384 1193/384 661/192 769/384 1609/384 0
0 0 5/22 9/22 0 35/22 95/44 49/44 27/22 25/11 30/11 89/44 145/44 0
0 0 1/5 9/25 0 64/25 887/300 74/75 499/300 947/300 101/30 119/60 62/15 0
0 0 4/19 7/19 0 31/19 81/38 39/38 22/19 43/19 50/19 37/19 60/19 0
0 0 6/31 12/31 0 45/31 2 97/93 497/372 63/31 265/93 349/186 581/186 0
0 0 4/23 8/23 0 35/23 2 131/138 329/276 47/23 181/69 125/69 199/69 0
0 0 1/6 2/5 0 23/15 59/30 67/60 527/360 98/45 283/90 28/15 283/90 0
0 0 1/7 5/14 0 11/7 27/14 173/168 433/336 367/168 81/28 29/16 81/28 0
0 0 6/25 11/25 0 39/25 109/50 59/50 13/10 57/25 14/5 21/10 33/10 0
0 0 5/22 9/22 0 35/22 95/44 49/44 5/4 25/11 30/11 45/22 35/11 0
0 0 1/13 3/13 0 22/13 49/26 55/78 43/39 161/78 89/39 95/78 131/52 0
0 0 1/8 1/4 0 11/8 55/32 149/192 7/8 57/32 209/96 4/3 109/48 0
0 0 1/13 4/13 0 25/13 55/26 131/156 4/3 94/39 107/39 55/39 38/13 0
0 0 1/11 4/11 0 20/11 91/44 89/88 37/33 619/264 63/22 115/66 32/11 0
0 0 1/6 5/18 0 37/18 253/108 97/108 35/27 283/108 143/54 167/108 697/216 0
0 0 3/17 5/17 0 24/17 31/17 11/12 95/102 67/34 38/17 80/51 87/34 0
0 0 1/7 2/7 0 4/3 73/42 73/84 83/84 25/14 142/63 31/21 293/126 0
0 0 4/33 1/3 0 53/33 21/11 37/36 479/396 863/396 185/66 707/396 185/66 0
0 0 4/21 1/3 0 29/21 13/7 251/252 131/126 83/42 7/3 106/63 109/42 0
0 0 5/12 5/12 0 53/24 61/24 8/9 119/72 205/72 241/72 125/72 281/72 0
0 0 7/16 3/8 0 19/16 25/16 13/16 17/16 7/4 37/16 25/16 43/16 0
0 0 7/18 1/3 0 20/9 5/2 20/27 169/108 77/27 86/27 181/108 203/54 0
0 0 5/13 4/13 0 16/13 20/13 9/13 25/26 23/13 28/13 3/2 33/13 0
0 0 4/11 9/22 0 45/22 25/11 119/132 58/33 371/132 235/66 113/66 251/66 0
0 0 7/19 8/19 0 30/19 35/19 35/38 28/19 87/38 60/19 32/19 61/19 0
0 0 7/19 6/19 0 37/19 41/19 83/114 181/114 305/114 184/57 175/114 197/57 0
0 0 4/11 4/11 0 41/22 23/11 107/132 193/132 31/12 112/33 81/44 221/66 0
0 0 4/9 4/9 0 49/27 59/27 76/81 3/2 70/27 83/27 128/81 32/9 0
0 0 8/17 7/17 0 18/17 25/17 15/17 52/51 89/51 116/51 25/17 133/51 0
0 0 13/32 15/32 0 15/8 35/16 191/192 109/64 11/4 111/32 41/24 15/4 0
0 0 2/5 12/25 0 38/25 46/25 51/50 112/75 176/75 239/75 43/25 247/75 0
0 0 1/2 5/13 0 31/13 73/26 35/39 64/39 241/78 259/78 137/78 157/39 0
0 0 1/2 3/8 0 19/16 13/8 7/8 31/32 59/32 17/8 53/32 43/16 0
0 0 11/23 8/23 0 55/23 64/23 58/69 223/138 214/69 226/69 241/138 275/69 0
0 0 7/15 1/3 0 6/5 8/5 4/5 14/15 11/6 31/15 8/5 13/5 0
0 0 19/34 6/17 0 30/17 77/34 41/51 281/204 341/136 48/17 143/102 225/68 0
0 0 11/20 7/20 0 19/20 29/20 4/5 53/60 131/80 119/60 11/8 19/8 0
