0 0 0 4/11 9/11 13/11 18/11 16/11 23/11 32/11 39/11 0
0 0 0 3/10 7/10 1 3/2 13/10 19/10 27/10 31/10 0
0 0 0 4/11 9/11 13/11 18/11 19/11 26/11 35/11 37/11 0
0 0 0 3/10 4/5 11/10 3/2 8/5 2 27/10 33/10 0
0 0 0 2/9 2/3 8/9 4/3 13/9 16/9 22/9 25/9 0
0 0 0 3/10 4/5 11/10 3/2 19/10 23/10 3 31/10 0
0 0 0 1/5 4/5 1 13/10 17/10 2 12/5 3 0
0 0 0 1/8 5/8 3/4 9/8 3/2 7/4 17/8 19/8 0
0 0 0 2/9 7/9 1 4/3 2 7/3 25/9 25/9 0
0 0 0 3/10 7/10 1 7/5 17/10 19/10 5/2 31/10 0
0 0 0 2/9 5/9 7/9 11/9 14/9 5/3 20/9 23/9 0
0 0 0 3/10 7/10 1 7/5 2 11/5 14/5 29/10 0
0 0 0 1/5 7/10 9/10 6/5 9/5 19/10 11/5 14/5 0
0 0 0 1/8 1/2 5/8 1 13/8 13/8 15/8 17/8 0
0 0 0 2/9 2/3 8/9 11/9 19/9 20/9 23/9 23/9 0
0 0 0 3/13 8/13 11/13 16/13 30/13 57/26 28/13 73/26 0
0 0 0 1/5 1/2 7/10 6/5 12/5 11/5 21/10 5/2 0
0 0 0 3/10 7/10 1 7/5 27/10 27/10 14/5 29/10 0
0 0 0 5/12 11/12 4/3 2 5/3 7/3 19/6 25/6 0
0 0 0 4/11 10/11 14/11 21/11 20/11 25/11 3 4 0
0 0 0 1/4 11/12 7/6 7/4 23/12 9/4 8/3 15/4 0
0 0 0 4/11 9/11 13/11 20/11 21/11 24/11 31/11 42/11 0
0 0 0 1/4 5/6 13/12 5/3 2 13/6 5/2 43/12 0
0 0 0 4/17 11/17 15/17 26/17 42/17 77/34 36/17 111/34 0
0 0 0 5/8 11/8 5/4 11/8 7/8 7/4 11/4 3 0
0 0 0 5/9 11/9 1 11/9 8/9 5/3 23/9 23/9 0
0 0 0 5/8 11/8 5/4 11/8 5/4 17/8 25/8 23/8 0
0 0 0 1/2 5/4 9/8 5/4 1 13/8 5/2 11/4 0
0 0 0 4/9 10/9 8/9 10/9 1 14/9 7/3 7/3 0
0 0 0 1/2 5/4 9/8 5/4 11/8 2 23/8 21/8 0
0 0 0 1/3 10/9 1 10/9 11/9 5/3 20/9 23/9 0
0 0 0 1/3 1 7/9 1 10/9 14/9 19/9 19/9 0
0 0 0 3/8 9/8 1 9/8 3/2 2 21/8 19/8 0
0 0 0 1/2 9/8 1 9/8 9/8 3/2 9/4 5/2 0
0 0 0 4/9 1 7/9 1 10/9 13/9 19/9 19/9 0
0 0 0 1/2 9/8 1 9/8 3/2 15/8 21/8 19/8 0
0 0 0 1/3 1 8/9 1 4/3 14/9 2 7/3 0
0 0 0 1/3 8/9 2/3 8/9 11/9 13/9 17/9 17/9 0
0 0 0 3/8 1 7/8 1 13/8 15/8 19/8 17/8 0
0 0 0 5/12 1 5/6 1 7/4 43/24 23/12 55/24 0
0 0 0 5/11 1 8/11 1 19/11 20/11 2 23/11 0
0 0 0 1/2 9/8 1 9/8 2 9/4 21/8 19/8 0
0 0 0 3/4 13/8 3/2 7/4 1 2 25/8 29/8 0
0 0 0 5/8 3/2 11/8 13/8 9/8 15/8 23/8 27/8 0
0 0 0 2/5 13/10 6/5 3/2 7/5 19/10 5/2 16/5 0
0 0 0 5/8 11/8 5/4 3/2 5/4 7/4 21/8 25/8 0
0 0 0 2/5 6/5 11/10 7/5 3/2 9/5 23/10 3 0
0 0 0 2/5 1 13/15 19/15 2 19/10 28/15 27/10 0
0 0 0 3/4 13/8 11/8 5/4 3/4 7/4 23/8 23/8 0
0 0 0 3/4 13/8 5/4 9/8 5/8 13/8 11/4 5/2 0
0 0 0 3/4 13/8 11/8 5/4 1 2 25/8 11/4 0
0 0 0 5/8 3/2 5/4 9/8 7/8 13/8 21/8 21/8 0
0 0 0 5/8 3/2 9/8 1 3/4 3/2 5/2 9/4 0
0 0 0 5/8 3/2 5/4 9/8 9/8 15/8 23/8 5/2 0
0 0 0 4/9 4/3 10/9 1 10/9 5/3 7/3 22/9 0
0 0 0 1/2 11/8 1 7/8 7/8 3/2 9/4 2 0
0 0 0 1/2 11/8 9/8 1 5/4 15/8 21/8 9/4 0
0 0 0 5/8 11/8 9/8 1 1 3/2 19/8 19/8 0
0 0 0 5/8 11/8 1 7/8 7/8 11/8 9/4 2 0
0 0 0 5/8 11/8 9/8 1 5/4 7/4 21/8 9/4 0
0 0 0 4/9 11/9 1 8/9 11/9 14/9 19/9 20/9 0
0 0 0 1/2 5/4 7/8 3/4 1 11/8 2 7/4 0
0 0 0 1/2 5/4 1 7/8 11/8 7/4 19/8 2 0
0 0 0 6/11 14/11 1 10/11 17/11 39/22 23/11 49/22 0
0 0 0 2/3 13/9 1 8/9 13/9 16/9 20/9 2 0
0 0 0 5/8 11/8 9/8 1 7/4 17/8 21/8 9/4 0
0 0 0 7/8 15/8 11/8 19/16 1/2 13/8 23/8 5/2 0
0 0 0 7/8 15/8 3/2 21/16 7/8 2 13/4 11/4 0
0 0 0 3/4 7/4 5/4 17/16 5/8 3/2 21/8 9/4 0
0 0 0 3/4 7/4 11/8 19/16 1 15/8 3 5/2 0
0 0 0 5/8 13/8 9/8 15/16 3/4 3/2 19/8 2 0
0 0 0 5/8 13/8 5/4 17/16 9/8 15/8 11/4 9/4 0
0 0 0 3/4 13/8 9/8 15/16 3/4 11/8 19/8 2 0
0 0 0 3/4 13/8 5/4 17/16 9/8 7/4 11/4 9/4 0
0 0 0 5/8 3/2 1 13/16 7/8 11/8 17/8 7/4 0
0 0 0 5/8 3/2 9/8 15/16 5/4 7/4 5/2 2 0
0 0 0 7/9 5/3 10/9 17/18 4/3 16/9 7/3 2 0
0 0 0 3/4 13/8 5/4 17/16 13/8 17/8 11/4 9/4 0
