0 0 0 6/11 4/11 2/11 10/11 19/22 19/11 0
0 0 0 3/8 1/4 1/4 1 3/4 13/8 0
0 0 0 1/4 1/8 3/8 1 13/16 11/8 0
0 0 0 3/8 5/8 1/4 5/8 3/4 13/8 0
0 0 0 1/4 1/2 3/8 3/4 5/8 3/2 0
0 0 0 1/6 1/3 2/3 5/6 5/6 4/3 0
0 0 0 1/4 3/4 3/8 3/8 13/16 11/8 0
0 0 0 1/6 2/3 2/3 1/2 5/6 4/3 0
0 0 0 1/6 1/2 5/6 2/3 1 4/3 0
0 0 0 6/7 2/7 1/7 8/7 9/14 9/7 0
0 0 0 2/3 1/6 1/6 7/6 1/2 7/6 0
0 0 0 3/8 1/4 1/4 5/4 11/16 5/4 0
0 0 0 2/3 1/2 1/6 5/6 1/2 7/6 0
0 0 0 3/8 1/2 1/4 7/8 3/8 9/8 0
0 0 0 1/4 1/2 3/8 9/8 5/8 5/4 0
0 0 0 3/8 3/4 1/4 9/16 5/8 9/8 0
0 0 0 1/4 3/4 3/8 11/16 9/16 9/8 0
0 0 0 2/11 8/11 5/11 21/22 8/11 13/11 0
