0 0 7/22 0 15/22 7/22 3/4 29/44 71/44 59/44 11/4 0
0 0 2/7 0 9/14 2/7 23/28 25/28 43/28 19/14 37/14 0
0 0 5/13 0 8/13 5/13 11/13 14/13 20/13 17/13 34/13 0
0 0 5/12 0 7/12 5/12 11/12 4/3 19/12 3/2 11/4 0
0 0 2/11 0 10/11 2/11 1/2 19/22 3/2 83/66 5/2 0
0 0 1/5 0 4/5 1/5 13/20 21/20 31/20 7/5 27/10 0
0 0 3/10 0 7/10 3/10 7/10 6/5 3/2 13/10 13/5 0
0 0 4/11 0 7/11 4/11 9/11 15/11 17/11 16/11 30/11 0
0 0 1/8 0 1 1/8 5/16 3/4 23/16 47/48 2 0
0 0 1/8 0 7/8 1/8 7/16 7/8 23/16 17/16 17/8 0
0 0 2/9 0 7/9 2/9 5/9 19/18 13/9 19/18 20/9 0
0 0 3/10 0 7/10 3/10 7/10 5/4 3/2 5/4 12/5 0
0 0 1/3 0 5/7 1/3 5/6 9/14 59/42 53/42 103/42 0
0 0 5/16 0 11/16 5/16 29/32 25/32 45/32 21/16 5/2 0
0 0 3/7 0 9/14 3/7 13/14 1 10/7 9/7 5/2 0
0 0 6/13 0 8/13 6/13 1 16/13 19/13 19/13 34/13 0
0 0 3/14 0 13/14 3/14 17/28 19/28 5/4 95/84 61/28 0
0 0 3/13 0 11/13 3/13 19/26 21/26 33/26 16/13 30/13 0
0 0 1/3 0 3/4 1/3 3/4 1 5/4 7/6 9/4 0
0 0 5/13 0 9/13 5/13 11/13 15/13 17/13 17/13 31/13 0
0 0 1/8 0 9/8 1/8 5/16 5/8 21/16 41/48 7/4 0
0 0 1/8 0 1 1/8 7/16 3/4 21/16 15/16 15/8 0
0 0 2/9 0 8/9 2/9 5/9 17/18 4/3 17/18 2 0
0 0 3/10 0 4/5 3/10 7/10 23/20 7/5 23/20 11/5 0
0 0 7/20 0 4/5 7/20 17/20 21/40 53/40 43/40 2 0
0 0 1/3 0 7/9 1/3 8/9 7/12 47/36 13/12 2 0
0 0 7/16 0 3/4 7/16 15/16 13/16 11/8 9/8 17/8 0
0 0 8/17 0 12/17 8/17 1 1 23/17 21/17 36/17 0
0 0 1/4 0 13/12 1/4 2/3 11/24 29/24 65/72 5/3 0
0 0 1/4 0 1 1/4 3/4 13/24 29/24 23/24 7/4 0
0 0 4/11 0 10/11 4/11 9/11 9/11 14/11 1 21/11 0
0 0 3/7 0 11/14 3/7 13/14 1 9/7 8/7 2 0
0 0 2/11 0 13/11 2/11 5/11 5/11 14/11 25/33 16/11 0
0 0 2/11 0 12/11 2/11 6/11 6/11 14/11 9/11 17/11 0
0 0 3/11 0 1 3/11 7/11 17/22 29/22 19/22 19/11 0
0 0 5/14 0 6/7 5/14 11/14 27/28 37/28 29/28 13/7 0
0 0 3/5 11/10 0 109/120 31/30 27/20 37/30 199/120 323/120 0
0 0 5/8 17/16 0 73/96 47/48 23/16 53/48 49/32 233/96 0
0 0 2/3 8/9 0 7/9 8/9 3/2 1 23/18 19/9 0
0 0 3/4 7/8 0 3/4 7/8 27/16 1 11/8 17/8 0
0 0 4/11 14/11 0 12/11 27/22 39/22 29/22 131/66 67/22 0
0 0 5/11 13/11 0 10/11 25/22 39/22 27/22 20/11 31/11 0
0 0 1/2 7/8 0 3/4 7/8 13/8 1 11/8 9/4 0
0 0 5/8 7/8 0 3/4 7/8 7/4 1 23/16 9/4 0
0 0 1/4 5/4 0 9/8 19/16 7/4 21/16 89/48 11/4 0
0 0 1/3 10/9 0 8/9 19/18 5/3 7/6 29/18 22/9 0
0 0 3/8 7/8 0 3/4 7/8 25/16 1 21/16 17/8 0
0 0 1/2 7/8 0 3/4 7/8 27/16 1 11/8 17/8 0
0 0 11/18 7/6 0 109/108 65/54 25/18 59/54 181/108 275/108 0
0 0 5/8 9/8 0 85/96 7/6 23/16 25/24 51/32 233/96 0
0 0 7/9 1 0 8/9 1 3/2 8/9 23/18 2 0
0 0 7/8 1 0 7/8 1 27/16 7/8 11/8 2 0
0 0 5/13 17/13 0 15/13 35/26 43/26 29/26 149/78 73/26 0
0 0 6/13 16/13 0 1 33/26 43/26 27/26 23/13 34/13 0
0 0 5/9 1 0 8/9 1 14/9 7/9 4/3 2 0
0 0 2/3 1 0 8/9 1 5/3 7/9 25/18 2 0
0 0 1/4 11/8 0 5/4 21/16 7/4 19/16 89/48 21/8 0
0 0 1/3 11/9 0 1 7/6 5/3 19/18 29/18 7/3 0
0 0 3/8 1 0 7/8 1 25/16 7/8 21/16 2 0
0 0 1/2 1 0 7/8 1 27/16 7/8 11/8 2 0
0 0 3/5 6/5 0 10/9 59/45 4/3 47/45 71/45 20/9 0
0 0 3/5 17/15 0 44/45 56/45 4/3 44/45 22/15 94/45 0
0 0 4/5 11/10 0 1 11/10 29/20 17/20 5/4 9/5 0
0 0 9/10 11/10 0 1 11/10 8/5 4/5 13/10 17/10 0
0 0 2/5 7/5 0 13/10 3/2 31/20 21/20 107/60 12/5 0
0 0 5/11 14/11 0 12/11 15/11 3/2 21/22 35/22 24/11 0
0 0 5/8 9/8 0 1 9/8 3/2 3/4 5/4 7/4 0
