0 0 11/31 0 17/31 1 55/62 27/31 197/124 95/62 121/62 65/31 211/62 0
0 0 2/5 0 12/25 26/25 22/25 24/25 44/25 37/25 11/5 54/25 179/50 0
0 0 13/30 0 17/30 191/180 299/360 197/180 341/180 61/36 97/40 293/120 35/9 0
0 0 9/25 0 13/25 1 9/10 23/25 47/25 37/25 57/25 52/25 183/50 0
0 0 9/23 0 10/23 24/23 45/46 25/23 41/23 87/46 97/46 107/46 179/46 0
0 0 4/9 0 11/27 10/9 17/18 7/6 107/54 52/27 43/18 64/27 223/54 0
0 0 11/24 0 11/24 53/48 125/144 11/9 271/144 263/144 119/48 179/72 191/48 0
0 0 13/33 0 14/33 35/33 34/33 27/22 161/66 24/11 185/66 82/33 105/22 0
0 0 5/12 0 3/8 13/12 25/24 29/24 15/8 49/24 55/24 41/16 33/8 0
0 0 5/12 0 3/8 13/12 25/24 21/16 95/48 103/48 5/2 8/3 13/3 0
0 0 3/7 0 13/28 61/56 79/84 221/168 629/336 685/336 283/112 8/3 115/28 0
0 0 7/22 0 9/22 21/22 25/22 63/44 49/22 27/11 31/11 32/11 107/22 0
0 0 12/29 0 16/29 63/58 79/87 27/29 165/116 91/58 101/58 59/29 187/58 0
0 0 13/28 0 13/28 65/56 41/42 59/56 13/8 101/56 107/56 123/56 29/8 0
0 0 1/2 0 2/5 73/60 37/36 17/15 67/40 227/120 61/30 47/20 15/4 0
0 0 16/37 0 19/37 46/37 39/37 36/37 247/148 48/37 80/37 159/74 251/74 0
0 0 1/2 0 4/9 4/3 19/18 1 16/9 11/9 83/36 77/36 83/24 0
0 0 12/23 0 49/92 1807/1380 18733/19320 10537/9660 35747/19320 389/276 3135/1288 14971/6440 8804/2415 0
0 0 15/34 0 1/2 43/34 73/68 1 65/34 22/17 41/17 73/34 247/68 0
0 0 1/2 0 9/19 101/76 239/228 55/57 673/456 47/38 73/38 455/228 235/76 0
0 0 3/7 0 8/21 4/3 6/7 4/7 4/3 23/21 5/3 11/7 8/3 0
0 0 8/19 0 6/19 24/19 14/19 12/19 28/19 1 35/19 29/19 52/19 0
0 0 13/27 0 11/27 245/162 121/162 131/162 281/162 203/162 41/18 52/27 517/162 0
0 0 7/17 0 6/17 22/17 14/17 10/17 29/17 1 35/17 25/17 50/17 0
0 0 2/5 0 4/15 19/15 4/5 2/3 19/15 19/15 23/15 23/15 8/3 0
0 0 3/7 0 5/21 9/7 31/42 11/14 11/7 4/3 27/14 34/21 64/21 0
0 0 5/11 0 3/11 59/44 23/33 29/33 205/132 173/132 23/11 119/66 133/44 0
0 0 8/21 0 5/21 9/7 5/6 11/14 41/21 10/7 16/7 34/21 73/21 0
0 0 2/5 0 1/5 19/15 4/5 11/15 19/15 4/3 8/5 5/3 41/15 0
